system_id,signal,metric_id,raw_units,units,calc_scale,raw_value_min,raw_value_max,decision,evidence
34,wind_speed,2691,m/s,m/s,0.44704,0.0,4.84189024,ALREADY_SCALED_NO_REAPPLY,"Raw value range is physically plausible for this signal type without reapplying calc_scale (e.g. temperature within real-world Celsius bounds, wind speed within a real-world m/s band, POA within a real-world W/m^2 band); not independently cross-validated against a second signal the way ac_power was."
1430,poa,5041,W/m^2,W/m^2,1.0,-0.447733,1172.104,ALREADY_SCALED_NO_REAPPLY,"Raw value range is physically plausible for this signal type without reapplying calc_scale (e.g. temperature within real-world Celsius bounds, wind speed within a real-world m/s band, POA within a real-world W/m^2 band); not independently cross-validated against a second signal the way ac_power was."
1430,ac_power,5074,W,W,2000.0,-0.093333,333.6,REAPPLY_CALC_SCALE,"REAPPLY calc_scale=2000.0: decisive evidence from real AC/DC power ratio at peak generation (top-200 real matched samples, merge_asof tolerance 10min) -- unscaled ratio 0.0005 (impossible), scaled ratio 0.953 (sane). Reapplied max=667.2kW vs 720.72kW nameplate (0.93x, consistent)."
1430,dc_power,5077,W,W,1.0,-1539.8717798311102,692550.0,ALREADY_SCALED_NO_REAPPLY,"Raw value range is physically plausible for this signal type without reapplying calc_scale (e.g. temperature within real-world Celsius bounds, wind speed within a real-world m/s band, POA within a real-world W/m^2 band); not independently cross-validated against a second signal the way ac_power was."
1430,ambient_temp,5042,C,C,1.0,6.193866,34.057,ALREADY_SCALED_NO_REAPPLY,"Raw value range is physically plausible for this signal type without reapplying calc_scale (e.g. temperature within real-world Celsius bounds, wind speed within a real-world m/s band, POA within a real-world W/m^2 band); not independently cross-validated against a second signal the way ac_power was."
1430,module_temp,5043,C,C,1.0,3.005933,62.1682,ALREADY_SCALED_NO_REAPPLY,"Raw value range is physically plausible for this signal type without reapplying calc_scale (e.g. temperature within real-world Celsius bounds, wind speed within a real-world m/s band, POA within a real-world W/m^2 band); not independently cross-validated against a second signal the way ac_power was."
1433,poa,5061,W/m^2,W/m^2,1.0,-0.381,1077.357,ALREADY_SCALED_NO_REAPPLY,"Raw value range is physically plausible for this signal type without reapplying calc_scale (e.g. temperature within real-world Celsius bounds, wind speed within a real-world m/s band, POA within a real-world W/m^2 band); not independently cross-validated against a second signal the way ac_power was."
1433,ac_power,5069,W,W,1000.0,-1.3,360.0,REAPPLY_CALC_SCALE,"REAPPLY calc_scale=1000.0: no DC channel available for a ratio cross-check (weaker evidence tier than 1430), but unscaled max=0.36kW vs 449.28kW nameplate (0.0008x) is not physically credible for an operating asset across a summer POA record peaking at 1077 W/m^2; reapplied max=360kW vs nameplate (0.80x) is plausible. Same raw_units=W/units=W/nontrivial-scale metadata pattern as the independently-proven 1430 case."
1433,ambient_temp,5062,C,C,1.0,7.3954,40.5362,ALREADY_SCALED_NO_REAPPLY,"Raw value range is physically plausible for this signal type without reapplying calc_scale (e.g. temperature within real-world Celsius bounds, wind speed within a real-world m/s band, POA within a real-world W/m^2 band); not independently cross-validated against a second signal the way ac_power was."
1433,module_temp,5063,C,C,1.0,5.3972,51.440866,ALREADY_SCALED_NO_REAPPLY,"Raw value range is physically plausible for this signal type without reapplying calc_scale (e.g. temperature within real-world Celsius bounds, wind speed within a real-world m/s band, POA within a real-world W/m^2 band); not independently cross-validated against a second signal the way ac_power was."
