system_id,model_name,regime_name,sample_count,r2,rmse_kw,mae_kw,mean_residual_kw
SYS_34,PVLIB_PHYSICS_REFERENCE,ALL_VALID_DAYTIME,874,0.9996,0.021,0.016,0.0
SYS_34,PVLIB_PHYSICS_REFERENCE,LOW_IRRADIANCE (20-300 W/m²),262,0.996,0.021,0.016,0.001
SYS_34,PVLIB_PHYSICS_REFERENCE,MEDIUM_IRRADIANCE (300-700 W/m²),382,0.9973,0.021,0.017,-0.001
SYS_34,PVLIB_PHYSICS_REFERENCE,HIGH_IRRADIANCE (>= 700 W/m²),230,0.9962,0.021,0.016,0.001
SYS_34,PVLIB_PHYSICS_REFERENCE,LOW_TEMP (< 25°C),88,0.9942,0.02,0.016,-0.0
SYS_34,PVLIB_PHYSICS_REFERENCE,MEDIUM_TEMP (25-45°C),479,0.999,0.021,0.017,0.001
SYS_34,PVLIB_PHYSICS_REFERENCE,HIGH_TEMP (>= 45°C),307,0.9985,0.021,0.016,-0.001
SYS_34,SOLAR_EMPIRICAL_BASELINE,ALL_VALID_DAYTIME,874,0.9972,0.054,0.042,0.034
SYS_34,SOLAR_EMPIRICAL_BASELINE,LOW_IRRADIANCE (20-300 W/m²),262,0.9859,0.039,0.031,0.02
SYS_34,SOLAR_EMPIRICAL_BASELINE,MEDIUM_IRRADIANCE (300-700 W/m²),382,0.977,0.061,0.05,0.044
SYS_34,SOLAR_EMPIRICAL_BASELINE,HIGH_IRRADIANCE (>= 700 W/m²),230,0.9734,0.056,0.043,0.034
SYS_34,SOLAR_EMPIRICAL_BASELINE,LOW_TEMP (< 25°C),88,0.9753,0.042,0.034,0.03
SYS_34,SOLAR_EMPIRICAL_BASELINE,MEDIUM_TEMP (25-45°C),479,0.9918,0.061,0.047,0.038
SYS_34,SOLAR_EMPIRICAL_BASELINE,HIGH_TEMP (>= 45°C),307,0.9929,0.045,0.036,0.028
SYS_34,RAI_SOLAR_CHAMPION,ALL_VALID_DAYTIME,874,0.9996,0.022,0.017,0.003
SYS_34,RAI_SOLAR_CHAMPION,LOW_IRRADIANCE (20-300 W/m²),262,0.9959,0.021,0.016,0.003
SYS_34,RAI_SOLAR_CHAMPION,MEDIUM_IRRADIANCE (300-700 W/m²),382,0.9971,0.022,0.017,0.003
SYS_34,RAI_SOLAR_CHAMPION,HIGH_IRRADIANCE (>= 700 W/m²),230,0.996,0.022,0.017,0.004
SYS_34,RAI_SOLAR_CHAMPION,LOW_TEMP (< 25°C),88,0.9942,0.02,0.015,0.002
SYS_34,RAI_SOLAR_CHAMPION,MEDIUM_TEMP (25-45°C),479,0.9989,0.022,0.017,0.005
SYS_34,RAI_SOLAR_CHAMPION,HIGH_TEMP (>= 45°C),307,0.9985,0.021,0.016,0.001
SYS_4,PVLIB_PHYSICS_REFERENCE,ALL_VALID_DAYTIME,868,0.9996,0.048,0.038,-0.003
SYS_4,PVLIB_PHYSICS_REFERENCE,LOW_IRRADIANCE (20-300 W/m²),304,0.9962,0.048,0.038,-0.006
SYS_4,PVLIB_PHYSICS_REFERENCE,MEDIUM_IRRADIANCE (300-700 W/m²),378,0.9973,0.048,0.039,-0.0
SYS_4,PVLIB_PHYSICS_REFERENCE,HIGH_IRRADIANCE (>= 700 W/m²),186,0.9965,0.048,0.037,-0.003
SYS_4,PVLIB_PHYSICS_REFERENCE,LOW_TEMP (< 25°C),91,0.9918,0.056,0.045,-0.002
SYS_4,PVLIB_PHYSICS_REFERENCE,MEDIUM_TEMP (25-45°C),530,0.999,0.046,0.037,-0.002
SYS_4,PVLIB_PHYSICS_REFERENCE,HIGH_TEMP (>= 45°C),247,0.9987,0.049,0.038,-0.004
SYS_4,SOLAR_EMPIRICAL_BASELINE,ALL_VALID_DAYTIME,868,0.9977,0.111,0.086,0.054
SYS_4,SOLAR_EMPIRICAL_BASELINE,LOW_IRRADIANCE (20-300 W/m²),304,0.9892,0.082,0.066,0.019
SYS_4,SOLAR_EMPIRICAL_BASELINE,MEDIUM_IRRADIANCE (300-700 W/m²),378,0.9808,0.129,0.101,0.08
SYS_4,SOLAR_EMPIRICAL_BASELINE,HIGH_IRRADIANCE (>= 700 W/m²),186,0.9804,0.113,0.09,0.06
SYS_4,SOLAR_EMPIRICAL_BASELINE,LOW_TEMP (< 25°C),91,0.9757,0.097,0.079,0.064
SYS_4,SOLAR_EMPIRICAL_BASELINE,MEDIUM_TEMP (25-45°C),530,0.9937,0.118,0.091,0.052
SYS_4,SOLAR_EMPIRICAL_BASELINE,HIGH_TEMP (>= 45°C),247,0.9947,0.098,0.08,0.055
SYS_4,RAI_SOLAR_CHAMPION,ALL_VALID_DAYTIME,868,0.9995,0.049,0.04,0.003
SYS_4,RAI_SOLAR_CHAMPION,LOW_IRRADIANCE (20-300 W/m²),304,0.9963,0.048,0.039,-0.003
SYS_4,RAI_SOLAR_CHAMPION,MEDIUM_IRRADIANCE (300-700 W/m²),378,0.9971,0.05,0.041,0.008
SYS_4,RAI_SOLAR_CHAMPION,HIGH_IRRADIANCE (>= 700 W/m²),186,0.9962,0.05,0.039,0.003
SYS_4,RAI_SOLAR_CHAMPION,LOW_TEMP (< 25°C),91,0.9917,0.057,0.047,0.005
SYS_4,RAI_SOLAR_CHAMPION,MEDIUM_TEMP (25-45°C),530,0.999,0.048,0.039,0.003
SYS_4,RAI_SOLAR_CHAMPION,HIGH_TEMP (>= 45°C),247,0.9986,0.05,0.04,0.002
SYS_1199,PVLIB_PHYSICS_REFERENCE,ALL_VALID_DAYTIME,882,0.9994,0.725,0.57,0.022
SYS_1199,PVLIB_PHYSICS_REFERENCE,LOW_IRRADIANCE (20-300 W/m²),313,0.996,0.727,0.58,0.033
SYS_1199,PVLIB_PHYSICS_REFERENCE,MEDIUM_IRRADIANCE (300-700 W/m²),452,0.9972,0.742,0.578,0.015
SYS_1199,PVLIB_PHYSICS_REFERENCE,HIGH_IRRADIANCE (>= 700 W/m²),117,0.9946,0.65,0.512,0.018
SYS_1199,PVLIB_PHYSICS_REFERENCE,LOW_TEMP (< 25°C),69,0.9849,0.731,0.592,0.012
SYS_1199,PVLIB_PHYSICS_REFERENCE,MEDIUM_TEMP (25-45°C),525,0.9988,0.725,0.565,0.028
SYS_1199,PVLIB_PHYSICS_REFERENCE,HIGH_TEMP (>= 45°C),288,0.9976,0.723,0.574,0.012
SYS_1199,SOLAR_EMPIRICAL_BASELINE,ALL_VALID_DAYTIME,882,0.998,1.363,1.094,0.588
SYS_1199,SOLAR_EMPIRICAL_BASELINE,LOW_IRRADIANCE (20-300 W/m²),313,0.9896,1.169,0.943,-0.135
SYS_1199,SOLAR_EMPIRICAL_BASELINE,MEDIUM_IRRADIANCE (300-700 W/m²),452,0.9889,1.47,1.183,1.016
SYS_1199,SOLAR_EMPIRICAL_BASELINE,HIGH_IRRADIANCE (>= 700 W/m²),117,0.9745,1.412,1.154,0.869
SYS_1199,SOLAR_EMPIRICAL_BASELINE,LOW_TEMP (< 25°C),69,0.9718,1.0,0.825,0.088
SYS_1199,SOLAR_EMPIRICAL_BASELINE,MEDIUM_TEMP (25-45°C),525,0.9953,1.44,1.151,0.51
SYS_1199,SOLAR_EMPIRICAL_BASELINE,HIGH_TEMP (>= 45°C),288,0.9924,1.292,1.054,0.849
SYS_1199,RAI_SOLAR_CHAMPION,ALL_VALID_DAYTIME,882,0.9994,0.733,0.577,0.079
SYS_1199,RAI_SOLAR_CHAMPION,LOW_IRRADIANCE (20-300 W/m²),313,0.9959,0.731,0.58,0.016
SYS_1199,RAI_SOLAR_CHAMPION,MEDIUM_IRRADIANCE (300-700 W/m²),452,0.9971,0.751,0.588,0.116
SYS_1199,RAI_SOLAR_CHAMPION,HIGH_IRRADIANCE (>= 700 W/m²),117,0.9944,0.663,0.527,0.103
SYS_1199,RAI_SOLAR_CHAMPION,LOW_TEMP (< 25°C),69,0.9848,0.734,0.59,0.019
SYS_1199,RAI_SOLAR_CHAMPION,MEDIUM_TEMP (25-45°C),525,0.9988,0.732,0.57,0.077
SYS_1199,RAI_SOLAR_CHAMPION,HIGH_TEMP (>= 45°C),288,0.9975,0.735,0.587,0.096
SYS_1283,PVLIB_PHYSICS_REFERENCE,ALL_VALID_DAYTIME,848,0.9995,0.048,0.038,0.0
SYS_1283,PVLIB_PHYSICS_REFERENCE,LOW_IRRADIANCE (20-300 W/m²),288,0.9969,0.042,0.035,0.001
SYS_1283,PVLIB_PHYSICS_REFERENCE,MEDIUM_IRRADIANCE (300-700 W/m²),429,0.9974,0.049,0.038,0.001
SYS_1283,PVLIB_PHYSICS_REFERENCE,HIGH_IRRADIANCE (>= 700 W/m²),131,0.9867,0.057,0.045,-0.002
SYS_1283,PVLIB_PHYSICS_REFERENCE,LOW_TEMP (< 25°C),60,0.9883,0.041,0.033,-0.005
SYS_1283,PVLIB_PHYSICS_REFERENCE,MEDIUM_TEMP (25-45°C),542,0.9989,0.046,0.036,0.001
SYS_1283,PVLIB_PHYSICS_REFERENCE,HIGH_TEMP (>= 45°C),246,0.9974,0.054,0.043,-0.0
SYS_1283,SOLAR_EMPIRICAL_BASELINE,ALL_VALID_DAYTIME,848,0.997,0.114,0.088,0.063
SYS_1283,SOLAR_EMPIRICAL_BASELINE,LOW_IRRADIANCE (20-300 W/m²),288,0.9903,0.075,0.059,0.023
SYS_1283,SOLAR_EMPIRICAL_BASELINE,MEDIUM_IRRADIANCE (300-700 W/m²),429,0.9794,0.136,0.111,0.102
SYS_1283,SOLAR_EMPIRICAL_BASELINE,HIGH_IRRADIANCE (>= 700 W/m²),131,0.9566,0.102,0.08,0.021
SYS_1283,SOLAR_EMPIRICAL_BASELINE,LOW_TEMP (< 25°C),60,0.9809,0.052,0.043,0.016
SYS_1283,SOLAR_EMPIRICAL_BASELINE,MEDIUM_TEMP (25-45°C),542,0.9925,0.122,0.094,0.074
SYS_1283,SOLAR_EMPIRICAL_BASELINE,HIGH_TEMP (>= 45°C),246,0.9898,0.106,0.087,0.05
SYS_1283,RAI_SOLAR_CHAMPION,ALL_VALID_DAYTIME,848,0.9994,0.049,0.039,0.007
SYS_1283,RAI_SOLAR_CHAMPION,LOW_IRRADIANCE (20-300 W/m²),288,0.9968,0.043,0.035,0.003
SYS_1283,RAI_SOLAR_CHAMPION,MEDIUM_IRRADIANCE (300-700 W/m²),429,0.9971,0.051,0.04,0.011
SYS_1283,RAI_SOLAR_CHAMPION,HIGH_IRRADIANCE (>= 700 W/m²),131,0.9869,0.056,0.045,-0.0
SYS_1283,RAI_SOLAR_CHAMPION,LOW_TEMP (< 25°C),60,0.9883,0.041,0.033,-0.003
SYS_1283,RAI_SOLAR_CHAMPION,MEDIUM_TEMP (25-45°C),542,0.9989,0.048,0.038,0.008
SYS_1283,RAI_SOLAR_CHAMPION,HIGH_TEMP (>= 45°C),246,0.9973,0.055,0.044,0.005
