farm,dataset_file,event_id,turbine_id,label,description,detector,feature_policy,n_rows,n_train,n_pred,n_event_rows,alarms_count,coverage_fbeta,accuracy,earliness_ws,max_criticality,event_detected,first_alarm_idx,first_alarm_in_window,lead_time_days,note
Wind Farm A,38.csv,38,turb_38,normal_behavior,,CARE_PAPER_IF,care_native_semantic,54835,52291,2544,0,202,,0.9086,,4,False,5,False,,Dataset-level alarm incidence: >= 1 anomalous timestamp observed during normal operation
Wind Farm A,71.csv,71,turb_71,normal_behavior,,CARE_PAPER_IF,care_native_semantic,54744,52295,2449,0,179,,0.9059,,0,False,1,False,,Dataset-level alarm incidence: >= 1 anomalous timestamp observed during normal operation
Wind Farm A,14.csv,14,turb_14,normal_behavior,,CARE_PAPER_IF,care_native_semantic,54197,52296,1901,0,354,,0.7788,,1,False,0,False,,Dataset-level alarm incidence: >= 1 anomalous timestamp observed during normal operation
Wind Farm A,92.csv,92,turb_92,normal_behavior,,CARE_PAPER_IF,care_native_semantic,54067,52293,1774,0,295,,0.8053,,0,False,68,False,,Dataset-level alarm incidence: >= 1 anomalous timestamp observed during normal operation
Wind Farm A,51.csv,51,turb_51,normal_behavior,,CARE_PAPER_IF,care_native_semantic,54436,52043,2393,0,272,,0.8654,,4,False,7,False,,Dataset-level alarm incidence: >= 1 anomalous timestamp observed during normal operation
Wind Farm A,25.csv,25,turb_25,normal_behavior,,RAI_COMPAT_IF,care_2d,54712,52289,2423,0,291,,0.8502,,0,False,2,False,,Dataset-level alarm incidence: >= 1 anomalous timestamp observed during normal operation
Wind Farm A,69.csv,69,turb_69,normal_behavior,,RAI_COMPAT_IF,care_2d,54813,52220,2593,0,70,,0.9665,,1,False,5,False,,Dataset-level alarm incidence: >= 1 anomalous timestamp observed during normal operation
Wind Farm A,13.csv,13,turb_13,normal_behavior,,RAI_COMPAT_IF,care_2d,54010,50427,3583,0,465,,0.8528,,1,False,233,False,,Dataset-level alarm incidence: >= 1 anomalous timestamp observed during normal operation
Wind Farm A,24.csv,24,turb_24,normal_behavior,,RAI_COMPAT_IF,care_2d,55003,52289,2714,0,155,,0.9297,,0,False,7,False,,Dataset-level alarm incidence: >= 1 anomalous timestamp observed during normal operation
Wind Farm A,3.csv,3,turb_3,normal_behavior,,RAI_COMPAT_IF,care_2d,55487,52185,3302,0,195,,0.9289,,1,False,150,False,,Dataset-level alarm incidence: >= 1 anomalous timestamp observed during normal operation
Wind Farm A,17.csv,17,turb_17,normal_behavior,,RAI_COMPAT_IF,care_2d,55090,52309,2781,0,63,,0.9695,,0,False,119,False,,Dataset-level alarm incidence: >= 1 anomalous timestamp observed during normal operation
Wind Farm A,38.csv,38,turb_38,normal_behavior,,RAI_COMPAT_IF,care_2d,54835,52291,2544,0,191,,0.91,,0,False,354,False,,Dataset-level alarm incidence: >= 1 anomalous timestamp observed during normal operation
Wind Farm A,71.csv,71,turb_71,normal_behavior,,RAI_COMPAT_IF,care_2d,54744,52295,2449,0,112,,0.9411,,0,False,3,False,,Dataset-level alarm incidence: >= 1 anomalous timestamp observed during normal operation
Wind Farm A,14.csv,14,turb_14,normal_behavior,,RAI_COMPAT_IF,care_2d,54197,52296,1901,0,314,,0.8039,,1,False,0,False,,Dataset-level alarm incidence: >= 1 anomalous timestamp observed during normal operation
Wind Farm A,92.csv,92,turb_92,normal_behavior,,RAI_COMPAT_IF,care_2d,54067,52293,1774,0,407,,0.7314,,0,False,99,False,,Dataset-level alarm incidence: >= 1 anomalous timestamp observed during normal operation
Wind Farm A,51.csv,51,turb_51,normal_behavior,,RAI_COMPAT_IF,care_2d,54436,52043,2393,0,227,,0.8938,,7,False,10,False,,Dataset-level alarm incidence: >= 1 anomalous timestamp observed during normal operation
Wind Farm A,25.csv,25,turb_25,normal_behavior,,RAI_COMPAT_IF,care_common,54712,52289,2423,0,180,,0.9238,,9,False,26,False,,Dataset-level alarm incidence: >= 1 anomalous timestamp observed during normal operation
Wind Farm A,69.csv,69,turb_69,normal_behavior,,RAI_COMPAT_IF,care_common,54813,52220,2593,0,174,,0.9417,,4,False,0,False,,Dataset-level alarm incidence: >= 1 anomalous timestamp observed during normal operation
Wind Farm A,13.csv,13,turb_13,normal_behavior,,RAI_COMPAT_IF,care_common,54010,50427,3583,0,326,,0.9164,,3,False,91,False,,Dataset-level alarm incidence: >= 1 anomalous timestamp observed during normal operation
Wind Farm A,24.csv,24,turb_24,normal_behavior,,RAI_COMPAT_IF,care_common,55003,52289,2714,0,96,,0.9887,,11,False,99,False,,Dataset-level alarm incidence: >= 1 anomalous timestamp observed during normal operation
Wind Farm A,3.csv,3,turb_3,normal_behavior,,RAI_COMPAT_IF,care_common,55487,52185,3302,0,131,,0.9711,,37,False,198,False,,Dataset-level alarm incidence: >= 1 anomalous timestamp observed during normal operation
Wind Farm A,17.csv,17,turb_17,normal_behavior,,RAI_COMPAT_IF,care_common,55090,52309,2781,0,92,,0.9845,,10,False,121,False,,Dataset-level alarm incidence: >= 1 anomalous timestamp observed during normal operation
Wind Farm A,38.csv,38,turb_38,normal_behavior,,RAI_COMPAT_IF,care_common,54835,52291,2544,0,201,,0.9321,,4,False,287,False,,Dataset-level alarm incidence: >= 1 anomalous timestamp observed during normal operation
Wind Farm A,71.csv,71,turb_71,normal_behavior,,RAI_COMPAT_IF,care_common,54744,52295,2449,0,75,,0.9758,,6,False,14,False,,Dataset-level alarm incidence: >= 1 anomalous timestamp observed during normal operation
Wind Farm A,14.csv,14,turb_14,normal_behavior,,RAI_COMPAT_IF,care_common,54197,52296,1901,0,278,,0.8346,,2,False,0,False,,Dataset-level alarm incidence: >= 1 anomalous timestamp observed during normal operation
Wind Farm A,92.csv,92,turb_92,normal_behavior,,RAI_COMPAT_IF,care_common,54067,52293,1774,0,270,,0.8337,,3,False,233,False,,Dataset-level alarm incidence: >= 1 anomalous timestamp observed during normal operation
Wind Farm A,51.csv,51,turb_51,normal_behavior,,RAI_COMPAT_IF,care_common,54436,52043,2393,0,233,,0.9128,,29,False,10,False,,Dataset-level alarm incidence: >= 1 anomalous timestamp observed during normal operation
Wind Farm A,25.csv,25,turb_25,normal_behavior,,RAI_COMPAT_IF,care_native_semantic,54712,52289,2423,0,134,,0.9392,,9,False,42,False,,Dataset-level alarm incidence: >= 1 anomalous timestamp observed during normal operation
Wind Farm A,69.csv,69,turb_69,normal_behavior,,RAI_COMPAT_IF,care_native_semantic,54813,52220,2593,0,161,,0.9504,,14,False,83,False,,Dataset-level alarm incidence: >= 1 anomalous timestamp observed during normal operation
Wind Farm A,13.csv,13,turb_13,normal_behavior,,RAI_COMPAT_IF,care_native_semantic,54010,50427,3583,0,227,,0.9323,,2,False,106,False,,Dataset-level alarm incidence: >= 1 anomalous timestamp observed during normal operation
Wind Farm A,24.csv,24,turb_24,normal_behavior,,RAI_COMPAT_IF,care_native_semantic,55003,52289,2714,0,48,,0.9841,,4,False,84,False,,Dataset-level alarm incidence: >= 1 anomalous timestamp observed during normal operation
Wind Farm A,3.csv,3,turb_3,normal_behavior,,RAI_COMPAT_IF,care_native_semantic,55487,52185,3302,0,130,,0.9608,,4,False,51,False,,Dataset-level alarm incidence: >= 1 anomalous timestamp observed during normal operation
Wind Farm A,17.csv,17,turb_17,normal_behavior,,RAI_COMPAT_IF,care_native_semantic,55090,52309,2781,0,78,,0.9787,,2,False,320,False,,Dataset-level alarm incidence: >= 1 anomalous timestamp observed during normal operation
Wind Farm A,38.csv,38,turb_38,normal_behavior,,RAI_COMPAT_IF,care_native_semantic,54835,52291,2544,0,417,,0.853,,63,False,124,False,,Dataset-level alarm incidence: >= 1 anomalous timestamp observed during normal operation
Wind Farm A,71.csv,71,turb_71,normal_behavior,,RAI_COMPAT_IF,care_native_semantic,54744,52295,2449,0,48,,0.9842,,2,False,298,False,,Dataset-level alarm incidence: >= 1 anomalous timestamp observed during normal operation
Wind Farm A,14.csv,14,turb_14,normal_behavior,,RAI_COMPAT_IF,care_native_semantic,54197,52296,1901,0,221,,0.869,,3,False,0,False,,Dataset-level alarm incidence: >= 1 anomalous timestamp observed during normal operation
Wind Farm A,92.csv,92,turb_92,normal_behavior,,RAI_COMPAT_IF,care_native_semantic,54067,52293,1774,0,192,,0.8825,,3,False,149,False,,Dataset-level alarm incidence: >= 1 anomalous timestamp observed during normal operation
Wind Farm A,51.csv,51,turb_51,normal_behavior,,RAI_COMPAT_IF,care_native_semantic,54436,52043,2393,0,135,,0.951,,25,False,68,False,,Dataset-level alarm incidence: >= 1 anomalous timestamp observed during normal operation
Wind Farm A,25.csv,25,turb_25,normal_behavior,,RAI_CHAMPION,care_common,54712,52289,2423,0,21,,0.9933,,8,False,44,False,,Dataset-level alarm incidence: >= 1 anomalous timestamp observed during normal operation
Wind Farm A,13.csv,13,turb_13,normal_behavior,,RAI_CHAMPION,care_common,54010,50427,3583,0,23,,0.9927,,0,False,2894,False,,Dataset-level alarm incidence: >= 1 anomalous timestamp observed during normal operation
Wind Farm A,24.csv,24,turb_24,normal_behavior,,RAI_CHAMPION,care_common,55003,52289,2714,0,2,,0.9995,,1,False,2305,False,,Dataset-level alarm incidence: >= 1 anomalous timestamp observed during normal operation
Wind Farm A,3.csv,3,turb_3,normal_behavior,,RAI_CHAMPION,care_common,55487,52185,3302,0,30,,0.9996,,25,False,1182,False,,Dataset-level alarm incidence: >= 1 anomalous timestamp observed during normal operation
Wind Farm A,17.csv,17,turb_17,normal_behavior,,RAI_CHAMPION,care_common,55090,52309,2781,0,11,,0.999,,9,False,1573,False,,Dataset-level alarm incidence: >= 1 anomalous timestamp observed during normal operation
Wind Farm A,38.csv,38,turb_38,normal_behavior,,RAI_CHAMPION,care_common,54835,52291,2544,0,11,,0.9981,,3,False,718,False,,Dataset-level alarm incidence: >= 1 anomalous timestamp observed during normal operation
Wind Farm A,71.csv,71,turb_71,normal_behavior,,RAI_CHAMPION,care_common,54744,52295,2449,0,5,,1.0,,5,False,494,False,,Dataset-level alarm incidence: >= 1 anomalous timestamp observed during normal operation
Wind Farm A,14.csv,14,turb_14,normal_behavior,,RAI_CHAMPION,care_common,54197,52296,1901,0,6,,0.9975,,2,False,383,False,,Dataset-level alarm incidence: >= 1 anomalous timestamp observed during normal operation
Wind Farm A,92.csv,92,turb_92,normal_behavior,,RAI_CHAMPION,care_common,54067,52293,1774,0,19,,0.9894,,3,False,510,False,,Dataset-level alarm incidence: >= 1 anomalous timestamp observed during normal operation
Wind Farm A,51.csv,51,turb_51,normal_behavior,,RAI_CHAMPION,care_common,54436,52043,2393,0,37,,1.0,,27,False,1917,False,,Dataset-level alarm incidence: >= 1 anomalous timestamp observed during normal operation
Wind Farm A,25.csv,25,turb_25,normal_behavior,,RAI_CHAMPION,care_native_semantic,54712,52289,2423,0,21,,0.9933,,8,False,44,False,,Dataset-level alarm incidence: >= 1 anomalous timestamp observed during normal operation
Wind Farm A,13.csv,13,turb_13,normal_behavior,,RAI_CHAMPION,care_native_semantic,54010,50427,3583,0,23,,0.9927,,0,False,2894,False,,Dataset-level alarm incidence: >= 1 anomalous timestamp observed during normal operation
Wind Farm A,24.csv,24,turb_24,normal_behavior,,RAI_CHAMPION,care_native_semantic,55003,52289,2714,0,2,,0.9995,,1,False,2305,False,,Dataset-level alarm incidence: >= 1 anomalous timestamp observed during normal operation
Wind Farm A,3.csv,3,turb_3,normal_behavior,,RAI_CHAMPION,care_native_semantic,55487,52185,3302,0,30,,0.9996,,25,False,1182,False,,Dataset-level alarm incidence: >= 1 anomalous timestamp observed during normal operation
Wind Farm A,17.csv,17,turb_17,normal_behavior,,RAI_CHAMPION,care_native_semantic,55090,52309,2781,0,11,,0.999,,9,False,1573,False,,Dataset-level alarm incidence: >= 1 anomalous timestamp observed during normal operation
Wind Farm A,38.csv,38,turb_38,normal_behavior,,RAI_CHAMPION,care_native_semantic,54835,52291,2544,0,11,,0.9981,,3,False,718,False,,Dataset-level alarm incidence: >= 1 anomalous timestamp observed during normal operation
Wind Farm A,71.csv,71,turb_71,normal_behavior,,RAI_CHAMPION,care_native_semantic,54744,52295,2449,0,5,,1.0,,5,False,494,False,,Dataset-level alarm incidence: >= 1 anomalous timestamp observed during normal operation
Wind Farm A,14.csv,14,turb_14,normal_behavior,,RAI_CHAMPION,care_native_semantic,54197,52296,1901,0,6,,0.9975,,2,False,383,False,,Dataset-level alarm incidence: >= 1 anomalous timestamp observed during normal operation
Wind Farm A,92.csv,92,turb_92,normal_behavior,,RAI_CHAMPION,care_native_semantic,54067,52293,1774,0,19,,0.9894,,3,False,510,False,,Dataset-level alarm incidence: >= 1 anomalous timestamp observed during normal operation
Wind Farm A,51.csv,51,turb_51,normal_behavior,,RAI_CHAMPION,care_native_semantic,54436,52043,2393,0,37,,1.0,,27,False,1917,False,,Dataset-level alarm incidence: >= 1 anomalous timestamp observed during normal operation
Wind Farm B,83.csv,83,turb_83,normal_behavior,,CARE_PAPER_IF,care_2d,66154,52041,14113,0,933,,0.9335,,26,False,562,False,,Dataset-level alarm incidence: >= 1 anomalous timestamp observed during normal operation
Wind Farm B,52.csv,52,turb_52,normal_behavior,,CARE_PAPER_IF,care_2d,55268,52531,2737,0,56,,0.9795,,0,False,693,False,,Dataset-level alarm incidence: >= 1 anomalous timestamp observed during normal operation
Wind Farm B,21.csv,21,turb_21,normal_behavior,,CARE_PAPER_IF,care_2d,53514,52217,1297,0,300,,0.7636,,0,False,477,False,,Dataset-level alarm incidence: >= 1 anomalous timestamp observed during normal operation
Wind Farm B,2.csv,2,turb_2,normal_behavior,,CARE_PAPER_IF,care_2d,54774,52559,2215,0,199,,0.9079,,0,False,15,False,,Dataset-level alarm incidence: >= 1 anomalous timestamp observed during normal operation
Wind Farm B,23.csv,23,turb_23,normal_behavior,,CARE_PAPER_IF,care_2d,54542,52559,1983,0,347,,0.8738,,107,True,27,False,,Dataset-level alarm incidence: >= 1 anomalous timestamp observed during normal operation
Wind Farm B,87.csv,87,turb_87,normal_behavior,,CARE_PAPER_IF,care_2d,55356,52331,3025,0,458,,0.8442,,1,False,85,False,,Dataset-level alarm incidence: >= 1 anomalous timestamp observed during normal operation
Wind Farm B,74.csv,74,turb_74,normal_behavior,,CARE_PAPER_IF,care_2d,55602,52529,3073,0,578,,0.8089,,1,False,27,False,,Dataset-level alarm incidence: >= 1 anomalous timestamp observed during normal operation
Wind Farm B,86.csv,86,turb_86,normal_behavior,,CARE_PAPER_IF,care_2d,55486,52559,2927,0,160,,0.9454,,4,False,0,False,,Dataset-level alarm incidence: >= 1 anomalous timestamp observed during normal operation
Wind Farm B,82.csv,82,turb_82,normal_behavior,,CARE_PAPER_IF,care_2d,54992,52543,2449,0,318,,0.8668,,0,False,317,False,,Dataset-level alarm incidence: >= 1 anomalous timestamp observed during normal operation
Wind Farm B,83.csv,83,turb_83,normal_behavior,,CARE_PAPER_IF,care_common,66154,52041,14113,0,874,,0.9776,,131,True,371,False,,Dataset-level alarm incidence: >= 1 anomalous timestamp observed during normal operation
Wind Farm B,52.csv,52,turb_52,normal_behavior,,CARE_PAPER_IF,care_common,55268,52531,2737,0,13,,0.9952,,0,False,354,False,,Dataset-level alarm incidence: >= 1 anomalous timestamp observed during normal operation
Wind Farm B,21.csv,21,turb_21,normal_behavior,,CARE_PAPER_IF,care_common,53514,52217,1297,0,94,,0.9425,,18,False,100,False,,Dataset-level alarm incidence: >= 1 anomalous timestamp observed during normal operation
Wind Farm B,2.csv,2,turb_2,normal_behavior,,CARE_PAPER_IF,care_common,54774,52559,2215,0,72,,0.981,,24,False,87,False,,Dataset-level alarm incidence: >= 1 anomalous timestamp observed during normal operation
Wind Farm B,23.csv,23,turb_23,normal_behavior,,CARE_PAPER_IF,care_common,54542,52559,1983,0,77,,0.9788,,9,False,140,False,,Dataset-level alarm incidence: >= 1 anomalous timestamp observed during normal operation
Wind Farm B,87.csv,87,turb_87,normal_behavior,,CARE_PAPER_IF,care_common,55356,52331,3025,0,139,,0.9761,,52,False,66,False,,Dataset-level alarm incidence: >= 1 anomalous timestamp observed during normal operation
Wind Farm B,74.csv,74,turb_74,normal_behavior,,CARE_PAPER_IF,care_common,55602,52529,3073,0,331,,0.9063,,45,False,19,False,,Dataset-level alarm incidence: >= 1 anomalous timestamp observed during normal operation
Wind Farm B,86.csv,86,turb_86,normal_behavior,,CARE_PAPER_IF,care_common,55486,52559,2927,0,118,,0.9772,,44,False,332,False,,Dataset-level alarm incidence: >= 1 anomalous timestamp observed during normal operation
Wind Farm B,82.csv,82,turb_82,normal_behavior,,CARE_PAPER_IF,care_common,54992,52543,2449,0,133,,0.9589,,18,False,551,False,,Dataset-level alarm incidence: >= 1 anomalous timestamp observed during normal operation
Wind Farm B,83.csv,83,turb_83,normal_behavior,,CARE_PAPER_IF,care_native_semantic,66154,52041,14113,0,641,,0.9584,,6,False,14,False,,Dataset-level alarm incidence: >= 1 anomalous timestamp observed during normal operation
Wind Farm B,52.csv,52,turb_52,normal_behavior,,CARE_PAPER_IF,care_native_semantic,55268,52531,2737,0,215,,0.9234,,5,False,24,False,,Dataset-level alarm incidence: >= 1 anomalous timestamp observed during normal operation
Wind Farm B,21.csv,21,turb_21,normal_behavior,,CARE_PAPER_IF,care_native_semantic,53514,52217,1297,0,184,,0.8597,,3,False,99,False,,Dataset-level alarm incidence: >= 1 anomalous timestamp observed during normal operation
Wind Farm B,2.csv,2,turb_2,normal_behavior,,CARE_PAPER_IF,care_native_semantic,54774,52559,2215,0,8,,0.9977,,2,False,535,False,,Dataset-level alarm incidence: >= 1 anomalous timestamp observed during normal operation
Wind Farm B,23.csv,23,turb_23,normal_behavior,,CARE_PAPER_IF,care_native_semantic,54542,52559,1983,0,399,,0.7768,,4,False,130,False,,Dataset-level alarm incidence: >= 1 anomalous timestamp observed during normal operation
Wind Farm B,87.csv,87,turb_87,normal_behavior,,CARE_PAPER_IF,care_native_semantic,55356,52331,3025,0,955,,0.6786,,3,False,1,False,,Dataset-level alarm incidence: >= 1 anomalous timestamp observed during normal operation
Wind Farm B,74.csv,74,turb_74,normal_behavior,,CARE_PAPER_IF,care_native_semantic,55602,52529,3073,0,294,,0.9026,,0,False,6,False,,Dataset-level alarm incidence: >= 1 anomalous timestamp observed during normal operation
Wind Farm B,86.csv,86,turb_86,normal_behavior,,CARE_PAPER_IF,care_native_semantic,55486,52559,2927,0,96,,0.9674,,1,False,19,False,,Dataset-level alarm incidence: >= 1 anomalous timestamp observed during normal operation
Wind Farm B,82.csv,82,turb_82,normal_behavior,,CARE_PAPER_IF,care_native_semantic,54992,52543,2449,0,478,,0.8065,,4,False,5,False,,Dataset-level alarm incidence: >= 1 anomalous timestamp observed during normal operation
Wind Farm B,83.csv,83,turb_83,normal_behavior,,RAI_COMPAT_IF,care_2d,66154,52041,14113,0,987,,0.9484,,19,False,14,False,,Dataset-level alarm incidence: >= 1 anomalous timestamp observed during normal operation
Wind Farm B,52.csv,52,turb_52,normal_behavior,,RAI_COMPAT_IF,care_2d,55268,52531,2737,0,66,,0.9758,,0,False,0,False,,Dataset-level alarm incidence: >= 1 anomalous timestamp observed during normal operation
Wind Farm B,21.csv,21,turb_21,normal_behavior,,RAI_COMPAT_IF,care_2d,53514,52217,1297,0,247,,0.8061,,1,False,176,False,,Dataset-level alarm incidence: >= 1 anomalous timestamp observed during normal operation
Wind Farm B,2.csv,2,turb_2,normal_behavior,,RAI_COMPAT_IF,care_2d,54774,52559,2215,0,171,,0.9213,,1,False,18,False,,Dataset-level alarm incidence: >= 1 anomalous timestamp observed during normal operation
Wind Farm B,23.csv,23,turb_23,normal_behavior,,RAI_COMPAT_IF,care_2d,54542,52559,1983,0,284,,0.9019,,77,True,34,False,,Dataset-level alarm incidence: >= 1 anomalous timestamp observed during normal operation
Wind Farm B,87.csv,87,turb_87,normal_behavior,,RAI_COMPAT_IF,care_2d,55356,52331,3025,0,339,,0.8872,,2,False,84,False,,Dataset-level alarm incidence: >= 1 anomalous timestamp observed during normal operation
Wind Farm B,74.csv,74,turb_74,normal_behavior,,RAI_COMPAT_IF,care_2d,55602,52529,3073,0,489,,0.8453,,7,False,20,False,,Dataset-level alarm incidence: >= 1 anomalous timestamp observed during normal operation
Wind Farm B,86.csv,86,turb_86,normal_behavior,,RAI_COMPAT_IF,care_2d,55486,52559,2927,0,203,,0.9352,,5,False,9,False,,Dataset-level alarm incidence: >= 1 anomalous timestamp observed during normal operation
Wind Farm B,82.csv,82,turb_82,normal_behavior,,RAI_COMPAT_IF,care_2d,54992,52543,2449,0,259,,0.8961,,2,False,8,False,,Dataset-level alarm incidence: >= 1 anomalous timestamp observed during normal operation
Wind Farm B,83.csv,83,turb_83,normal_behavior,,RAI_COMPAT_IF,care_common,66154,52041,14113,0,1027,,0.9734,,185,True,374,False,,Dataset-level alarm incidence: >= 1 anomalous timestamp observed during normal operation
Wind Farm B,52.csv,52,turb_52,normal_behavior,,RAI_COMPAT_IF,care_common,55268,52531,2737,0,58,,0.9799,,1,False,24,False,,Dataset-level alarm incidence: >= 1 anomalous timestamp observed during normal operation
Wind Farm B,21.csv,21,turb_21,normal_behavior,,RAI_COMPAT_IF,care_common,53514,52217,1297,0,54,,0.9748,,20,False,100,False,,Dataset-level alarm incidence: >= 1 anomalous timestamp observed during normal operation
Wind Farm B,2.csv,2,turb_2,normal_behavior,,RAI_COMPAT_IF,care_common,54774,52559,2215,0,88,,0.9782,,32,False,9,False,,Dataset-level alarm incidence: >= 1 anomalous timestamp observed during normal operation
