farm,sensor_name,statistic_type,description,unit,is_angle,is_counter,raw_column_matches,resolved_semantic_category,rai_currently_uses,exclusion_reason
Wind Farm A,sensor_13,average,Temperature in generator bearing 2 (Drive End),�C,False,False,sensor_13_avg,temperature,False,Excluded from narrow CARE_2D/CARE_COMMON baselines; available in CARE_NATIVE_SEMANTIC
Wind Farm A,sensor_14,average,Temperature in generator bearing 1 (Non-Drive End),�C,False,False,sensor_14_avg,temperature,False,Excluded from narrow CARE_2D/CARE_COMMON baselines; available in CARE_NATIVE_SEMANTIC
Wind Farm A,sensor_15,average,Temperature inside generator in stator windings phase 1,�C,False,False,sensor_15_avg,temperature,False,Excluded from narrow CARE_2D/CARE_COMMON baselines; available in CARE_NATIVE_SEMANTIC
Wind Farm A,sensor_16,average,Temperature inside generator in stator windings phase 2,�C,False,False,sensor_16_avg,temperature,False,Excluded from narrow CARE_2D/CARE_COMMON baselines; available in CARE_NATIVE_SEMANTIC
Wind Farm A,sensor_17,average,Temperature inside generator in stator windings phase 3,�C,False,False,sensor_17_avg,temperature,False,Excluded from narrow CARE_2D/CARE_COMMON baselines; available in CARE_NATIVE_SEMANTIC
Wind Farm A,sensor_18,"maximum,minimum,average,std_dev",Generator rpm in latest period,rpm,False,False,"sensor_18_avg, sensor_18_max, sensor_18_min, sensor_18_std",generator,False,Excluded from narrow CARE_2D/CARE_COMMON baselines; available in CARE_NATIVE_SEMANTIC
Wind Farm A,sensor_19,average,Temperature in the split ring chamber,�C,False,False,sensor_19_avg,temperature,False,Excluded from narrow CARE_2D/CARE_COMMON baselines; available in CARE_NATIVE_SEMANTIC
Wind Farm A,sensor_20,average,Temperature in the busbar section,�C,False,False,sensor_20_avg,temperature,False,Excluded from narrow CARE_2D/CARE_COMMON baselines; available in CARE_NATIVE_SEMANTIC
Wind Farm A,sensor_21,average,Temperature measured by the IGBT-driver on the grid side inverter,�C,False,False,sensor_21_avg,temperature,False,Excluded from narrow CARE_2D/CARE_COMMON baselines; available in CARE_NATIVE_SEMANTIC
Wind Farm A,sensor_22,average,Actual phase displacement,nan,False,False,sensor_22_avg,electrical,False,Excluded from narrow CARE_2D/CARE_COMMON baselines; available in CARE_NATIVE_SEMANTIC
Wind Farm A,sensor_23,average,Averaged current in phase 1,A,False,False,sensor_23_avg,electrical,False,Excluded from narrow CARE_2D/CARE_COMMON baselines; available in CARE_NATIVE_SEMANTIC
Wind Farm A,sensor_24,average,Averaged current in phase 2,A,False,False,sensor_24_avg,electrical,False,Excluded from narrow CARE_2D/CARE_COMMON baselines; available in CARE_NATIVE_SEMANTIC
Wind Farm A,sensor_25,average,Averaged current in phase 3,A,False,False,sensor_25_avg,electrical,False,Excluded from narrow CARE_2D/CARE_COMMON baselines; available in CARE_NATIVE_SEMANTIC
Wind Farm A,sensor_26,average,Grid frequency,Hz,False,False,sensor_26_avg,electrical,False,Excluded from narrow CARE_2D/CARE_COMMON baselines; available in CARE_NATIVE_SEMANTIC
Wind Farm A,reactive_power_27,"average,maximum,minimum,std_dev",Possible grid capacitive reactive power,kVAr,False,False,"reactive_power_27_avg, reactive_power_27_max, reactive_power_27_min, reactive_power_27_std",reactive_power,False,Excluded from narrow CARE_2D/CARE_COMMON baselines; available in CARE_NATIVE_SEMANTIC
Wind Farm A,reactive_power_28,"average,maximum,minimum,std_dev",Possible grid inductive reactive power,kVAr,False,False,"reactive_power_28_avg, reactive_power_28_max, reactive_power_28_min, reactive_power_28_std",reactive_power,False,Excluded from narrow CARE_2D/CARE_COMMON baselines; available in CARE_NATIVE_SEMANTIC
Wind Farm A,power_29,"maximum,std_dev,average,minimum",Possible grid active power,kW,False,False,"power_29_avg, power_29_max, power_29_min, power_29_std",active_power,True,
Wind Farm A,power_30,"maximum,std_dev,minimum,average",Grid power,kW,False,False,"power_30_avg, power_30_max, power_30_min, power_30_std",active_power,False,Excluded from narrow CARE_2D/CARE_COMMON baselines; available in CARE_NATIVE_SEMANTIC
Wind Farm A,sensor_31,"average,maximum,minimum,std_dev",Grid reactive power,kVAr,False,False,"sensor_31_avg, sensor_31_max, sensor_31_min, sensor_31_std",reactive_power,False,Excluded from narrow CARE_2D/CARE_COMMON baselines; available in CARE_NATIVE_SEMANTIC
Wind Farm A,sensor_32,average,Averaged voltage in phase 1,V,False,False,sensor_32_avg,electrical,False,Excluded from narrow CARE_2D/CARE_COMMON baselines; available in CARE_NATIVE_SEMANTIC
Wind Farm A,sensor_33,average,Averaged voltage in phase 2,V,False,False,sensor_33_avg,electrical,False,Excluded from narrow CARE_2D/CARE_COMMON baselines; available in CARE_NATIVE_SEMANTIC
Wind Farm A,sensor_34,average,Averaged voltage in phase 3,V,False,False,sensor_34_avg,electrical,False,Excluded from narrow CARE_2D/CARE_COMMON baselines; available in CARE_NATIVE_SEMANTIC
Wind Farm A,sensor_35,average,Temperature measured by the IGBT-driver on the rotor side inverter phase1,�C,False,False,sensor_35_avg,temperature,False,Excluded from narrow CARE_2D/CARE_COMMON baselines; available in CARE_NATIVE_SEMANTIC
Wind Farm A,sensor_36,average,Temperature measured by the IGBT-driver on the rotor side inverter phase2,�C,False,False,sensor_36_avg,temperature,False,Excluded from narrow CARE_2D/CARE_COMMON baselines; available in CARE_NATIVE_SEMANTIC
Wind Farm A,sensor_37,average,Temperature measured by the IGBT-driver on the rotor side inverter phase3,�C,False,False,sensor_37_avg,temperature,False,Excluded from narrow CARE_2D/CARE_COMMON baselines; available in CARE_NATIVE_SEMANTIC
Wind Farm A,sensor_38,average,Temperature in HV transformer phase L1,�C,False,False,sensor_38_avg,temperature,False,Excluded from narrow CARE_2D/CARE_COMMON baselines; available in CARE_NATIVE_SEMANTIC
Wind Farm A,sensor_39,average,Temperature in HV transformer phase L2,�C,False,False,sensor_39_avg,temperature,False,Excluded from narrow CARE_2D/CARE_COMMON baselines; available in CARE_NATIVE_SEMANTIC
Wind Farm A,sensor_40,average,Temperature in HV transformer phase L3,�C,False,False,sensor_40_avg,temperature,False,Excluded from narrow CARE_2D/CARE_COMMON baselines; available in CARE_NATIVE_SEMANTIC
Wind Farm A,sensor_41,average,Temperature oil in hydraulic group,�C,False,False,sensor_41_avg,temperature,False,Excluded from narrow CARE_2D/CARE_COMMON baselines; available in CARE_NATIVE_SEMANTIC
Wind Farm A,sensor_42,average,Nacelle direction,�,True,False,sensor_42_avg,nacelle,False,Excluded from narrow CARE_2D/CARE_COMMON baselines; available in CARE_NATIVE_SEMANTIC
Wind Farm A,sensor_43,average,Nacelle temperature,�C,False,False,sensor_43_avg,temperature,False,Excluded from narrow CARE_2D/CARE_COMMON baselines; available in CARE_NATIVE_SEMANTIC
Wind Farm A,sensor_44,average,Active power - generator disconnected,Wh,False,False,sensor_44,active_power,False,Excluded from narrow CARE_2D/CARE_COMMON baselines; available in CARE_NATIVE_SEMANTIC
Wind Farm A,sensor_45,average,Active power - generator connected in delta,Wh,False,False,sensor_45,active_power,False,Excluded from narrow CARE_2D/CARE_COMMON baselines; available in CARE_NATIVE_SEMANTIC
Wind Farm A,sensor_46,average,Active power - generator connected in star,Wh,False,False,sensor_46,active_power,False,Excluded from narrow CARE_2D/CARE_COMMON baselines; available in CARE_NATIVE_SEMANTIC
Wind Farm A,sensor_47,average,Reactive power - generator disconnected,VArh,False,False,sensor_47,reactive_power,False,Excluded from narrow CARE_2D/CARE_COMMON baselines; available in CARE_NATIVE_SEMANTIC
Wind Farm A,sensor_48,average,Reactive power - generator connected in delta,VArh,False,False,sensor_48,reactive_power,False,Excluded from narrow CARE_2D/CARE_COMMON baselines; available in CARE_NATIVE_SEMANTIC
Wind Farm A,sensor_49,average,Reactive power - generator connected in star,VArh,False,False,sensor_49,reactive_power,False,Excluded from narrow CARE_2D/CARE_COMMON baselines; available in CARE_NATIVE_SEMANTIC
Wind Farm A,sensor_50,average,Total active power,Wh,False,False,sensor_50,active_power,False,Excluded from narrow CARE_2D/CARE_COMMON baselines; available in CARE_NATIVE_SEMANTIC
Wind Farm A,sensor_51,average,Total reactive power,VArh,False,False,sensor_51,reactive_power,False,Excluded from narrow CARE_2D/CARE_COMMON baselines; available in CARE_NATIVE_SEMANTIC
Wind Farm A,sensor_52,"minimum,average,std_dev,maximum",Rotor rpm,rpm,False,False,"sensor_52_avg, sensor_52_max, sensor_52_min, sensor_52_std",rotor_speed,True,
Wind Farm A,sensor_53,average,Temperature in the nose cone,�C,False,False,sensor_53_avg,temperature,False,Excluded from narrow CARE_2D/CARE_COMMON baselines; available in CARE_NATIVE_SEMANTIC
Wind Farm B,sensor_0,"maximum,minimum,average,std_dev",Total negative reactive power,kvarh,False,True,"sensor_0_avg, sensor_0_max, sensor_0_min, sensor_0_std",counters,False,Counter / non-stationary cumulative integral
Wind Farm B,sensor_1,"maximum,std_dev,average,minimum",Total negative active power,kWh,False,True,"sensor_1_avg, sensor_1_max, sensor_1_min, sensor_1_std",counters,False,Counter / non-stationary cumulative integral
Wind Farm B,sensor_2,"average,minimum,maximum,std_dev",Total positive reactive power,kvarh,False,True,"sensor_2_avg, sensor_2_max, sensor_2_min, sensor_2_std",counters,False,Counter / non-stationary cumulative integral
Wind Farm B,sensor_3,"maximum,std_dev,minimum,average",Total positive active power,kWh,False,True,"sensor_3_avg, sensor_3_max, sensor_3_min, sensor_3_std",counters,False,Counter / non-stationary cumulative integral
Wind Farm B,sensor_4,"average,maximum,minimum,std_dev",Absolute wind direction,�,True,False,"sensor_4_avg, sensor_4_max, sensor_4_min, sensor_4_std",angles,False,Excluded from narrow CARE_2D/CARE_COMMON baselines; available in CARE_NATIVE_SEMANTIC
Wind Farm B,sensor_5,"average,maximum,std_dev,minimum",Torque delta calculated,kNm,False,False,"sensor_5_avg, sensor_5_max, sensor_5_min, sensor_5_std",electrical,False,Excluded from narrow CARE_2D/CARE_COMMON baselines; available in CARE_NATIVE_SEMANTIC
Wind Farm B,sensor_6,"average,minimum,std_dev,maximum",Wind speed anemometer 2 calculated,m/s,False,False,"sensor_6_avg, sensor_6_max, sensor_6_min, sensor_6_std",wind_speed,False,Excluded from narrow CARE_2D/CARE_COMMON baselines; available in CARE_NATIVE_SEMANTIC
Wind Farm B,sensor_7,"std_dev,maximum,minimum,average",Cable load,%,False,False,"sensor_7_avg, sensor_7_max, sensor_7_min, sensor_7_std",electrical,False,Excluded from narrow CARE_2D/CARE_COMMON baselines; available in CARE_NATIVE_SEMANTIC
Wind Farm B,sensor_8,"maximum,average,minimum,std_dev",Outside temperature,�C,False,False,"sensor_8_avg, sensor_8_max, sensor_8_min, sensor_8_std",temperature,False,Excluded from narrow CARE_2D/CARE_COMMON baselines; available in CARE_NATIVE_SEMANTIC
Wind Farm B,sensor_9,"average,minimum,maximum,std_dev",Estimated tower natural frequency,mHz,False,False,"sensor_9_avg, sensor_9_max, sensor_9_min, sensor_9_std",electrical,False,Excluded from narrow CARE_2D/CARE_COMMON baselines; available in CARE_NATIVE_SEMANTIC
Wind Farm B,sensor_10,"maximum,std_dev,average,minimum",Pitch angle,�,True,False,"sensor_10_avg, sensor_10_max, sensor_10_min, sensor_10_std",pitch,False,Excluded from narrow CARE_2D/CARE_COMMON baselines; available in CARE_NATIVE_SEMANTIC
Wind Farm B,reactive_power_11,"average,std_dev,maximum,minimum",Reactive power,kvar,False,False,"reactive_power_11_avg, reactive_power_11_max, reactive_power_11_min, reactive_power_11_std",reactive_power,False,Excluded from narrow CARE_2D/CARE_COMMON baselines; available in CARE_NATIVE_SEMANTIC
Wind Farm B,sensor_12,"average,maximum,std_dev,minimum",Torque estimated,Nm,False,False,"sensor_12_avg, sensor_12_max, sensor_12_min, sensor_12_std",electrical,False,Excluded from narrow CARE_2D/CARE_COMMON baselines; available in CARE_NATIVE_SEMANTIC
Wind Farm B,sensor_13,"std_dev,average,maximum,minimum",RMS voltage L1,V,False,False,"sensor_13_avg, sensor_13_max, sensor_13_min, sensor_13_std",electrical,False,Excluded from narrow CARE_2D/CARE_COMMON baselines; available in CARE_NATIVE_SEMANTIC
Wind Farm B,sensor_14,"maximum,std_dev,average,minimum",RMS voltage L2,V,False,False,"sensor_14_avg, sensor_14_max, sensor_14_min, sensor_14_std",electrical,False,Excluded from narrow CARE_2D/CARE_COMMON baselines; available in CARE_NATIVE_SEMANTIC
Wind Farm B,sensor_15,"average,std_dev,maximum,minimum",RMS voltage L3,V,False,False,"sensor_15_avg, sensor_15_max, sensor_15_min, sensor_15_std",electrical,False,Excluded from narrow CARE_2D/CARE_COMMON baselines; available in CARE_NATIVE_SEMANTIC
Wind Farm B,sensor_16,"maximum,minimum,average,std_dev",RMS current L1,A,False,False,"sensor_16_avg, sensor_16_max, sensor_16_min, sensor_16_std",electrical,False,Excluded from narrow CARE_2D/CARE_COMMON baselines; available in CARE_NATIVE_SEMANTIC
Wind Farm B,sensor_17,"average,maximum,minimum,std_dev",RMS current L2,A,False,False,"sensor_17_avg, sensor_17_max, sensor_17_min, sensor_17_std",electrical,False,Excluded from narrow CARE_2D/CARE_COMMON baselines; available in CARE_NATIVE_SEMANTIC
Wind Farm B,sensor_18,"average,minimum,std_dev,maximum",RMS current L3,A,False,False,"sensor_18_avg, sensor_18_max, sensor_18_min, sensor_18_std",electrical,False,Excluded from narrow CARE_2D/CARE_COMMON baselines; available in CARE_NATIVE_SEMANTIC
Wind Farm B,sensor_19,"maximum,minimum,average,std_dev",Generator converter rotational peed,rpm,False,False,"sensor_19_avg, sensor_19_max, sensor_19_min, sensor_19_std",generator,False,Excluded from narrow CARE_2D/CARE_COMMON baselines; available in CARE_NATIVE_SEMANTIC
Wind Farm B,sensor_20,"std_dev,maximum,minimum,average",Gearbox rotational speed,rpm,False,False,"sensor_20_avg, sensor_20_max, sensor_20_min, sensor_20_std",gearbox,False,Excluded from narrow CARE_2D/CARE_COMMON baselines; available in CARE_NATIVE_SEMANTIC
Wind Farm B,sensor_21,"minimum,maximum,std_dev,average",Nacelle direction,�,True,False,"sensor_21_avg, sensor_21_max, sensor_21_min, sensor_21_std",nacelle,False,Excluded from narrow CARE_2D/CARE_COMMON baselines; available in CARE_NATIVE_SEMANTIC
Wind Farm B,sensor_22,"std_dev,maximum,minimum,average",Hub temperature,�C,False,False,"sensor_22_avg, sensor_22_max, sensor_22_min, sensor_22_std",temperature,False,Excluded from narrow CARE_2D/CARE_COMMON baselines; available in CARE_NATIVE_SEMANTIC
Wind Farm B,sensor_23,"minimum,average,maximum,std_dev",Grid frequency,Hz,False,False,"sensor_23_avg, sensor_23_max, sensor_23_min, sensor_23_std",electrical,False,Excluded from narrow CARE_2D/CARE_COMMON baselines; available in CARE_NATIVE_SEMANTIC
Wind Farm B,sensor_24,"average,maximum,minimum,std_dev",Grid voltage,V,False,False,"sensor_24_avg, sensor_24_max, sensor_24_min, sensor_24_std",electrical,False,Excluded from narrow CARE_2D/CARE_COMMON baselines; available in CARE_NATIVE_SEMANTIC
Wind Farm B,sensor_25,"average,maximum,minimum,std_dev",Rotor speed,rpm,False,False,"sensor_25_avg, sensor_25_max, sensor_25_min, sensor_25_std",rotor_speed,True,
Wind Farm B,sensor_26,"minimum,std_dev,average,maximum",Apparent power,kVA,False,False,"sensor_26_avg, sensor_26_max, sensor_26_min, sensor_26_std",electrical,False,Excluded from narrow CARE_2D/CARE_COMMON baselines; available in CARE_NATIVE_SEMANTIC
Wind Farm B,sensor_27,"maximum,minimum,std_dev,average",Current,A,False,False,"sensor_27_avg, sensor_27_max, sensor_27_min, sensor_27_std",electrical,False,Excluded from narrow CARE_2D/CARE_COMMON baselines; available in CARE_NATIVE_SEMANTIC
Wind Farm B,sensor_28,"std_dev,minimum,average,maximum",Motor current axis 1,A,False,False,"sensor_28_avg, sensor_28_max, sensor_28_min, sensor_28_std",electrical,False,Excluded from narrow CARE_2D/CARE_COMMON baselines; available in CARE_NATIVE_SEMANTIC
Wind Farm B,sensor_29,"average,minimum,std_dev,maximum",Motor current axis 2,A,False,False,"sensor_29_avg, sensor_29_max, sensor_29_min, sensor_29_std",electrical,False,Excluded from narrow CARE_2D/CARE_COMMON baselines; available in CARE_NATIVE_SEMANTIC
Wind Farm B,sensor_30,"maximum,std_dev,minimum,average",Motor current axis 3,A,False,False,"sensor_30_avg, sensor_30_max, sensor_30_min, sensor_30_std",electrical,False,Excluded from narrow CARE_2D/CARE_COMMON baselines; available in CARE_NATIVE_SEMANTIC
Wind Farm B,sensor_31,"average,minimum,std_dev,maximum",Temperature internal consumption transformer,�C,False,False,"sensor_31_avg, sensor_31_max, sensor_31_min, sensor_31_std",temperature,False,Excluded from narrow CARE_2D/CARE_COMMON baselines; available in CARE_NATIVE_SEMANTIC
Wind Farm B,sensor_32,"average,maximum,minimum,std_dev",Generator bearing temperature 1,�C,False,False,"sensor_32_avg, sensor_32_max, sensor_32_min, sensor_32_std",temperature,False,Excluded from narrow CARE_2D/CARE_COMMON baselines; available in CARE_NATIVE_SEMANTIC
Wind Farm B,sensor_33,"average,maximum,minimum,std_dev",Generator bearing temperature 2,�C,False,False,"sensor_33_avg, sensor_33_max, sensor_33_min, sensor_33_std",temperature,False,Excluded from narrow CARE_2D/CARE_COMMON baselines; available in CARE_NATIVE_SEMANTIC
Wind Farm B,sensor_34,"average,maximum,std_dev,minimum",Gearbox bearing temperature 1,�C,False,False,"sensor_34_avg, sensor_34_max, sensor_34_min, sensor_34_std",temperature,False,Excluded from narrow CARE_2D/CARE_COMMON baselines; available in CARE_NATIVE_SEMANTIC
Wind Farm B,sensor_35,"minimum,std_dev,average,maximum",Gearbox bearing temperature 2,�C,False,False,"sensor_35_avg, sensor_35_max, sensor_35_min, sensor_35_std",temperature,False,Excluded from narrow CARE_2D/CARE_COMMON baselines; available in CARE_NATIVE_SEMANTIC
Wind Farm B,sensor_36,"minimum,std_dev,maximum,average",Gearbox bearing temperature 3,�C,False,False,"sensor_36_avg, sensor_36_max, sensor_36_min, sensor_36_std",temperature,False,Excluded from narrow CARE_2D/CARE_COMMON baselines; available in CARE_NATIVE_SEMANTIC
Wind Farm B,sensor_37,"minimum,maximum,std_dev,average",Gearbox bearing temperature 4,�C,False,False,"sensor_37_avg, sensor_37_max, sensor_37_min, sensor_37_std",temperature,False,Excluded from narrow CARE_2D/CARE_COMMON baselines; available in CARE_NATIVE_SEMANTIC
Wind Farm B,sensor_38,"maximum,minimum,std_dev,average",Gearbox oil inlet temperature,�C,False,False,"sensor_38_avg, sensor_38_max, sensor_38_min, sensor_38_std",temperature,False,Excluded from narrow CARE_2D/CARE_COMMON baselines; available in CARE_NATIVE_SEMANTIC
Wind Farm B,sensor_39,"average,maximum,minimum,std_dev",Gearbox oil tank temperature,�C,False,False,"sensor_39_avg, sensor_39_max, sensor_39_min, sensor_39_std",temperature,False,Excluded from narrow CARE_2D/CARE_COMMON baselines; available in CARE_NATIVE_SEMANTIC
Wind Farm B,sensor_40,"minimum,std_dev,average,maximum",Transformator core temperature,�C,False,False,"sensor_40_avg, sensor_40_max, sensor_40_min, sensor_40_std",temperature,False,Excluded from narrow CARE_2D/CARE_COMMON baselines; available in CARE_NATIVE_SEMANTIC
Wind Farm B,sensor_41,"average,std_dev,maximum,minimum",Transformer L1 (mid-voltage) temperature ,�C,False,False,"sensor_41_avg, sensor_41_max, sensor_41_min, sensor_41_std",temperature,False,Excluded from narrow CARE_2D/CARE_COMMON baselines; available in CARE_NATIVE_SEMANTIC
Wind Farm B,sensor_42,"maximum,minimum,std_dev,average",Transformer L1 (undervoltage) temperature ,�C,False,False,"sensor_42_avg, sensor_42_max, sensor_42_min, sensor_42_std",temperature,False,Excluded from narrow CARE_2D/CARE_COMMON baselines; available in CARE_NATIVE_SEMANTIC
Wind Farm B,sensor_43,"maximum,average,minimum,std_dev",Transformer L2 (mid-voltage) temperature ,�C,False,False,"sensor_43_avg, sensor_43_max, sensor_43_min, sensor_43_std",temperature,False,Excluded from narrow CARE_2D/CARE_COMMON baselines; available in CARE_NATIVE_SEMANTIC
Wind Farm B,sensor_44,"maximum,average,minimum,std_dev",Transformer L2 (undervoltage) temperature ,�C,False,False,"sensor_44_avg, sensor_44_max, sensor_44_min, sensor_44_std",temperature,False,Excluded from narrow CARE_2D/CARE_COMMON baselines; available in CARE_NATIVE_SEMANTIC
Wind Farm B,sensor_45,"average,maximum,minimum,std_dev",Transformer L3 (mid-voltage) temperature ,�C,False,False,"sensor_45_avg, sensor_45_max, sensor_45_min, sensor_45_std",temperature,False,Excluded from narrow CARE_2D/CARE_COMMON baselines; available in CARE_NATIVE_SEMANTIC
Wind Farm B,sensor_46,"std_dev,average,maximum,minimum",Transformer L3 (undervoltage) temperature ,�C,False,False,"sensor_46_avg, sensor_46_max, sensor_46_min, sensor_46_std",temperature,False,Excluded from narrow CARE_2D/CARE_COMMON baselines; available in CARE_NATIVE_SEMANTIC
Wind Farm B,sensor_47,"maximum,minimum,std_dev,average",Transformer cell temperature,�C,False,False,"sensor_47_avg, sensor_47_max, sensor_47_min, sensor_47_std",temperature,False,Excluded from narrow CARE_2D/CARE_COMMON baselines; available in CARE_NATIVE_SEMANTIC
Wind Farm B,sensor_48,"maximum,std_dev,average,minimum",Motor temperature axis 1,�C,False,False,"sensor_48_avg, sensor_48_max, sensor_48_min, sensor_48_std",temperature,False,Excluded from narrow CARE_2D/CARE_COMMON baselines; available in CARE_NATIVE_SEMANTIC
Wind Farm B,sensor_49,"average,minimum,maximum,std_dev",Motor temperature axis 2,�C,False,False,"sensor_49_avg, sensor_49_max, sensor_49_min, sensor_49_std",temperature,False,Excluded from narrow CARE_2D/CARE_COMMON baselines; available in CARE_NATIVE_SEMANTIC
Wind Farm B,sensor_50,"std_dev,maximum,minimum,average",Motor temperature axis 3,�C,False,False,"sensor_50_avg, sensor_50_max, sensor_50_min, sensor_50_std",temperature,False,Excluded from narrow CARE_2D/CARE_COMMON baselines; available in CARE_NATIVE_SEMANTIC
Wind Farm B,sensor_51,"average,std_dev,maximum,minimum",Rotor bearing temperature 1,�C,False,False,"sensor_51_avg, sensor_51_max, sensor_51_min, sensor_51_std",temperature,False,Excluded from narrow CARE_2D/CARE_COMMON baselines; available in CARE_NATIVE_SEMANTIC
Wind Farm B,sensor_52,"maximum,minimum,std_dev,average",Rotor bearing temperature 2,�C,False,False,"sensor_52_avg, sensor_52_max, sensor_52_min, sensor_52_std",temperature,False,Excluded from narrow CARE_2D/CARE_COMMON baselines; available in CARE_NATIVE_SEMANTIC
Wind Farm B,sensor_53,"maximum,minimum,average,std_dev",Slip ring temperature Generator,�C,False,False,"sensor_53_avg, sensor_53_max, sensor_53_min, sensor_53_std",temperature,False,Excluded from narrow CARE_2D/CARE_COMMON baselines; available in CARE_NATIVE_SEMANTIC
Wind Farm B,sensor_54,"maximum,minimum,std_dev,average",Drive train vibration axis Z,mG,False,False,"sensor_54_avg, sensor_54_max, sensor_54_min, sensor_54_std",vibration,False,Excluded from narrow CARE_2D/CARE_COMMON baselines; available in CARE_NATIVE_SEMANTIC
Wind Farm B,sensor_55,"average,maximum,minimum,std_dev",Tower vibration axis X,mG,False,False,"sensor_55_avg, sensor_55_max, sensor_55_min, sensor_55_std",vibration,False,Excluded from narrow CARE_2D/CARE_COMMON baselines; available in CARE_NATIVE_SEMANTIC
Wind Farm B,sensor_56,"maximum,minimum,average,std_dev",Tower vibration axis Y,mG,False,False,"sensor_56_avg, sensor_56_max, sensor_56_min, sensor_56_std",vibration,False,Excluded from narrow CARE_2D/CARE_COMMON baselines; available in CARE_NATIVE_SEMANTIC
Wind Farm B,sensor_57,"average,std_dev,maximum,minimum",Inverter torque,Nm,False,False,"sensor_57_avg, sensor_57_max, sensor_57_min, sensor_57_std",electrical,False,Excluded from narrow CARE_2D/CARE_COMMON baselines; available in CARE_NATIVE_SEMANTIC
Wind Farm B,power_58,"maximum,minimum,average,std_dev",Available power,kW,False,False,"power_58_avg, power_58_max, power_58_min, power_58_std",active_power,True,
Wind Farm B,wind_speed_59,"average,maximum,minimum,std_dev",Wind speed 1,m/s,False,False,"wind_speed_59_avg, wind_speed_59_max, wind_speed_59_min, wind_speed_59_std",wind_speed,True,
Wind Farm B,wind_speed_60,"average,minimum,maximum,std_dev",Wind speed 2,m/s,False,False,"wind_speed_60_avg, wind_speed_60_max, wind_speed_60_min, wind_speed_60_std",wind_speed,False,Excluded from narrow CARE_2D/CARE_COMMON baselines; available in CARE_NATIVE_SEMANTIC
Wind Farm B,wind_speed_61,"minimum,average,maximum,std_dev",Wind speed,m/s,False,False,"wind_speed_61_avg, wind_speed_61_max, wind_speed_61_min, wind_speed_61_std",wind_speed,False,Excluded from narrow CARE_2D/CARE_COMMON baselines; available in CARE_NATIVE_SEMANTIC
Wind Farm B,power_62,"minimum,std_dev,maximum,average",Active power,kW,False,False,"power_62_avg, power_62_max, power_62_min, power_62_std",active_power,False,Excluded from narrow CARE_2D/CARE_COMMON baselines; available in CARE_NATIVE_SEMANTIC
