farm,turbine_id,condition,status,care_score,coverage_fbeta,accuracy,reliability_efbeta,earliness_ws,n_datasets,n_anomaly,n_normal,n_detected,n_missed
Wind Farm B,CARE-WT-0,ALL,INSUFFICIENT_DATA,,,,,,1,0,1,0,0
Wind Farm B,CARE-WT-11,CONDITION_A_TARGET_SPECIFIC,VALID,0.3989,0.0,0.9964,0.0,0.0018,2,1,1,0,1
Wind Farm B,CARE-WT-11,CONDITION_B_CROSS_TURBINE,VALID,0.3997,0.0,0.9983,0.0,0.0018,2,1,1,0,1
Wind Farm B,CARE-WT-11,CONDITION_C_FROZEN_CHAMPION,VALID,0.3996,0.0,0.998,0.0,0.0018,2,1,1,0,1
Wind Farm B,CARE-WT-12,CONDITION_A_TARGET_SPECIFIC,VALID,0.6098,0.0101,1.0,1.0,0.0387,2,1,1,1,0
Wind Farm B,CARE-WT-12,CONDITION_B_CROSS_TURBINE,VALID,0.6078,0.0076,1.0,1.0,0.0313,2,1,1,1,0
Wind Farm B,CARE-WT-12,CONDITION_C_FROZEN_CHAMPION,VALID,0.608,0.0076,1.0,1.0,0.0325,2,1,1,1,0
Wind Farm B,CARE-WT-13,CONDITION_A_TARGET_SPECIFIC,VALID,0.6071,0.0047,1.0,1.0,0.0308,2,1,1,1,0
Wind Farm B,CARE-WT-13,CONDITION_B_CROSS_TURBINE,VALID,0.4056,0.0047,1.0,0.0,0.0235,2,1,1,0,1
Wind Farm B,CARE-WT-13,CONDITION_C_FROZEN_CHAMPION,VALID,0.406,0.0047,1.0,0.0,0.0251,2,1,1,0,1
Wind Farm B,CARE-WT-14,CONDITION_A_TARGET_SPECIFIC,VALID,0.4005,0.0016,1.0,0.0,0.0008,2,1,1,0,1
Wind Farm B,CARE-WT-14,CONDITION_B_CROSS_TURBINE,VALID,0.4033,0.0049,1.0,0.0,0.0118,2,1,1,0,1
Wind Farm B,CARE-WT-14,CONDITION_C_FROZEN_CHAMPION,VALID,0.4023,0.0016,1.0,0.0,0.0101,2,1,1,0,1
Wind Farm B,CARE-WT-2,ALL,INSUFFICIENT_DATA,,,,,,1,0,1,0,0
Wind Farm B,CARE-WT-5,ALL,INSUFFICIENT_DATA,,,,,,1,0,1,0,0
Wind Farm B,CARE-WT-6,CONDITION_A_TARGET_SPECIFIC,VALID,0.6169,0.0215,1.0,1.0,0.0631,2,1,1,1,0
Wind Farm B,CARE-WT-6,CONDITION_B_CROSS_TURBINE,VALID,0.6145,0.0096,1.0,1.0,0.0631,2,1,1,1,0
Wind Farm B,CARE-WT-6,CONDITION_C_FROZEN_CHAMPION,VALID,0.6144,0.0096,1.0,1.0,0.0627,2,1,1,1,0
Wind Farm B,CARE-WT-7,CONDITION_A_TARGET_SPECIFIC,VALID,0.6028,0.0036,0.9993,1.0,0.0118,2,1,1,1,0
Wind Farm B,CARE-WT-7,CONDITION_B_CROSS_TURBINE,VALID,0.6023,0.0018,0.9997,1.0,0.0106,2,1,1,1,0
Wind Farm B,CARE-WT-7,CONDITION_C_FROZEN_CHAMPION,VALID,0.6024,0.0018,0.9997,1.0,0.0108,2,1,1,1,0
Wind Farm C,CARE-WT-12,CONDITION_A_TARGET_SPECIFIC,VALID,0.4071,0.0,1.0,0.0,0.0354,3,2,1,0,2
Wind Farm C,CARE-WT-12,CONDITION_B_CROSS_TURBINE,VALID,0.5829,0.0,1.0,0.8333,0.0813,3,2,1,1,1
Wind Farm C,CARE-WT-12,CONDITION_C_FROZEN_CHAMPION,VALID,0.5829,0.0,1.0,0.8333,0.0813,3,2,1,1,1
Wind Farm C,CARE-WT-13,ALL,INSUFFICIENT_DATA,,,,,,1,0,1,0,0
Wind Farm C,CARE-WT-14,ALL,INSUFFICIENT_DATA,,,,,,1,0,1,0,0
Wind Farm C,CARE-WT-15,CONDITION_A_TARGET_SPECIFIC,VALID,0.3998,0.0,0.9995,0.0,0.0,2,1,1,0,1
Wind Farm C,CARE-WT-15,CONDITION_B_CROSS_TURBINE,VALID,0.3998,0.0,0.9995,0.0,0.0,2,1,1,0,1
Wind Farm C,CARE-WT-15,CONDITION_C_FROZEN_CHAMPION,VALID,0.3998,0.0,0.9995,0.0,0.0,2,1,1,0,1
Wind Farm C,CARE-WT-16,CONDITION_A_TARGET_SPECIFIC,VALID,0.7009,0.0274,0.9976,1.0,0.482,4,2,2,2,0
Wind Farm C,CARE-WT-16,CONDITION_B_CROSS_TURBINE,VALID,0.6019,0.0169,0.9895,0.8333,0.1805,4,2,2,1,1
Wind Farm C,CARE-WT-16,CONDITION_C_FROZEN_CHAMPION,VALID,0.6039,0.0169,0.9895,0.8333,0.1906,4,2,2,1,1
Wind Farm C,CARE-WT-2,CONDITION_A_TARGET_SPECIFIC,VALID,0.4048,0.0017,0.9888,0.0,0.045,2,1,1,0,1
Wind Farm C,CARE-WT-2,CONDITION_B_CROSS_TURBINE,VALID,0.4003,0.0,1.0,0.0,0.0016,2,1,1,0,1
Wind Farm C,CARE-WT-2,CONDITION_C_FROZEN_CHAMPION,VALID,0.4004,0.0,1.0,0.0,0.002,2,1,1,0,1
Wind Farm C,CARE-WT-21,CONDITION_A_TARGET_SPECIFIC,VALID,0.4016,0.0,1.0,0.0,0.0081,2,1,1,0,1
Wind Farm C,CARE-WT-21,CONDITION_B_CROSS_TURBINE,VALID,0.4,0.0,1.0,0.0,0.0,2,1,1,0,1
Wind Farm C,CARE-WT-21,CONDITION_C_FROZEN_CHAMPION,VALID,0.4,0.0,1.0,0.0,0.0,2,1,1,0,1
Wind Farm C,CARE-WT-23,CONDITION_A_TARGET_SPECIFIC,VALID,0.6012,0.0,0.9981,1.0,0.0099,3,1,2,1,0
Wind Farm C,CARE-WT-23,CONDITION_B_CROSS_TURBINE,VALID,0.396,0.0,0.9901,0.0,0.0,3,1,2,0,1
Wind Farm C,CARE-WT-23,CONDITION_C_FROZEN_CHAMPION,VALID,0.396,0.0,0.9901,0.0,0.0,3,1,2,0,1
Wind Farm C,CARE-WT-32,CONDITION_A_TARGET_SPECIFIC,VALID,0.6402,0.0,1.0,1.0,0.201,2,1,1,1,0
Wind Farm C,CARE-WT-32,CONDITION_B_CROSS_TURBINE,VALID,0.6456,0.0,1.0,1.0,0.2278,2,1,1,1,0
Wind Farm C,CARE-WT-32,CONDITION_C_FROZEN_CHAMPION,VALID,0.6456,0.0,1.0,1.0,0.2278,2,1,1,1,0
Wind Farm C,CARE-WT-33,CONDITION_A_TARGET_SPECIFIC,VALID,0.3959,0.0,0.9897,0.0,0.0,2,1,1,0,1
Wind Farm C,CARE-WT-33,CONDITION_B_CROSS_TURBINE,VALID,0.3959,0.0,0.9897,0.0,0.0,2,1,1,0,1
Wind Farm C,CARE-WT-33,CONDITION_C_FROZEN_CHAMPION,VALID,0.3959,0.0,0.9897,0.0,0.0,2,1,1,0,1
Wind Farm C,CARE-WT-34,CONDITION_A_TARGET_SPECIFIC,VALID,0.5434,0.0,1.0,0.7143,0.0027,4,2,2,2,0
Wind Farm C,CARE-WT-34,CONDITION_B_CROSS_TURBINE,VALID,0.5678,0.0045,1.0,0.8333,0.0012,4,2,2,1,1
Wind Farm C,CARE-WT-34,CONDITION_C_FROZEN_CHAMPION,VALID,0.5678,0.0045,1.0,0.8333,0.0012,4,2,2,1,1
Wind Farm C,CARE-WT-35,CONDITION_A_TARGET_SPECIFIC,VALID,0.6205,0.0003,1.0,0.8333,0.2688,4,2,2,1,1
Wind Farm C,CARE-WT-35,CONDITION_B_CROSS_TURBINE,VALID,0.5851,0.0239,1.0,0.8333,0.0681,4,2,2,1,1
Wind Farm C,CARE-WT-35,CONDITION_C_FROZEN_CHAMPION,VALID,0.5854,0.0239,1.0,0.8333,0.0697,4,2,2,1,1
Wind Farm C,CARE-WT-38,CONDITION_A_TARGET_SPECIFIC,VALID,0.5646,0.0,1.0,0.5556,0.2677,2,1,1,1,0
Wind Farm C,CARE-WT-38,CONDITION_B_CROSS_TURBINE,VALID,0.5946,0.6357,1.0,0.0,0.3375,2,1,1,0,1
Wind Farm C,CARE-WT-38,CONDITION_C_FROZEN_CHAMPION,VALID,0.5928,0.6357,1.0,0.0,0.3284,2,1,1,0,1
Wind Farm C,CARE-WT-42,CONDITION_A_TARGET_SPECIFIC,VALID,0.6046,0.0,0.9996,1.0,0.024,2,1,1,1,0
Wind Farm C,CARE-WT-42,CONDITION_B_CROSS_TURBINE,VALID,0.4022,0.004,1.0,0.0,0.0068,2,1,1,0,1
Wind Farm C,CARE-WT-42,CONDITION_C_FROZEN_CHAMPION,VALID,0.4022,0.004,1.0,0.0,0.0068,2,1,1,0,1
Wind Farm C,CARE-WT-43,CONDITION_A_TARGET_SPECIFIC,VALID,0.6399,0.0932,1.0,1.0,0.1064,4,2,2,2,0
Wind Farm C,CARE-WT-43,CONDITION_B_CROSS_TURBINE,VALID,0.4108,0.0128,1.0,0.0,0.0413,4,2,2,0,2
Wind Farm C,CARE-WT-43,CONDITION_C_FROZEN_CHAMPION,VALID,0.4102,0.0128,1.0,0.0,0.0383,4,2,2,0,2
Wind Farm C,CARE-WT-44,CONDITION_A_TARGET_SPECIFIC,VALID,0.5174,0.0017,1.0,0.5556,0.0295,2,1,1,1,0
Wind Farm C,CARE-WT-44,CONDITION_B_CROSS_TURBINE,VALID,0.4002,0.0,1.0,0.0,0.001,2,1,1,0,1
Wind Farm C,CARE-WT-44,CONDITION_C_FROZEN_CHAMPION,VALID,0.4002,0.0,1.0,0.0,0.001,2,1,1,0,1
Wind Farm C,CARE-WT-5,ALL,INSUFFICIENT_DATA,,,,,,1,0,1,0,0
Wind Farm C,CARE-WT-50,CONDITION_A_TARGET_SPECIFIC,VALID,0.4128,0.0329,0.9995,0.0,0.0322,2,1,1,0,1
Wind Farm C,CARE-WT-50,CONDITION_B_CROSS_TURBINE,VALID,0.4114,0.0329,1.0,0.0,0.0243,2,1,1,0,1
Wind Farm C,CARE-WT-50,CONDITION_C_FROZEN_CHAMPION,VALID,0.4114,0.0329,1.0,0.0,0.0243,2,1,1,0,1
Wind Farm C,CARE-WT-52,CONDITION_A_TARGET_SPECIFIC,VALID,0.0,0.0,1.0,0.0,0.0,4,2,2,0,2
Wind Farm C,CARE-WT-52,CONDITION_B_CROSS_TURBINE,VALID,0.572,0.0011,0.9696,0.8333,0.0867,4,2,2,1,1
Wind Farm C,CARE-WT-52,CONDITION_C_FROZEN_CHAMPION,VALID,0.5686,0.0011,0.9696,0.8333,0.0696,4,2,2,1,1
Wind Farm C,CARE-WT-53,CONDITION_A_TARGET_SPECIFIC,VALID,0.6001,0.0,0.9794,0.9091,0.1329,6,3,3,2,1
Wind Farm C,CARE-WT-53,CONDITION_B_CROSS_TURBINE,VALID,0.6011,0.0,0.9788,0.9091,0.1389,6,3,3,2,1
Wind Farm C,CARE-WT-53,CONDITION_C_FROZEN_CHAMPION,VALID,0.601,0.0,0.9788,0.9091,0.1381,6,3,3,2,1
Wind Farm C,CARE-WT-55,CONDITION_A_TARGET_SPECIFIC,VALID,0.3998,0.0,0.999,0.0,0.0012,3,1,2,0,1
Wind Farm C,CARE-WT-55,CONDITION_B_CROSS_TURBINE,VALID,0.4,0.0,1.0,0.0,0.0,3,1,2,0,1
Wind Farm C,CARE-WT-55,CONDITION_C_FROZEN_CHAMPION,VALID,0.4,0.0,1.0,0.0,0.0,3,1,2,0,1
Wind Farm C,CARE-WT-56,CONDITION_A_TARGET_SPECIFIC,VALID,0.6231,0.0,1.0,1.0,0.1156,2,1,1,1,0
Wind Farm C,CARE-WT-56,CONDITION_B_CROSS_TURBINE,VALID,0.4008,0.0,1.0,0.0,0.0042,2,1,1,0,1
Wind Farm C,CARE-WT-56,CONDITION_C_FROZEN_CHAMPION,VALID,0.4008,0.0,1.0,0.0,0.0042,2,1,1,0,1
