source_farm,target_farm,condition,dataset_file,turbine_id,max_criticality,alarm_count,exceeded_event_criticality
Wind Farm A,Wind Farm C,STRICT_ZERO_SHOT,93.csv,CARE-WT-43,36,51,False
Wind Farm A,Wind Farm C,STRICT_ZERO_SHOT,94.csv,CARE-WT-34,278,302,True
Wind Farm B,Wind Farm C,STRICT_ZERO_SHOT,1.csv,CARE-WT-53,2,11,False
Wind Farm B,Wind Farm C,STRICT_ZERO_SHOT,20.csv,CARE-WT-53,32,43,False
Wind Farm B,Wind Farm C,STRICT_ZERO_SHOT,29.csv,CARE-WT-13,1,69,False
Wind Farm B,Wind Farm C,STRICT_ZERO_SHOT,32.csv,CARE-WT-42,1,96,False
Wind Farm B,Wind Farm C,STRICT_ZERO_SHOT,36.csv,CARE-WT-2,2,169,False
Wind Farm B,Wind Farm C,STRICT_ZERO_SHOT,37.csv,CARE-WT-23,2,26,False
Wind Farm B,Wind Farm C,STRICT_ZERO_SHOT,41.csv,CARE-WT-33,5,62,False
Wind Farm B,Wind Farm C,STRICT_ZERO_SHOT,43.csv,CARE-WT-52,2,30,False
Wind Farm B,Wind Farm C,STRICT_ZERO_SHOT,46.csv,CARE-WT-16,0,74,False
Wind Farm B,Wind Farm C,STRICT_ZERO_SHOT,48.csv,CARE-WT-35,8,15,False
Wind Farm B,Wind Farm C,STRICT_ZERO_SHOT,50.csv,CARE-WT-12,47,3457,False
Wind Farm B,Wind Farm C,STRICT_ZERO_SHOT,54.csv,CARE-WT-52,12,351,False
Wind Farm B,Wind Farm C,STRICT_ZERO_SHOT,56.csv,CARE-WT-34,33,51,False
Wind Farm B,Wind Farm C,STRICT_ZERO_SHOT,57.csv,CARE-WT-55,7,10,False
Wind Farm B,Wind Farm C,STRICT_ZERO_SHOT,58.csv,CARE-WT-35,0,93,False
Wind Farm B,Wind Farm C,STRICT_ZERO_SHOT,59.csv,CARE-WT-32,0,9,False
Wind Farm B,Wind Farm C,STRICT_ZERO_SHOT,6.csv,CARE-WT-38,119,141,True
Wind Farm B,Wind Farm C,STRICT_ZERO_SHOT,60.csv,CARE-WT-53,5,84,False
Wind Farm B,Wind Farm C,STRICT_ZERO_SHOT,61.csv,CARE-WT-43,19,143,False
Wind Farm B,Wind Farm C,STRICT_ZERO_SHOT,62.csv,CARE-WT-21,0,20,False
Wind Farm B,Wind Farm C,STRICT_ZERO_SHOT,63.csv,CARE-WT-56,0,4,False
Wind Farm B,Wind Farm C,STRICT_ZERO_SHOT,64.csv,CARE-WT-15,8,17,False
Wind Farm B,Wind Farm C,STRICT_ZERO_SHOT,65.csv,CARE-WT-16,1,57,False
Wind Farm B,Wind Farm C,STRICT_ZERO_SHOT,75.csv,CARE-WT-44,50,163,False
Wind Farm B,Wind Farm C,STRICT_ZERO_SHOT,8.csv,CARE-WT-50,1,22,False
Wind Farm B,Wind Farm C,STRICT_ZERO_SHOT,80.csv,CARE-WT-23,1,66,False
Wind Farm B,Wind Farm C,STRICT_ZERO_SHOT,85.csv,CARE-WT-14,2,14,False
Wind Farm B,Wind Farm C,STRICT_ZERO_SHOT,88.csv,CARE-WT-55,184,353,True
Wind Farm B,Wind Farm C,STRICT_ZERO_SHOT,89.csv,CARE-WT-5,1,55,False
Wind Farm B,Wind Farm C,STRICT_ZERO_SHOT,93.csv,CARE-WT-43,36,66,False
Wind Farm B,Wind Farm C,STRICT_ZERO_SHOT,94.csv,CARE-WT-34,210,263,True
