category,evidentiary_tier,integrity_status,file_path,line_number,data_source,experiment,sample_size,independent_event_count,audit_notes
CARE Benchmark Claims,EXTERNAL_REAL,REMEDIATED,task_plan.md,88,Internal Synthetic Fleet,Operational Evaluation,N/A,N/A,Demarcated to avoid conflating internal score with official CARE dataset.
R2 Tracking Metrics,EXTERNAL_REAL,VERIFIED,artifacts/evaluation/external_benchmark_results.json,9,External Commercial Wind Turbine SCADA,Expected-Behavior Zero-Shot Tracking,1 unseen commercial turbine (10m SCADA),0,"Validates expected power/thermal curve transfer, NOT anomaly detection."
R2 Tracking Metrics,EXTERNAL_REAL,VERIFIED,artifacts/evaluation/external_benchmark_results.json,49,External Commercial Wind Turbine SCADA,Expected-Behavior Zero-Shot Tracking,1 unseen commercial turbine (10m SCADA),0,"Validates expected power/thermal curve transfer, NOT anomaly detection."
R2 Tracking Metrics,EXTERNAL_REAL,VERIFIED,artifacts/evaluation/external_benchmark_summary.md,12,External Commercial Wind Turbine SCADA,Expected-Behavior Zero-Shot Tracking,1 unseen commercial turbine (10m SCADA),0,"Validates expected power/thermal curve transfer, NOT anomaly detection."
R2 Tracking Metrics,EXTERNAL_REAL,VERIFIED,artifacts/evaluation/external_benchmark_summary.md,21,External Commercial Wind Turbine SCADA,Expected-Behavior Zero-Shot Tracking,1 unseen commercial turbine (10m SCADA),0,"Validates expected power/thermal curve transfer, NOT anomaly detection."
0.19 False Alarm / Contamination Claims,SOFTWARE_INVARIANT,VERIFIED,artifacts/evaluation/metrics.csv,5,Internal Synthetic Fleet,Operational Evaluation,N/A,N/A,Numerical constant or model parameter.
0.19 False Alarm / Contamination Claims,SOFTWARE_INVARIANT,VERIFIED,artifacts/evaluation/metrics.csv,6,Internal Synthetic Fleet,Operational Evaluation,N/A,N/A,Numerical constant or model parameter.
0.19 False Alarm / Contamination Claims,SOFTWARE_INVARIANT,VERIFIED,artifacts/evaluation/results.json,185,Internal Synthetic Fleet,Operational Evaluation,N/A,N/A,Numerical constant or model parameter.
0.19 False Alarm / Contamination Claims,SOFTWARE_INVARIANT,VERIFIED,artifacts/evaluation/results.json,203,Internal Synthetic Fleet,Operational Evaluation,N/A,N/A,Numerical constant or model parameter.
0.09 Alert Funnel / Contamination Claims,INTERNAL_SYNTHETIC,VERIFIED,artifacts/evaluation/results.json,262,Internal Synthetic Fleet,Operational Evaluation,N/A,N/A,Contextual numeric value.
R2 Tracking Metrics,EXTERNAL_REAL,VERIFIED,artifacts/evaluation/results.json,303,External Commercial Wind Turbine SCADA,Expected-Behavior Zero-Shot Tracking,1 unseen commercial turbine (10m SCADA),0,"Validates expected power/thermal curve transfer, NOT anomaly detection."
0.19 False Alarm / Contamination Claims,INTERNAL_SYNTHETIC,VERIFIED,artifacts/evaluation/summary.md,17,42-asset synthetic fleet,Gate 2 Locked Holdout,"42 assets * 7 days (7,056 asset-hours)",6,v1 holdout false alarm rate post-persistence (6h) and peer gating.
R2 Tracking Metrics,EXTERNAL_REAL,VERIFIED,artifacts/evaluation/summary.md,22,External Commercial Wind Turbine SCADA,Expected-Behavior Zero-Shot Tracking,1 unseen commercial turbine (10m SCADA),0,"Validates expected power/thermal curve transfer, NOT anomaly detection."
0.09 Alert Funnel / Contamination Claims,INTERNAL_SYNTHETIC,VERIFIED,artifacts/evaluation/summary.md,66,42-asset synthetic fleet,Phase 4 Production Alert Funnel,"42 assets * 45 days (45,360 asset-hours)",6,v2 production funnel rate with downstream sensor & common-cause gating.
0.19 False Alarm / Contamination Claims,SOFTWARE_INVARIANT,VERIFIED,artifacts/evaluation/baseline/metrics.csv,5,Internal Synthetic Fleet,Operational Evaluation,N/A,N/A,Numerical constant or model parameter.
0.19 False Alarm / Contamination Claims,SOFTWARE_INVARIANT,VERIFIED,artifacts/evaluation/baseline/metrics.csv,6,Internal Synthetic Fleet,Operational Evaluation,N/A,N/A,Numerical constant or model parameter.
0.19 False Alarm / Contamination Claims,SOFTWARE_INVARIANT,VERIFIED,artifacts/evaluation/baseline/results.json,185,Internal Synthetic Fleet,Operational Evaluation,N/A,N/A,Numerical constant or model parameter.
0.19 False Alarm / Contamination Claims,SOFTWARE_INVARIANT,VERIFIED,artifacts/evaluation/baseline/results.json,203,Internal Synthetic Fleet,Operational Evaluation,N/A,N/A,Numerical constant or model parameter.
0.09 Alert Funnel / Contamination Claims,INTERNAL_SYNTHETIC,VERIFIED,artifacts/evaluation/baseline/results.json,262,Internal Synthetic Fleet,Operational Evaluation,N/A,N/A,Contextual numeric value.
R2 Tracking Metrics,EXTERNAL_REAL,VERIFIED,artifacts/evaluation/baseline/results.json,303,External Commercial Wind Turbine SCADA,Expected-Behavior Zero-Shot Tracking,1 unseen commercial turbine (10m SCADA),0,"Validates expected power/thermal curve transfer, NOT anomaly detection."
0.19 False Alarm / Contamination Claims,INTERNAL_SYNTHETIC,VERIFIED,artifacts/evaluation/baseline/summary.md,17,42-asset synthetic fleet,Gate 2 Locked Holdout,"42 assets * 7 days (7,056 asset-hours)",6,v1 holdout false alarm rate post-persistence (6h) and peer gating.
R2 Tracking Metrics,EXTERNAL_REAL,VERIFIED,artifacts/evaluation/baseline/summary.md,22,External Commercial Wind Turbine SCADA,Expected-Behavior Zero-Shot Tracking,1 unseen commercial turbine (10m SCADA),0,"Validates expected power/thermal curve transfer, NOT anomaly detection."
0.09 Alert Funnel / Contamination Claims,INTERNAL_SYNTHETIC,VERIFIED,artifacts/evaluation/baseline/summary.md,66,42-asset synthetic fleet,Phase 4 Production Alert Funnel,"42 assets * 45 days (45,360 asset-hours)",6,v2 production funnel rate with downstream sensor & common-cause gating.
0.19 False Alarm / Contamination Claims,INTERNAL_SYNTHETIC,VERIFIED,artifacts/evaluation/gate2/scorecard.csv,7,42-asset synthetic fleet,Gate 2 Locked Holdout,"42 assets * 7 days (7,056 asset-hours)",6,v1 holdout false alarm rate post-persistence (6h) and peer gating.
0.19 False Alarm / Contamination Claims,SOFTWARE_INVARIANT,VERIFIED,artifacts/evaluation/gate2/scorecard.json,43,Internal Synthetic Fleet,Operational Evaluation,N/A,N/A,Numerical constant or model parameter.
0.19 False Alarm / Contamination Claims,INTERNAL_SYNTHETIC,VERIFIED,artifacts/evaluation/gate2/summary.md,45,42-asset synthetic fleet,Gate 2 Locked Holdout,"42 assets * 7 days (7,056 asset-hours)",6,v1 holdout false alarm rate post-persistence (6h) and peer gating.
0.19 False Alarm / Contamination Claims,SOFTWARE_INVARIANT,VERIFIED,artifacts/evaluation/gate2/threshold_sweep.csv,9,Internal Synthetic Fleet,Operational Evaluation,N/A,N/A,Numerical constant or model parameter.
0.19 False Alarm / Contamination Claims,SOFTWARE_INVARIANT,VERIFIED,artifacts/evaluation/gate2/threshold_sweep.csv,10,Internal Synthetic Fleet,Operational Evaluation,N/A,N/A,Numerical constant or model parameter.
0.19 False Alarm / Contamination Claims,SOFTWARE_INVARIANT,VERIFIED,artifacts/evaluation/gate2/threshold_sweep.csv,11,Internal Synthetic Fleet,Operational Evaluation,N/A,N/A,Numerical constant or model parameter.
0.19 False Alarm / Contamination Claims,SOFTWARE_INVARIANT,VERIFIED,artifacts/evaluation/gate2/threshold_sweep.csv,12,Internal Synthetic Fleet,Operational Evaluation,N/A,N/A,Numerical constant or model parameter.
0.19 False Alarm / Contamination Claims,SOFTWARE_INVARIANT,VERIFIED,artifacts/evaluation/gate2/threshold_sweep.csv,13,Internal Synthetic Fleet,Operational Evaluation,N/A,N/A,Numerical constant or model parameter.
0.19 False Alarm / Contamination Claims,SOFTWARE_INVARIANT,VERIFIED,artifacts/evaluation/gate2/threshold_sweep.csv,14,Internal Synthetic Fleet,Operational Evaluation,N/A,N/A,Numerical constant or model parameter.
0.19 False Alarm / Contamination Claims,SOFTWARE_INVARIANT,VERIFIED,artifacts/evaluation/gate2/threshold_sweep.csv,15,Internal Synthetic Fleet,Operational Evaluation,N/A,N/A,Numerical constant or model parameter.
0.19 False Alarm / Contamination Claims,SOFTWARE_INVARIANT,VERIFIED,artifacts/evaluation/gate2/threshold_sweep.csv,16,Internal Synthetic Fleet,Operational Evaluation,N/A,N/A,Numerical constant or model parameter.
0.19 False Alarm / Contamination Claims,SOFTWARE_INVARIANT,VERIFIED,artifacts/evaluation/gate2/threshold_sweep.csv,17,Internal Synthetic Fleet,Operational Evaluation,N/A,N/A,Numerical constant or model parameter.
Causality Language,INTERNAL_SYNTHETIC,VERIFIED,artifacts/evaluation/gate2/adversarial/summary.json,57,Internal Synthetic Fleet,Operational Evaluation,N/A,N/A,Clarified as temporal alignment and dependence under permutation.
Causality Language,INTERNAL_SYNTHETIC,VERIFIED,artifacts/evaluation/gate2/adversarial/temporal_shift.json,36,Internal Synthetic Fleet,Operational Evaluation,N/A,N/A,Clarified as temporal alignment and dependence under permutation.
0.19 False Alarm / Contamination Claims,SOFTWARE_INVARIANT,VERIFIED,artifacts/evaluation/gate2/ood/results.json,17,Internal Synthetic Fleet,Operational Evaluation,N/A,N/A,Numerical constant or model parameter.
0.19 False Alarm / Contamination Claims,SOFTWARE_INVARIANT,VERIFIED,artifacts/evaluation/gate2/ood/results.json,31,Internal Synthetic Fleet,Operational Evaluation,N/A,N/A,Numerical constant or model parameter.
0.19 False Alarm / Contamination Claims,SOFTWARE_INVARIANT,VERIFIED,artifacts/evaluation/gate2/ood/results.json,146,Internal Synthetic Fleet,Operational Evaluation,N/A,N/A,Numerical constant or model parameter.
0.19 False Alarm / Contamination Claims,SOFTWARE_INVARIANT,VERIFIED,artifacts/evaluation/gate2/ood/results.json,169,Internal Synthetic Fleet,Operational Evaluation,N/A,N/A,Numerical constant or model parameter.
0.19 False Alarm / Contamination Claims,SOFTWARE_INVARIANT,VERIFIED,artifacts/evaluation/gate2/ood/results.json,215,Internal Synthetic Fleet,Operational Evaluation,N/A,N/A,Numerical constant or model parameter.
0.19 False Alarm / Contamination Claims,SOFTWARE_INVARIANT,VERIFIED,artifacts/evaluation/gate2/ood/results.json,353,Internal Synthetic Fleet,Operational Evaluation,N/A,N/A,Numerical constant or model parameter.
0.19 False Alarm / Contamination Claims,SOFTWARE_INVARIANT,VERIFIED,artifacts/evaluation/gate2/ood/results.json,514,Internal Synthetic Fleet,Operational Evaluation,N/A,N/A,Numerical constant or model parameter.
0.19 False Alarm / Contamination Claims,SOFTWARE_INVARIANT,VERIFIED,artifacts/evaluation/gate2/ood/results.json,537,Internal Synthetic Fleet,Operational Evaluation,N/A,N/A,Numerical constant or model parameter.
0.19 False Alarm / Contamination Claims,SOFTWARE_INVARIANT,VERIFIED,artifacts/evaluation/gate2/ood/summary.md,11,Internal Synthetic Fleet,Operational Evaluation,N/A,N/A,Numerical constant or model parameter.
0.19 False Alarm / Contamination Claims,SOFTWARE_INVARIANT,VERIFIED,artifacts/evaluation/gate2/ood/summary.md,12,Internal Synthetic Fleet,Operational Evaluation,N/A,N/A,Numerical constant or model parameter.
0.19 False Alarm / Contamination Claims,SOFTWARE_INVARIANT,VERIFIED,artifacts/evaluation/gate2/ood/summary.md,22,Internal Synthetic Fleet,Operational Evaluation,N/A,N/A,Numerical constant or model parameter.
0.19 False Alarm / Contamination Claims,SOFTWARE_INVARIANT,VERIFIED,artifacts/evaluation/gate2/ood/summary.md,23,Internal Synthetic Fleet,Operational Evaluation,N/A,N/A,Numerical constant or model parameter.
0.19 False Alarm / Contamination Claims,SOFTWARE_INVARIANT,VERIFIED,artifacts/evaluation/gate2/ood/summary.md,25,Internal Synthetic Fleet,Operational Evaluation,N/A,N/A,Numerical constant or model parameter.
0.19 False Alarm / Contamination Claims,SOFTWARE_INVARIANT,VERIFIED,artifacts/evaluation/gate2/ood/summary.md,31,Internal Synthetic Fleet,Operational Evaluation,N/A,N/A,Numerical constant or model parameter.
0.19 False Alarm / Contamination Claims,SOFTWARE_INVARIANT,VERIFIED,artifacts/evaluation/gate2/ood/summary.md,38,Internal Synthetic Fleet,Operational Evaluation,N/A,N/A,Numerical constant or model parameter.
0.19 False Alarm / Contamination Claims,SOFTWARE_INVARIANT,VERIFIED,artifacts/evaluation/gate2/ood/summary.md,39,Internal Synthetic Fleet,Operational Evaluation,N/A,N/A,Numerical constant or model parameter.
R2 Tracking Metrics,INTERNAL_SYNTHETIC,VERIFIED,artifacts/evaluation/gate3a1/baseline_stability.json,5,42-asset synthetic fleet,Baseline Fit Across Rolling Folds,4 folds (35 days train),6,Proves stability of aerodynamic power curve baseline ($R^2 > 0.994$).
R2 Tracking Metrics,INTERNAL_SYNTHETIC,VERIFIED,artifacts/evaluation/gate3a1/baseline_stability.json,6,42-asset synthetic fleet,Baseline Fit Across Rolling Folds,4 folds (35 days train),6,Proves stability of aerodynamic power curve baseline ($R^2 > 0.994$).
R2 Tracking Metrics,INTERNAL_SYNTHETIC,VERIFIED,artifacts/evaluation/gate3a1/baseline_stability.json,7,Fleet Models,Regression Baselines,N/A,N/A,Coefficient of determination for digital twin tracking.
R2 Tracking Metrics,INTERNAL_SYNTHETIC,VERIFIED,artifacts/evaluation/gate3a1/baseline_stability.json,8,Fleet Models,Regression Baselines,N/A,N/A,Coefficient of determination for digital twin tracking.
R2 Tracking Metrics,INTERNAL_SYNTHETIC,VERIFIED,artifacts/evaluation/gate3a1/baseline_stability.json,25,42-asset synthetic fleet,Baseline Fit Across Rolling Folds,4 folds (35 days train),6,Proves stability of aerodynamic power curve baseline ($R^2 > 0.994$).
R2 Tracking Metrics,EXTERNAL_REAL,VERIFIED,artifacts/evaluation/gate3a1/baseline_stability.json,49,External Commercial Wind Turbine SCADA,Expected-Behavior Zero-Shot Tracking,1 unseen commercial turbine (10m SCADA),0,"Validates expected power/thermal curve transfer, NOT anomaly detection."
R2 Tracking Metrics,INTERNAL_SYNTHETIC,VERIFIED,artifacts/evaluation/gate3a1/baseline_stability.json,73,Fleet Models,Regression Baselines,N/A,N/A,Coefficient of determination for digital twin tracking.
R2 Tracking Metrics,INTERNAL_SYNTHETIC,VERIFIED,artifacts/evaluation/gate3a1/baseline_stability.json,97,Fleet Models,Regression Baselines,N/A,N/A,Coefficient of determination for digital twin tracking.
R2 Tracking Metrics,INTERNAL_SYNTHETIC,VERIFIED,artifacts/evaluation/gate3a1/scorecard.csv,13,42-asset synthetic fleet,Baseline Fit Across Rolling Folds,4 folds (35 days train),6,Proves stability of aerodynamic power curve baseline ($R^2 > 0.994$).
R2 Tracking Metrics,INTERNAL_SYNTHETIC,VERIFIED,artifacts/evaluation/gate3a1/scorecard.json,30,42-asset synthetic fleet,Baseline Fit Across Rolling Folds,4 folds (35 days train),6,Proves stability of aerodynamic power curve baseline ($R^2 > 0.994$).
R2 Tracking Metrics,EXTERNAL_REAL,VERIFIED,artifacts/evaluation/gate3a1/summary.md,28,External Commercial Wind Turbine SCADA,Expected-Behavior Zero-Shot Tracking,1 unseen commercial turbine (10m SCADA),0,"Validates expected power/thermal curve transfer, NOT anomaly detection."
R2 Tracking Metrics,INTERNAL_SYNTHETIC,VERIFIED,artifacts/evaluation/gate3a1/thresholds_by_fold.csv,1,Fleet Models,Regression Baselines,N/A,N/A,Coefficient of determination for digital twin tracking.
R2 Tracking Metrics,EXTERNAL_REAL,VERIFIED,artifacts/evaluation/gate3a1/rolling_forensics/summary.md,28,External Commercial Wind Turbine SCADA,Expected-Behavior Zero-Shot Tracking,1 unseen commercial turbine (10m SCADA),0,"Validates expected power/thermal curve transfer, NOT anomaly detection."
R2 Tracking Metrics,INTERNAL_SYNTHETIC,VERIFIED,artifacts/evaluation/gate5_0/claim_audit.csv,2,Fleet Models,Regression Baselines,N/A,N/A,Coefficient of determination for digital twin tracking.
0.19 False Alarm / Contamination Claims,INTERNAL_SYNTHETIC,VERIFIED,artifacts/evaluation/gate5_0/claim_audit.csv,4,42-asset synthetic fleet,Gate 2 Locked Holdout,"42 assets * 7 days (7,056 asset-hours)",6,v1 holdout false alarm rate post-persistence (6h) and peer gating.
0.19 False Alarm / Contamination Claims,INTERNAL_SYNTHETIC,VERIFIED,artifacts/evaluation/gate5_0/claim_audit.csv,6,42-asset synthetic fleet,Gate 2 Locked Holdout,"42 assets * 7 days (7,056 asset-hours)",6,v1 holdout false alarm rate post-persistence (6h) and peer gating.
0.19 False Alarm / Contamination Claims,INTERNAL_SYNTHETIC,VERIFIED,artifacts/evaluation/gate5_0/claim_audit.csv,7,42-asset synthetic fleet,Gate 2 Locked Holdout,"42 assets * 7 days (7,056 asset-hours)",6,v1 holdout false alarm rate post-persistence (6h) and peer gating.
CARE Benchmark Claims,EXTERNAL_REAL,REMEDIATED,artifacts/evaluation/gate5_0/claim_audit.csv,8,Internal Synthetic Fleet,Operational Evaluation,N/A,N/A,Demarcated to avoid conflating internal score with official CARE dataset.
0.19 False Alarm / Contamination Claims,INTERNAL_SYNTHETIC,VERIFIED,artifacts/evaluation/gate5_0/claim_audit.csv,9,42-asset synthetic fleet,Gate 2 Locked Holdout,"42 assets * 7 days (7,056 asset-hours)",6,v1 holdout false alarm rate post-persistence (6h) and peer gating.
0.19 False Alarm / Contamination Claims,INTERNAL_SYNTHETIC,VERIFIED,artifacts/evaluation/gate5_0/claim_audit.csv,10,42-asset synthetic fleet,Gate 2 Locked Holdout,"42 assets * 7 days (7,056 asset-hours)",6,v1 holdout false alarm rate post-persistence (6h) and peer gating.
0.19 False Alarm / Contamination Claims,INTERNAL_SYNTHETIC,VERIFIED,artifacts/evaluation/gate5_0/claim_audit.csv,11,42-asset synthetic fleet,Gate 2 Locked Holdout,"42 assets * 7 days (7,056 asset-hours)",6,v1 holdout false alarm rate post-persistence (6h) and peer gating.
0.09 Alert Funnel / Contamination Claims,INTERNAL_SYNTHETIC,VERIFIED,artifacts/evaluation/gate5_0/claim_audit.csv,12,42-asset synthetic fleet,Phase 4 Production Alert Funnel,"42 assets * 45 days (45,360 asset-hours)",6,v2 production funnel rate with downstream sensor & common-cause gating.
CARE Benchmark Claims,EXTERNAL_REAL,REMEDIATED,artifacts/evaluation/gate5_0/claim_audit.csv,13,Internal Synthetic Fleet,Operational Evaluation,N/A,N/A,Demarcated to avoid conflating internal score with official CARE dataset.
Causality Language,INTERNAL_SYNTHETIC,VERIFIED,artifacts/evaluation/gate5_0/claim_audit.csv,14,Internal Synthetic Fleet,Operational Evaluation,N/A,N/A,Clarified as temporal alignment and dependence under permutation.
0.19 False Alarm / Contamination Claims,INTERNAL_SYNTHETIC,VERIFIED,artifacts/evaluation/gate5_0/claim_audit.csv,15,42-asset synthetic fleet,Gate 2 Locked Holdout,"42 assets * 7 days (7,056 asset-hours)",6,v1 holdout false alarm rate post-persistence (6h) and peer gating.
0.19 False Alarm / Contamination Claims,INTERNAL_SYNTHETIC,VERIFIED,artifacts/evaluation/gate5_0/claim_audit.csv,17,42-asset synthetic fleet,Gate 2 Locked Holdout,"42 assets * 7 days (7,056 asset-hours)",6,v1 holdout false alarm rate post-persistence (6h) and peer gating.
0.19 False Alarm / Contamination Claims,INTERNAL_SYNTHETIC,VERIFIED,artifacts/evaluation/gate5_0/claim_audit.csv,18,42-asset synthetic fleet,Gate 2 Locked Holdout,"42 assets * 7 days (7,056 asset-hours)",6,v1 holdout false alarm rate post-persistence (6h) and peer gating.
0.19 False Alarm / Contamination Claims,INTERNAL_SYNTHETIC,VERIFIED,artifacts/evaluation/gate5_0/claim_audit.csv,19,42-asset synthetic fleet,Gate 2 Locked Holdout,"42 assets * 7 days (7,056 asset-hours)",6,v1 holdout false alarm rate post-persistence (6h) and peer gating.
Causality Language,INTERNAL_SYNTHETIC,VERIFIED,artifacts/evaluation/gate5_0/claim_audit.csv,20,Internal Synthetic Fleet,Operational Evaluation,N/A,N/A,Clarified as temporal alignment and dependence under permutation.
R2 Tracking Metrics,EXTERNAL_REAL,VERIFIED,artifacts/evaluation/gate5_0/claim_audit.csv,21,External Commercial Wind Turbine SCADA,Expected-Behavior Zero-Shot Tracking,1 unseen commercial turbine (10m SCADA),0,"Validates expected power/thermal curve transfer, NOT anomaly detection."
R2 Tracking Metrics,EXTERNAL_REAL,VERIFIED,artifacts/evaluation/gate5_0/claim_audit.csv,22,External Commercial Wind Turbine SCADA,Expected-Behavior Zero-Shot Tracking,1 unseen commercial turbine (10m SCADA),0,"Validates expected power/thermal curve transfer, NOT anomaly detection."
R2 Tracking Metrics,EXTERNAL_REAL,VERIFIED,artifacts/evaluation/gate5_0/claim_audit.csv,23,External Commercial Wind Turbine SCADA,Expected-Behavior Zero-Shot Tracking,1 unseen commercial turbine (10m SCADA),0,"Validates expected power/thermal curve transfer, NOT anomaly detection."
0.19 False Alarm / Contamination Claims,INTERNAL_SYNTHETIC,VERIFIED,artifacts/evaluation/gate5_0/claim_audit.csv,24,42-asset synthetic fleet,Gate 2 Locked Holdout,"42 assets * 7 days (7,056 asset-hours)",6,v1 holdout false alarm rate post-persistence (6h) and peer gating.
CARE Benchmark Claims,EXTERNAL_REAL,REMEDIATED,artifacts/evaluation/gate5_0/claim_audit.csv,25,Internal Synthetic Fleet,Operational Evaluation,N/A,N/A,Demarcated to avoid conflating internal score with official CARE dataset.
R2 Tracking Metrics,INTERNAL_SYNTHETIC,VERIFIED,artifacts/evaluation/gate5_0/claim_audit.csv,26,Fleet Models,Regression Baselines,N/A,N/A,Coefficient of determination for digital twin tracking.
R2 Tracking Metrics,INTERNAL_SYNTHETIC,VERIFIED,artifacts/evaluation/gate5_0/claim_audit.csv,27,Fleet Models,Regression Baselines,N/A,N/A,Coefficient of determination for digital twin tracking.
R2 Tracking Metrics,INTERNAL_SYNTHETIC,VERIFIED,artifacts/evaluation/gate5_0/claim_audit.csv,28,Fleet Models,Regression Baselines,N/A,N/A,Coefficient of determination for digital twin tracking.
R2 Tracking Metrics,INTERNAL_SYNTHETIC,VERIFIED,artifacts/evaluation/gate5_0/claim_audit.csv,29,Fleet Models,Regression Baselines,N/A,N/A,Coefficient of determination for digital twin tracking.
0.19 False Alarm / Contamination Claims,INTERNAL_SYNTHETIC,VERIFIED,artifacts/evaluation/gate5_0/claim_audit.csv,30,42-asset synthetic fleet,Gate 2 Locked Holdout,"42 assets * 7 days (7,056 asset-hours)",6,v1 holdout false alarm rate post-persistence (6h) and peer gating.
0.19 False Alarm / Contamination Claims,INTERNAL_SYNTHETIC,VERIFIED,artifacts/evaluation/gate5_0/claim_audit.csv,31,42-asset synthetic fleet,Gate 2 Locked Holdout,"42 assets * 7 days (7,056 asset-hours)",6,v1 holdout false alarm rate post-persistence (6h) and peer gating.
0.19 False Alarm / Contamination Claims,INTERNAL_SYNTHETIC,VERIFIED,artifacts/evaluation/gate5_0/claim_audit.csv,32,42-asset synthetic fleet,Gate 2 Locked Holdout,"42 assets * 7 days (7,056 asset-hours)",6,v1 holdout false alarm rate post-persistence (6h) and peer gating.
