farm,model,condition,turbine_id,train_turbines,n_train_datasets,n_test_datasets,n_test_anomaly_datasets,n_test_normal_datasets,mean_coverage_fbeta,mean_earliness_ws,event_reliability_fbeta,mean_accuracy,care_score,event_recall,event_false_alarms,normal_datasets_with_alarms,fp_timestamp_rate,median_lead_time_days,status
Wind Farm A,zscore_threshold,target_specific,CARE-WT-11,['CARE-WT-11'],4,4,1,3,0.0,0.0,0.0,0.9944,0.3978,0.0,0,2,0.0056,0.0,COMPUTED
Wind Farm A,zscore_threshold,cross_turbine,CARE-WT-11,"['CARE-WT-0', 'CARE-WT-10', 'CARE-WT-13', 'CARE-WT-21']",18,4,1,3,0.0,0.0,0.0,0.9915,0.3966,0.0,0,2,0.0085,0.0,COMPUTED
Wind Farm A,zscore_threshold,target_specific,CARE-WT-13,['CARE-WT-13'],4,4,2,2,1.0,0.1462,0.8333,0.991,0.7923,0.5,0,2,0.009,7.215,COMPUTED
Wind Farm A,zscore_threshold,cross_turbine,CARE-WT-13,"['CARE-WT-0', 'CARE-WT-10', 'CARE-WT-11', 'CARE-WT-21']",18,4,2,2,1.0,0.0741,0.0,0.9995,0.6146,0.0,0,1,0.0005,0.0,COMPUTED
Wind Farm A,zscore_threshold,target_specific,CARE-WT-21,['CARE-WT-21'],4,4,2,2,0.0025,0.0007,0.0,0.9867,0.3953,0.0,0,2,0.0133,0.0,COMPUTED
Wind Farm A,zscore_threshold,cross_turbine,CARE-WT-21,"['CARE-WT-0', 'CARE-WT-10', 'CARE-WT-11', 'CARE-WT-13']",18,4,2,2,0.0239,0.0066,0.0,0.9767,0.3968,0.0,0,2,0.0233,0.0,COMPUTED
Wind Farm B,isolation_forest,target_specific,CARE-WT-0,['CARE-WT-0'],1,1,0,1,,,,0.7959,,,0,1,0.2041,0.0,INSUFFICIENT_DATA
Wind Farm B,isolation_forest,cross_turbine,CARE-WT-0,"['CARE-WT-11', 'CARE-WT-12', 'CARE-WT-13', 'CARE-WT-14', 'CARE-WT-2', 'CARE-WT-5', 'CARE-WT-6', 'CARE-WT-7']",14,1,0,1,,,,0.7801,,,0,1,0.2199,0.0,INSUFFICIENT_DATA
Wind Farm B,isolation_forest,target_specific,CARE-WT-11,['CARE-WT-11'],2,2,1,1,0.1317,0.0357,0.0,0.8784,0.3848,0.0,0,1,0.1216,0.0,COMPUTED
Wind Farm B,isolation_forest,cross_turbine,CARE-WT-11,"['CARE-WT-0', 'CARE-WT-12', 'CARE-WT-13', 'CARE-WT-14', 'CARE-WT-2', 'CARE-WT-5', 'CARE-WT-6', 'CARE-WT-7']",13,2,1,1,0.1986,0.0488,0.0,0.848,0.3887,0.0,0,1,0.152,0.0,COMPUTED
Wind Farm B,isolation_forest,target_specific,CARE-WT-12,['CARE-WT-12'],2,2,1,1,0.2984,0.0832,0.0,0.9471,0.4552,0.0,0,1,0.0529,0.0,COMPUTED
Wind Farm B,isolation_forest,cross_turbine,CARE-WT-12,"['CARE-WT-0', 'CARE-WT-11', 'CARE-WT-13', 'CARE-WT-14', 'CARE-WT-2', 'CARE-WT-5', 'CARE-WT-6', 'CARE-WT-7']",13,2,1,1,0.2802,0.0762,0.0,0.9454,0.4494,0.0,0,1,0.0546,0.0,COMPUTED
Wind Farm B,isolation_forest,target_specific,CARE-WT-13,['CARE-WT-13'],2,2,1,1,0.0918,0.0271,0.0,0.9102,0.3878,0.0,0,1,0.0898,0.0,COMPUTED
Wind Farm B,isolation_forest,cross_turbine,CARE-WT-13,"['CARE-WT-0', 'CARE-WT-11', 'CARE-WT-12', 'CARE-WT-14', 'CARE-WT-2', 'CARE-WT-5', 'CARE-WT-6', 'CARE-WT-7']",13,2,1,1,0.0765,0.02,0.0,0.9102,0.3834,0.0,0,1,0.0898,0.0,COMPUTED
Wind Farm B,isolation_forest,target_specific,CARE-WT-14,['CARE-WT-14'],2,2,1,1,0.1449,0.0448,0.0,0.9791,0.4296,0.0,0,1,0.0209,0.0,COMPUTED
Wind Farm B,isolation_forest,cross_turbine,CARE-WT-14,"['CARE-WT-0', 'CARE-WT-11', 'CARE-WT-12', 'CARE-WT-13', 'CARE-WT-2', 'CARE-WT-5', 'CARE-WT-6', 'CARE-WT-7']",13,2,1,1,0.148,0.047,0.0,0.9762,0.4295,0.0,0,1,0.0238,0.0,COMPUTED
Wind Farm B,isolation_forest,target_specific,CARE-WT-2,['CARE-WT-2'],1,1,0,1,,,,0.9321,,,0,1,0.0679,0.0,INSUFFICIENT_DATA
Wind Farm B,isolation_forest,cross_turbine,CARE-WT-2,"['CARE-WT-0', 'CARE-WT-11', 'CARE-WT-12', 'CARE-WT-13', 'CARE-WT-14', 'CARE-WT-5', 'CARE-WT-6', 'CARE-WT-7']",14,1,0,1,,,,0.9263,,,0,1,0.0737,0.0,INSUFFICIENT_DATA
Wind Farm B,isolation_forest,target_specific,CARE-WT-5,['CARE-WT-5'],1,1,0,1,,,,0.8852,,,0,1,0.1148,0.0,INSUFFICIENT_DATA
Wind Farm B,isolation_forest,cross_turbine,CARE-WT-5,"['CARE-WT-0', 'CARE-WT-11', 'CARE-WT-12', 'CARE-WT-13', 'CARE-WT-14', 'CARE-WT-2', 'CARE-WT-6', 'CARE-WT-7']",14,1,0,1,,,,0.8793,,,0,1,0.1207,0.0,INSUFFICIENT_DATA
Wind Farm B,isolation_forest,target_specific,CARE-WT-6,['CARE-WT-6'],2,2,1,1,0.4866,0.198,0.5556,0.8755,0.5982,1.0,1,1,0.1245,41.986,COMPUTED
Wind Farm B,isolation_forest,cross_turbine,CARE-WT-6,"['CARE-WT-0', 'CARE-WT-11', 'CARE-WT-12', 'CARE-WT-13', 'CARE-WT-14', 'CARE-WT-2', 'CARE-WT-5', 'CARE-WT-7']",13,2,1,1,0.4595,0.1833,0.5556,0.8698,0.5876,1.0,1,1,0.1302,41.965,COMPUTED
Wind Farm B,isolation_forest,target_specific,CARE-WT-7,['CARE-WT-7'],2,2,1,1,0.2599,0.0837,1.0,0.8606,0.6129,1.0,0,1,0.1394,62.208,COMPUTED
Wind Farm B,isolation_forest,cross_turbine,CARE-WT-7,"['CARE-WT-0', 'CARE-WT-11', 'CARE-WT-12', 'CARE-WT-13', 'CARE-WT-14', 'CARE-WT-2', 'CARE-WT-5', 'CARE-WT-6']",13,2,1,1,0.2482,0.0811,0.0,0.8664,0.4124,0.0,0,1,0.1336,0.0,COMPUTED
Wind Farm B,zscore_threshold,target_specific,CARE-WT-0,['CARE-WT-0'],1,1,0,1,,,,1.0,,,0,0,0.0,0.0,INSUFFICIENT_DATA
Wind Farm B,zscore_threshold,cross_turbine,CARE-WT-0,"['CARE-WT-11', 'CARE-WT-12', 'CARE-WT-13', 'CARE-WT-14', 'CARE-WT-2', 'CARE-WT-5', 'CARE-WT-6', 'CARE-WT-7']",14,1,0,1,,,,0.9992,,,0,1,0.0008,0.0,INSUFFICIENT_DATA
Wind Farm B,zscore_threshold,target_specific,CARE-WT-11,['CARE-WT-11'],2,2,1,1,0.0035,0.0009,0.0,0.9881,0.3961,0.0,0,1,0.0119,0.0,COMPUTED
Wind Farm B,zscore_threshold,cross_turbine,CARE-WT-11,"['CARE-WT-0', 'CARE-WT-12', 'CARE-WT-13', 'CARE-WT-14', 'CARE-WT-2', 'CARE-WT-5', 'CARE-WT-6', 'CARE-WT-7']",13,2,1,1,0.0052,0.0012,0.0,0.9881,0.3965,0.0,0,1,0.0119,0.0,COMPUTED
Wind Farm B,zscore_threshold,target_specific,CARE-WT-12,['CARE-WT-12'],2,2,1,1,0.0038,0.0008,0.0,1.0,0.4009,0.0,0,0,0.0,0.0,COMPUTED
Wind Farm B,zscore_threshold,cross_turbine,CARE-WT-12,"['CARE-WT-0', 'CARE-WT-11', 'CARE-WT-13', 'CARE-WT-14', 'CARE-WT-2', 'CARE-WT-5', 'CARE-WT-6', 'CARE-WT-7']",13,2,1,1,0.0038,0.0008,0.0,1.0,0.4009,0.0,0,0,0.0,0.0,COMPUTED
Wind Farm B,zscore_threshold,target_specific,CARE-WT-13,['CARE-WT-13'],2,2,1,1,0.0,0.0,0.0,1.0,0.0,0.0,0,0,0.0,0.0,COMPUTED
Wind Farm B,zscore_threshold,cross_turbine,CARE-WT-13,"['CARE-WT-0', 'CARE-WT-11', 'CARE-WT-12', 'CARE-WT-14', 'CARE-WT-2', 'CARE-WT-5', 'CARE-WT-6', 'CARE-WT-7']",13,2,1,1,0.0,0.0,0.0,1.0,0.0,0.0,0,0,0.0,0.0,COMPUTED
Wind Farm B,zscore_threshold,target_specific,CARE-WT-14,['CARE-WT-14'],2,2,1,1,0.0,0.0,0.0,1.0,0.4,0.0,0,0,0.0,0.0,COMPUTED
Wind Farm B,zscore_threshold,cross_turbine,CARE-WT-14,"['CARE-WT-0', 'CARE-WT-11', 'CARE-WT-12', 'CARE-WT-13', 'CARE-WT-2', 'CARE-WT-5', 'CARE-WT-6', 'CARE-WT-7']",13,2,1,1,0.0,0.0,0.0,1.0,0.4,0.0,0,0,0.0,0.0,COMPUTED
Wind Farm B,zscore_threshold,target_specific,CARE-WT-2,['CARE-WT-2'],1,1,0,1,,,,1.0,,,0,0,0.0,0.0,INSUFFICIENT_DATA
Wind Farm B,zscore_threshold,cross_turbine,CARE-WT-2,"['CARE-WT-0', 'CARE-WT-11', 'CARE-WT-12', 'CARE-WT-13', 'CARE-WT-14', 'CARE-WT-5', 'CARE-WT-6', 'CARE-WT-7']",14,1,0,1,,,,1.0,,,0,1,0.0,0.0,INSUFFICIENT_DATA
Wind Farm B,zscore_threshold,target_specific,CARE-WT-5,['CARE-WT-5'],1,1,0,1,,,,0.9987,,,0,1,0.0013,0.0,INSUFFICIENT_DATA
Wind Farm B,zscore_threshold,cross_turbine,CARE-WT-5,"['CARE-WT-0', 'CARE-WT-11', 'CARE-WT-12', 'CARE-WT-13', 'CARE-WT-14', 'CARE-WT-2', 'CARE-WT-6', 'CARE-WT-7']",14,1,0,1,,,,0.9987,,,0,1,0.0013,0.0,INSUFFICIENT_DATA
Wind Farm B,zscore_threshold,target_specific,CARE-WT-6,['CARE-WT-6'],2,2,1,1,0.0382,0.0101,0.0,1.0,0.4097,0.0,0,0,0.0,0.0,COMPUTED
Wind Farm B,zscore_threshold,cross_turbine,CARE-WT-6,"['CARE-WT-0', 'CARE-WT-11', 'CARE-WT-12', 'CARE-WT-13', 'CARE-WT-14', 'CARE-WT-2', 'CARE-WT-5', 'CARE-WT-7']",13,2,1,1,0.0365,0.0096,0.0,1.0,0.4092,0.0,0,0,0.0,0.0,COMPUTED
Wind Farm B,zscore_threshold,target_specific,CARE-WT-7,['CARE-WT-7'],2,2,1,1,0.0,0.0,0.0,1.0,0.0,0.0,0,0,0.0,0.0,COMPUTED
Wind Farm B,zscore_threshold,cross_turbine,CARE-WT-7,"['CARE-WT-0', 'CARE-WT-11', 'CARE-WT-12', 'CARE-WT-13', 'CARE-WT-14', 'CARE-WT-2', 'CARE-WT-5', 'CARE-WT-6']",13,2,1,1,0.0,0.0,0.0,1.0,0.0,0.0,0,0,0.0,0.0,COMPUTED
Wind Farm C,isolation_forest,target_specific,CARE-WT-12,['CARE-WT-12'],3,3,2,1,0.3866,0.2119,0.0,0.9695,0.5075,0.0,0,1,0.0305,0.0,COMPUTED
Wind Farm C,isolation_forest,cross_turbine,CARE-WT-12,"['CARE-WT-13', 'CARE-WT-14', 'CARE-WT-15', 'CARE-WT-16', 'CARE-WT-2', 'CARE-WT-21', 'CARE-WT-23', 'CARE-WT-32', 'CARE-WT-33', 'CARE-WT-34', 'CARE-WT-35', 'CARE-WT-38', 'CARE-WT-42', 'CARE-WT-43', 'CARE-WT-44', 'CARE-WT-5', 'CARE-WT-50', 'CARE-WT-52', 'CARE-WT-53', 'CARE-WT-55', 'CARE-WT-56']",55,3,2,1,0.2496,0.0803,0.0,0.9009,0.4263,0.0,0,1,0.0991,0.0,COMPUTED
Wind Farm C,isolation_forest,target_specific,CARE-WT-13,['CARE-WT-13'],1,1,0,1,,,,0.8497,,,0,1,0.1503,0.0,INSUFFICIENT_DATA
Wind Farm C,isolation_forest,cross_turbine,CARE-WT-13,"['CARE-WT-12', 'CARE-WT-14', 'CARE-WT-15', 'CARE-WT-16', 'CARE-WT-2', 'CARE-WT-21', 'CARE-WT-23', 'CARE-WT-32', 'CARE-WT-33', 'CARE-WT-34', 'CARE-WT-35', 'CARE-WT-38', 'CARE-WT-42', 'CARE-WT-43', 'CARE-WT-44', 'CARE-WT-5', 'CARE-WT-50', 'CARE-WT-52', 'CARE-WT-53', 'CARE-WT-55', 'CARE-WT-56']",57,1,0,1,,,,0.9001,,,0,1,0.0999,0.0,INSUFFICIENT_DATA
Wind Farm C,isolation_forest,target_specific,CARE-WT-14,['CARE-WT-14'],1,1,0,1,,,,0.7598,,,0,1,0.2402,0.0,INSUFFICIENT_DATA
Wind Farm C,isolation_forest,cross_turbine,CARE-WT-14,"['CARE-WT-12', 'CARE-WT-13', 'CARE-WT-15', 'CARE-WT-16', 'CARE-WT-2', 'CARE-WT-21', 'CARE-WT-23', 'CARE-WT-32', 'CARE-WT-33', 'CARE-WT-34', 'CARE-WT-35', 'CARE-WT-38', 'CARE-WT-42', 'CARE-WT-43', 'CARE-WT-44', 'CARE-WT-5', 'CARE-WT-50', 'CARE-WT-52', 'CARE-WT-53', 'CARE-WT-55', 'CARE-WT-56']",57,1,0,1,,,,0.7386,,,0,1,0.2614,0.0,INSUFFICIENT_DATA
Wind Farm C,isolation_forest,target_specific,CARE-WT-15,['CARE-WT-15'],2,2,1,1,0.1795,0.0687,0.0,0.8239,0.3792,0.0,0,1,0.1761,0.0,COMPUTED
Wind Farm C,isolation_forest,cross_turbine,CARE-WT-15,"['CARE-WT-12', 'CARE-WT-13', 'CARE-WT-14', 'CARE-WT-16', 'CARE-WT-2', 'CARE-WT-21', 'CARE-WT-23', 'CARE-WT-32', 'CARE-WT-33', 'CARE-WT-34', 'CARE-WT-35', 'CARE-WT-38', 'CARE-WT-42', 'CARE-WT-43', 'CARE-WT-44', 'CARE-WT-5', 'CARE-WT-50', 'CARE-WT-52', 'CARE-WT-53', 'CARE-WT-55', 'CARE-WT-56']",56,2,1,1,0.1331,0.0468,0.0,0.9036,0.3974,0.0,0,1,0.0964,0.0,COMPUTED
Wind Farm C,isolation_forest,target_specific,CARE-WT-16,['CARE-WT-16'],4,4,2,2,0.1317,0.0865,0.8333,0.9269,0.5811,0.5,0,2,0.0731,22.653,COMPUTED
Wind Farm C,isolation_forest,cross_turbine,CARE-WT-16,"['CARE-WT-12', 'CARE-WT-13', 'CARE-WT-14', 'CARE-WT-15', 'CARE-WT-2', 'CARE-WT-21', 'CARE-WT-23', 'CARE-WT-32', 'CARE-WT-33', 'CARE-WT-34', 'CARE-WT-35', 'CARE-WT-38', 'CARE-WT-42', 'CARE-WT-43', 'CARE-WT-44', 'CARE-WT-5', 'CARE-WT-50', 'CARE-WT-52', 'CARE-WT-53', 'CARE-WT-55', 'CARE-WT-56']",54,4,2,2,0.1104,0.0839,0.8333,0.9452,0.5836,0.5,0,2,0.0548,22.486,COMPUTED
Wind Farm C,isolation_forest,target_specific,CARE-WT-2,['CARE-WT-2'],2,2,1,1,0.2733,0.0725,0.0,0.9203,0.4373,0.0,0,1,0.0797,0.0,COMPUTED
Wind Farm C,isolation_forest,cross_turbine,CARE-WT-2,"['CARE-WT-12', 'CARE-WT-13', 'CARE-WT-14', 'CARE-WT-15', 'CARE-WT-16', 'CARE-WT-21', 'CARE-WT-23', 'CARE-WT-32', 'CARE-WT-33', 'CARE-WT-34', 'CARE-WT-35', 'CARE-WT-38', 'CARE-WT-42', 'CARE-WT-43', 'CARE-WT-44', 'CARE-WT-5', 'CARE-WT-50', 'CARE-WT-52', 'CARE-WT-53', 'CARE-WT-55', 'CARE-WT-56']",56,2,1,1,0.2595,0.073,0.0,0.9301,0.4385,0.0,0,1,0.0699,0.0,COMPUTED
Wind Farm C,isolation_forest,target_specific,CARE-WT-21,['CARE-WT-21'],2,2,1,1,0.0664,0.0574,0.0,0.9591,0.4084,0.0,0,1,0.0409,0.0,COMPUTED
Wind Farm C,isolation_forest,cross_turbine,CARE-WT-21,"['CARE-WT-12', 'CARE-WT-13', 'CARE-WT-14', 'CARE-WT-15', 'CARE-WT-16', 'CARE-WT-2', 'CARE-WT-23', 'CARE-WT-32', 'CARE-WT-33', 'CARE-WT-34', 'CARE-WT-35', 'CARE-WT-38', 'CARE-WT-42', 'CARE-WT-43', 'CARE-WT-44', 'CARE-WT-5', 'CARE-WT-50', 'CARE-WT-52', 'CARE-WT-53', 'CARE-WT-55', 'CARE-WT-56']",56,2,1,1,0.078,0.0625,0.0,0.9483,0.4074,0.0,0,1,0.0517,0.0,COMPUTED
Wind Farm C,isolation_forest,target_specific,CARE-WT-23,['CARE-WT-23'],3,3,1,2,0.252,0.0737,0.0,0.9177,0.4322,0.0,0,2,0.0823,0.0,COMPUTED
Wind Farm C,isolation_forest,cross_turbine,CARE-WT-23,"['CARE-WT-12', 'CARE-WT-13', 'CARE-WT-14', 'CARE-WT-15', 'CARE-WT-16', 'CARE-WT-2', 'CARE-WT-21', 'CARE-WT-32', 'CARE-WT-33', 'CARE-WT-34', 'CARE-WT-35', 'CARE-WT-38', 'CARE-WT-42', 'CARE-WT-43', 'CARE-WT-44', 'CARE-WT-5', 'CARE-WT-50', 'CARE-WT-52', 'CARE-WT-53', 'CARE-WT-55', 'CARE-WT-56']",55,3,1,2,0.2553,0.0715,0.0,0.9388,0.4409,0.0,0,2,0.0612,0.0,COMPUTED
Wind Farm C,isolation_forest,target_specific,CARE-WT-32,['CARE-WT-32'],2,2,1,1,0.1983,0.2209,0.0,0.8262,0.4143,0.0,0,1,0.1738,0.0,COMPUTED
Wind Farm C,isolation_forest,cross_turbine,CARE-WT-32,"['CARE-WT-12', 'CARE-WT-13', 'CARE-WT-14', 'CARE-WT-15', 'CARE-WT-16', 'CARE-WT-2', 'CARE-WT-21', 'CARE-WT-23', 'CARE-WT-33', 'CARE-WT-34', 'CARE-WT-35', 'CARE-WT-38', 'CARE-WT-42', 'CARE-WT-43', 'CARE-WT-44', 'CARE-WT-5', 'CARE-WT-50', 'CARE-WT-52', 'CARE-WT-53', 'CARE-WT-55', 'CARE-WT-56']",56,2,1,1,0.1239,0.2514,1.0,0.8733,0.6244,1.0,0,1,0.1267,4.625,COMPUTED
Wind Farm C,isolation_forest,target_specific,CARE-WT-33,['CARE-WT-33'],2,2,1,1,0.4139,0.1955,0.0,0.8723,0.4708,0.0,0,1,0.1277,0.0,COMPUTED
Wind Farm C,isolation_forest,cross_turbine,CARE-WT-33,"['CARE-WT-12', 'CARE-WT-13', 'CARE-WT-14', 'CARE-WT-15', 'CARE-WT-16', 'CARE-WT-2', 'CARE-WT-21', 'CARE-WT-23', 'CARE-WT-32', 'CARE-WT-34', 'CARE-WT-35', 'CARE-WT-38', 'CARE-WT-42', 'CARE-WT-43', 'CARE-WT-44', 'CARE-WT-5', 'CARE-WT-50', 'CARE-WT-52', 'CARE-WT-53', 'CARE-WT-55', 'CARE-WT-56']",56,2,1,1,0.3001,0.1089,0.0,0.8508,0.4221,0.0,0,1,0.1492,0.0,COMPUTED
Wind Farm C,isolation_forest,target_specific,CARE-WT-34,['CARE-WT-34'],4,4,2,2,0.2634,0.0552,0.0,0.9808,0.4561,0.0,0,2,0.0192,0.0,COMPUTED
Wind Farm C,isolation_forest,cross_turbine,CARE-WT-34,"['CARE-WT-12', 'CARE-WT-13', 'CARE-WT-14', 'CARE-WT-15', 'CARE-WT-16', 'CARE-WT-2', 'CARE-WT-21', 'CARE-WT-23', 'CARE-WT-32', 'CARE-WT-33', 'CARE-WT-35', 'CARE-WT-38', 'CARE-WT-42', 'CARE-WT-43', 'CARE-WT-44', 'CARE-WT-5', 'CARE-WT-50', 'CARE-WT-52', 'CARE-WT-53', 'CARE-WT-55', 'CARE-WT-56']",54,4,2,2,0.2169,0.0353,0.8333,0.9859,0.6115,0.5,0,2,0.0141,5.896,COMPUTED
Wind Farm C,isolation_forest,target_specific,CARE-WT-35,['CARE-WT-35'],4,4,2,2,0.1981,0.0782,0.0,0.9689,0.4428,0.0,0,2,0.0311,0.0,COMPUTED
Wind Farm C,isolation_forest,cross_turbine,CARE-WT-35,"['CARE-WT-12', 'CARE-WT-13', 'CARE-WT-14', 'CARE-WT-15', 'CARE-WT-16', 'CARE-WT-2', 'CARE-WT-21', 'CARE-WT-23', 'CARE-WT-32', 'CARE-WT-33', 'CARE-WT-34', 'CARE-WT-38', 'CARE-WT-42', 'CARE-WT-43', 'CARE-WT-44', 'CARE-WT-5', 'CARE-WT-50', 'CARE-WT-52', 'CARE-WT-53', 'CARE-WT-55', 'CARE-WT-56']",54,4,2,2,0.1799,0.0774,0.0,0.9709,0.4398,0.0,0,2,0.0291,0.0,COMPUTED
Wind Farm C,isolation_forest,target_specific,CARE-WT-38,['CARE-WT-38'],2,2,1,1,0.439,0.2386,0.0,0.924,0.5051,0.0,0,1,0.076,0.0,COMPUTED
Wind Farm C,isolation_forest,cross_turbine,CARE-WT-38,"['CARE-WT-12', 'CARE-WT-13', 'CARE-WT-14', 'CARE-WT-15', 'CARE-WT-16', 'CARE-WT-2', 'CARE-WT-21', 'CARE-WT-23', 'CARE-WT-32', 'CARE-WT-33', 'CARE-WT-34', 'CARE-WT-35', 'CARE-WT-42', 'CARE-WT-43', 'CARE-WT-44', 'CARE-WT-5', 'CARE-WT-50', 'CARE-WT-52', 'CARE-WT-53', 'CARE-WT-55', 'CARE-WT-56']",56,2,1,1,0.5564,0.275,0.0,0.9594,0.55,0.0,0,1,0.0406,0.0,COMPUTED
Wind Farm C,isolation_forest,target_specific,CARE-WT-42,['CARE-WT-42'],2,2,1,1,0.1871,0.0552,0.0,0.9798,0.4404,0.0,0,1,0.0202,0.0,COMPUTED
Wind Farm C,isolation_forest,cross_turbine,CARE-WT-42,"['CARE-WT-12', 'CARE-WT-13', 'CARE-WT-14', 'CARE-WT-15', 'CARE-WT-16', 'CARE-WT-2', 'CARE-WT-21', 'CARE-WT-23', 'CARE-WT-32', 'CARE-WT-33', 'CARE-WT-34', 'CARE-WT-35', 'CARE-WT-38', 'CARE-WT-43', 'CARE-WT-44', 'CARE-WT-5', 'CARE-WT-50', 'CARE-WT-52', 'CARE-WT-53', 'CARE-WT-55', 'CARE-WT-56']",56,2,1,1,0.2601,0.0733,0.0,0.9794,0.4584,0.0,0,1,0.0206,0.0,COMPUTED
Wind Farm C,isolation_forest,target_specific,CARE-WT-43,['CARE-WT-43'],4,4,2,2,0.757,0.4052,1.0,0.8094,0.7562,1.0,0,2,0.1906,21.656,COMPUTED
Wind Farm C,isolation_forest,cross_turbine,CARE-WT-43,"['CARE-WT-12', 'CARE-WT-13', 'CARE-WT-14', 'CARE-WT-15', 'CARE-WT-16', 'CARE-WT-2', 'CARE-WT-21', 'CARE-WT-23', 'CARE-WT-32', 'CARE-WT-33', 'CARE-WT-34', 'CARE-WT-35', 'CARE-WT-38', 'CARE-WT-42', 'CARE-WT-44', 'CARE-WT-5', 'CARE-WT-50', 'CARE-WT-52', 'CARE-WT-53', 'CARE-WT-55', 'CARE-WT-56']",54,4,2,2,0.3364,0.113,0.0,0.9745,0.4797,0.0,0,2,0.0255,0.0,COMPUTED
Wind Farm C,isolation_forest,target_specific,CARE-WT-44,['CARE-WT-44'],2,2,1,1,0.1979,0.0495,0.0,0.9557,0.4318,0.0,0,1,0.0443,0.0,COMPUTED
Wind Farm C,isolation_forest,cross_turbine,CARE-WT-44,"['CARE-WT-12', 'CARE-WT-13', 'CARE-WT-14', 'CARE-WT-15', 'CARE-WT-16', 'CARE-WT-2', 'CARE-WT-21', 'CARE-WT-23', 'CARE-WT-32', 'CARE-WT-33', 'CARE-WT-34', 'CARE-WT-35', 'CARE-WT-38', 'CARE-WT-42', 'CARE-WT-43', 'CARE-WT-5', 'CARE-WT-50', 'CARE-WT-52', 'CARE-WT-53', 'CARE-WT-55', 'CARE-WT-56']",56,2,1,1,0.1412,0.0319,0.0,0.9778,0.4258,0.0,0,1,0.0222,0.0,COMPUTED
Wind Farm C,isolation_forest,target_specific,CARE-WT-5,['CARE-WT-5'],1,1,0,1,,,,0.8154,,,0,1,0.1846,0.0,INSUFFICIENT_DATA
