farm,turbine,dataset,condition,model,label,description,detected,first_alarm_ts,first_alarm_care_id,lead_time_days,maximum_criticality,alarm_count,coverage_fbeta,earliness,accuracy
Wind Farm A,CARE-WT-11,69,cross_turbine,isolation_forest,normal_behavior,,False,2023-09-02 01:00:00+00:00,52221.0,0.0,0,143,,,0.9305
Wind Farm A,CARE-WT-11,92,cross_turbine,isolation_forest,normal_behavior,,False,2023-04-03 19:00:00+00:00,52392.0,0.0,0,286,,,0.8112
Wind Farm A,CARE-WT-13,45,target_specific,isolation_forest,anomaly_event,Hydraulic group,True,2023-04-16 18:30:00+00:00,52445.0,8.986,406,459,1.0,0.5291,
Wind Farm A,CARE-WT-13,84,target_specific,isolation_forest,anomaly_event,Hydraulic group,False,2023-09-03 01:20:00+00:00,52394.0,8.59,8,28,1.0,0.0116,
Wind Farm A,CARE-WT-13,38,target_specific,isolation_forest,normal_behavior,,False,2023-06-30 02:40:00+00:00,52645.0,0.0,0,188,,,0.9114
Wind Farm A,CARE-WT-13,14,target_specific,isolation_forest,normal_behavior,,False,2023-03-02 14:00:00+00:00,52296.0,0.0,1,272,,,0.8302
Wind Farm A,CARE-WT-13,45,cross_turbine,isolation_forest,anomaly_event,Hydraulic group,True,2023-04-16 18:30:00+00:00,52445.0,8.986,371,445,1.0,0.5129,
Wind Farm A,CARE-WT-13,84,cross_turbine,isolation_forest,anomaly_event,Hydraulic group,False,2023-09-03 01:20:00+00:00,52394.0,8.59,8,23,1.0,0.0059,
Wind Farm A,CARE-WT-13,38,cross_turbine,isolation_forest,normal_behavior,,False,2023-06-28 17:40:00+00:00,52447.0,0.0,1,166,,,0.9227
Wind Farm A,CARE-WT-13,14,cross_turbine,isolation_forest,normal_behavior,,False,2023-03-02 15:10:00+00:00,52303.0,0.0,0,228,,,0.8571
Wind Farm A,CARE-WT-21,22,target_specific,isolation_forest,anomaly_event,Hydraulic group,False,2023-08-11 09:50:00+00:00,51888.0,7.007,5,256,0.5881,0.2828,
Wind Farm A,CARE-WT-21,72,target_specific,isolation_forest,anomaly_event,Gearbox failure,False,2023-10-06 16:20:00+00:00,52111.0,9.681,5,117,0.309,0.059,
Wind Farm A,CARE-WT-21,13,target_specific,isolation_forest,normal_behavior,,False,2023-04-30 07:40:00+00:00,50537.0,0.0,0,470,,,0.8506
Wind Farm A,CARE-WT-21,51,target_specific,isolation_forest,normal_behavior,,False,2023-10-05 04:50:00+00:00,52063.0,0.0,7,184,,,0.9139
Wind Farm A,CARE-WT-21,22,cross_turbine,isolation_forest,anomaly_event,Hydraulic group,False,2023-08-11 10:30:00+00:00,51892.0,6.979,4,205,0.5418,0.2374,
Wind Farm A,CARE-WT-21,72,cross_turbine,isolation_forest,anomaly_event,Gearbox failure,False,2023-10-06 19:00:00+00:00,52127.0,9.569,4,93,0.228,0.0359,
Wind Farm A,CARE-WT-21,13,cross_turbine,isolation_forest,normal_behavior,,False,2023-04-30 07:40:00+00:00,50537.0,0.0,3,494,,,0.8455
Wind Farm A,CARE-WT-21,51,cross_turbine,isolation_forest,normal_behavior,,False,2023-10-05 11:40:00+00:00,52104.0,0.0,4,171,,,0.9201
Wind Farm A,CARE-WT-0,73,target_specific,zscore_threshold,anomaly_event,Hydraulic group,False,,,0.0,0,0,0.0,0.0,
Wind Farm A,CARE-WT-0,0,target_specific,zscore_threshold,anomaly_event,Generator bearing failure,False,,,0.0,0,0,0.0,0.0,
Wind Farm A,CARE-WT-0,26,target_specific,zscore_threshold,anomaly_event,Hydraulic group,False,,,0.0,0,0,0.0,0.0,
Wind Farm A,CARE-WT-0,24,target_specific,zscore_threshold,normal_behavior,,False,,,0.0,0,0,,,1.0
Wind Farm A,CARE-WT-0,71,target_specific,zscore_threshold,normal_behavior,,False,,,0.0,0,0,,,1.0
Wind Farm A,CARE-WT-0,73,cross_turbine,zscore_threshold,anomaly_event,Hydraulic group,False,,,0.0,0,0,0.0,0.0,
Wind Farm A,CARE-WT-0,0,cross_turbine,zscore_threshold,anomaly_event,Generator bearing failure,False,2023-08-11 12:10:00+00:00,53335.0,7.75,0,9,0.022,0.0057,
Wind Farm A,CARE-WT-0,26,cross_turbine,zscore_threshold,anomaly_event,Hydraulic group,False,,,0.0,0,0,0.0,0.0,
Wind Farm A,CARE-WT-0,24,cross_turbine,zscore_threshold,normal_behavior,,False,,,0.0,0,0,,,1.0
Wind Farm A,CARE-WT-0,71,cross_turbine,zscore_threshold,normal_behavior,,False,,,0.0,0,0,,,1.0
Wind Farm A,CARE-WT-10,40,target_specific,zscore_threshold,anomaly_event,Generator bearing failure,False,,,0.0,0,0,0.0,0.0,
Wind Farm A,CARE-WT-10,42,target_specific,zscore_threshold,anomaly_event,Hydraulic group,False,,,0.0,0,0,0.0,0.0,
Wind Farm A,CARE-WT-10,10,target_specific,zscore_threshold,anomaly_event,Gearbox failure,False,,,0.0,0,0,0.0,0.0,
Wind Farm A,CARE-WT-10,3,target_specific,zscore_threshold,normal_behavior,,False,,,0.0,0,0,,,1.0
Wind Farm A,CARE-WT-10,17,target_specific,zscore_threshold,normal_behavior,,False,,,0.0,0,0,,,1.0
Wind Farm A,CARE-WT-10,40,cross_turbine,zscore_threshold,anomaly_event,Generator bearing failure,False,,,0.0,0,0,0.0,0.0,
Wind Farm A,CARE-WT-10,42,cross_turbine,zscore_threshold,anomaly_event,Hydraulic group,False,,,0.0,0,0,0.0,0.0,
Wind Farm A,CARE-WT-10,10,cross_turbine,zscore_threshold,anomaly_event,Gearbox failure,False,,,0.0,0,0,0.0,0.0,
Wind Farm A,CARE-WT-10,3,cross_turbine,zscore_threshold,normal_behavior,,False,,,0.0,0,0,,,1.0
Wind Farm A,CARE-WT-10,17,cross_turbine,zscore_threshold,normal_behavior,,False,,,0.0,0,0,,,1.0
Wind Farm A,CARE-WT-11,68,target_specific,zscore_threshold,anomaly_event,Transformer failure,False,,,0.0,0,0,0.0,0.0,
Wind Farm A,CARE-WT-11,25,target_specific,zscore_threshold,normal_behavior,,False,2023-05-22 13:50:00+00:00,52331.0,0.0,0,17,,,0.9912
Wind Farm A,CARE-WT-11,69,target_specific,zscore_threshold,normal_behavior,,False,,,0.0,0,0,,,1.0
Wind Farm A,CARE-WT-11,92,target_specific,zscore_threshold,normal_behavior,,False,2023-04-06 14:50:00+00:00,52799.0,0.0,0,12,,,0.9921
Wind Farm A,CARE-WT-11,68,cross_turbine,zscore_threshold,anomaly_event,Transformer failure,False,2023-08-13 12:10:00+00:00,54206.0,0.0,2,4,0.0,0.0,
Wind Farm A,CARE-WT-11,25,cross_turbine,zscore_threshold,normal_behavior,,False,2023-05-22 13:50:00+00:00,52331.0,0.0,0,34,,,0.9825
Wind Farm A,CARE-WT-11,69,cross_turbine,zscore_threshold,normal_behavior,,False,,,0.0,0,0,,,1.0
Wind Farm A,CARE-WT-11,92,cross_turbine,zscore_threshold,normal_behavior,,False,2023-04-06 14:50:00+00:00,52799.0,0.0,0,12,,,0.9921
Wind Farm A,CARE-WT-13,45,target_specific,zscore_threshold,anomaly_event,Hydraulic group,True,2023-04-18 13:00:00+00:00,52700.0,7.215,143,231,1.0,0.2924,
Wind Farm A,CARE-WT-13,84,target_specific,zscore_threshold,anomaly_event,Hydraulic group,False,,,0.0,0,0,1.0,0.0,
Wind Farm A,CARE-WT-13,38,target_specific,zscore_threshold,normal_behavior,,False,2023-07-02 14:50:00+00:00,53006.0,0.0,0,5,,,0.9976
Wind Farm A,CARE-WT-13,14,target_specific,zscore_threshold,normal_behavior,,False,2023-03-02 16:30:00+00:00,52311.0,0.0,0,25,,,0.9843
Wind Farm A,CARE-WT-13,45,cross_turbine,zscore_threshold,anomaly_event,Hydraulic group,False,2023-04-18 13:10:00+00:00,52701.0,7.208,44,113,1.0,0.1482,
Wind Farm A,CARE-WT-13,84,cross_turbine,zscore_threshold,anomaly_event,Hydraulic group,False,,,0.0,0,0,1.0,0.0,
Wind Farm A,CARE-WT-13,38,cross_turbine,zscore_threshold,normal_behavior,,False,2023-07-02 15:00:00+00:00,53007.0,0.0,0,2,,,0.9991
Wind Farm A,CARE-WT-13,14,cross_turbine,zscore_threshold,normal_behavior,,False,,,0.0,0,0,,,1.0
Wind Farm A,CARE-WT-21,22,target_specific,zscore_threshold,anomaly_event,Hydraulic group,False,2023-08-11 16:20:00+00:00,51927.0,6.736,0,1,0.005,0.0013,
Wind Farm A,CARE-WT-21,72,target_specific,zscore_threshold,anomaly_event,Gearbox failure,False,,,0.0,0,0,0.0,0.0,
Wind Farm A,CARE-WT-21,13,target_specific,zscore_threshold,normal_behavior,,False,2023-05-19 12:30:00+00:00,53302.0,0.0,0,82,,,0.9739
Wind Farm A,CARE-WT-21,51,target_specific,zscore_threshold,normal_behavior,,False,2023-10-05 14:00:00+00:00,52118.0,0.0,0,1,,,0.9995
Wind Farm A,CARE-WT-21,22,cross_turbine,zscore_threshold,anomaly_event,Hydraulic group,False,2023-08-11 12:10:00+00:00,51902.0,6.91,0,10,0.0479,0.0133,
Wind Farm A,CARE-WT-21,72,cross_turbine,zscore_threshold,anomaly_event,Gearbox failure,False,,,0.0,0,0,0.0,0.0,
Wind Farm A,CARE-WT-21,13,cross_turbine,zscore_threshold,normal_behavior,,False,2023-05-14 15:50:00+00:00,52602.0,0.0,0,137,,,0.9565
Wind Farm A,CARE-WT-21,51,cross_turbine,zscore_threshold,normal_behavior,,False,2023-10-05 13:20:00+00:00,52114.0,0.0,0,6,,,0.9969
Wind Farm B,CARE-WT-0,21,target_specific,isolation_forest,normal_behavior,,False,2023-09-26 00:50:00+00:00,52677.0,0.0,0,259,,,0.7959
Wind Farm B,CARE-WT-0,21,cross_turbine,isolation_forest,normal_behavior,,False,2023-09-26 00:50:00+00:00,52677.0,0.0,0,279,,,0.7801
Wind Farm B,CARE-WT-11,19,target_specific,isolation_forest,anomaly_event,high temperature,False,2023-02-01 03:10:00+00:00,52548.0,20.868,11,125,0.1317,0.0357,
Wind Farm B,CARE-WT-11,74,target_specific,isolation_forest,normal_behavior,,False,2024-01-01 03:30:00+00:00,52556.0,0.0,6,388,,,0.8784
Wind Farm B,CARE-WT-11,19,cross_turbine,isolation_forest,anomaly_event,high temperature,False,2023-02-01 03:20:00+00:00,52549.0,20.861,11,167,0.1986,0.0488,
Wind Farm B,CARE-WT-11,74,cross_turbine,isolation_forest,normal_behavior,,False,2024-01-01 03:40:00+00:00,52557.0,0.0,8,485,,,0.848
Wind Farm B,CARE-WT-12,77,target_specific,isolation_forest,anomaly_event,Turbine is in standstill since 01.08 due to rotorbearing damage.,False,2023-05-30 15:10:00+00:00,52650.0,62.368,6,706,0.2984,0.0832,
Wind Farm B,CARE-WT-12,86,target_specific,isolation_forest,normal_behavior,,False,2023-04-26 17:30:00+00:00,52559.0,0.0,4,165,,,0.9471
Wind Farm B,CARE-WT-12,77,cross_turbine,isolation_forest,anomaly_event,Turbine is in standstill since 01.08 due to rotorbearing damage.,False,2023-06-04 08:20:00+00:00,53329.0,57.653,6,639,0.2802,0.0762,
Wind Farm B,CARE-WT-12,86,cross_turbine,isolation_forest,normal_behavior,,False,2023-04-26 17:30:00+00:00,52559.0,0.0,4,168,,,0.9454
Wind Farm B,CARE-WT-13,7,target_specific,isolation_forest,anomaly_event,high temperature,False,2023-06-29 19:30:00+00:00,52676.0,31.188,12,178,0.0918,0.0271,
Wind Farm B,CARE-WT-13,2,target_specific,isolation_forest,normal_behavior,,False,2023-08-07 22:10:00+00:00,52576.0,0.0,0,194,,,0.9102
Wind Farm B,CARE-WT-13,7,cross_turbine,isolation_forest,anomaly_event,high temperature,False,2023-06-29 19:30:00+00:00,52676.0,31.188,8,149,0.0765,0.02,
Wind Farm B,CARE-WT-13,2,cross_turbine,isolation_forest,normal_behavior,,False,2023-08-07 22:10:00+00:00,52576.0,0.0,0,194,,,0.9102
Wind Farm B,CARE-WT-14,34,target_specific,isolation_forest,anomaly_event,high temperature,False,2023-08-25 00:00:00+00:00,52531.0,22.0,13,229,0.1449,0.0448,
Wind Farm B,CARE-WT-14,52,target_specific,isolation_forest,normal_behavior,,False,2023-07-13 10:00:00+00:00,52735.0,0.0,0,57,,,0.9791
Wind Farm B,CARE-WT-14,34,cross_turbine,isolation_forest,anomaly_event,high temperature,False,2023-08-25 00:00:00+00:00,52531.0,22.0,7,278,0.148,0.047,
Wind Farm B,CARE-WT-14,52,cross_turbine,isolation_forest,normal_behavior,,False,2023-07-13 10:00:00+00:00,52735.0,0.0,0,65,,,0.9762
Wind Farm B,CARE-WT-2,83,target_specific,isolation_forest,normal_behavior,,False,2023-06-28 11:40:00+00:00,52111.0,0.0,41,1110,,,0.9321
Wind Farm B,CARE-WT-2,83,cross_turbine,isolation_forest,normal_behavior,,False,2023-06-28 11:40:00+00:00,52111.0,0.0,43,1179,,,0.9263
Wind Farm B,CARE-WT-5,82,target_specific,isolation_forest,normal_behavior,,False,2023-09-23 22:20:00+00:00,52827.0,0.0,1,279,,,0.8852
Wind Farm B,CARE-WT-5,82,cross_turbine,isolation_forest,normal_behavior,,False,2023-09-23 22:20:00+00:00,52827.0,0.0,1,289,,,0.8793
Wind Farm B,CARE-WT-6,53,target_specific,isolation_forest,anomaly_event,Rotor Bearing 2 - Damage,True,2023-12-27 16:50:00+00:00,52560.0,41.986,111,1120,0.4866,0.198,
Wind Farm B,CARE-WT-6,23,target_specific,isolation_forest,normal_behavior,,True,2023-09-16 23:10:00+00:00,52593.0,0.0,109,345,,,0.8755
Wind Farm B,CARE-WT-6,53,cross_turbine,isolation_forest,anomaly_event,Rotor Bearing 2 - Damage,True,2023-12-27 17:20:00+00:00,52563.0,41.965,95,1034,0.4595,0.1833,
Wind Farm B,CARE-WT-6,23,cross_turbine,isolation_forest,normal_behavior,,True,2023-09-16 23:10:00+00:00,52593.0,0.0,113,357,,,0.8698
Wind Farm B,CARE-WT-7,27,target_specific,isolation_forest,anomaly_event,Turbine is stopped due to a main bearing damage,True,2023-08-31 19:00:00+00:00,52445.0,62.208,83,981,0.2599,0.0837,
Wind Farm B,CARE-WT-7,87,target_specific,isolation_forest,normal_behavior,,False,2023-09-12 13:10:00+00:00,52416.0,0.0,18,428,,,0.8606
Wind Farm B,CARE-WT-7,27,cross_turbine,isolation_forest,anomaly_event,Turbine is stopped due to a main bearing damage,False,2023-08-31 19:00:00+00:00,52445.0,62.208,68,894,0.2482,0.0811,
Wind Farm B,CARE-WT-7,87,cross_turbine,isolation_forest,normal_behavior,,False,2023-09-12 13:10:00+00:00,52416.0,0.0,18,411,,,0.8664
Wind Farm B,CARE-WT-0,21,target_specific,zscore_threshold,normal_behavior,,False,,,0.0,0,0,,,1.0
Wind Farm B,CARE-WT-0,21,cross_turbine,zscore_threshold,normal_behavior,,False,2023-10-01 01:20:00+00:00,53400.0,0.0,0,1,,,0.9992
Wind Farm B,CARE-WT-11,19,target_specific,zscore_threshold,anomaly_event,high temperature,False,2023-02-02 06:30:00+00:00,52712.0,19.729,0,2,0.0035,0.0009,
Wind Farm B,CARE-WT-11,74,target_specific,zscore_threshold,normal_behavior,,False,2024-01-12 10:50:00+00:00,54184.0,0.0,0,36,,,0.9881
Wind Farm B,CARE-WT-11,19,cross_turbine,zscore_threshold,anomaly_event,high temperature,False,2023-02-02 06:30:00+00:00,52712.0,19.729,0,3,0.0052,0.0012,
Wind Farm B,CARE-WT-11,74,cross_turbine,zscore_threshold,normal_behavior,,False,2024-01-12 10:50:00+00:00,54184.0,0.0,0,36,,,0.9881
Wind Farm B,CARE-WT-12,77,target_specific,zscore_threshold,anomaly_event,Turbine is in standstill since 01.08 due to rotorbearing damage.,False,2023-07-06 16:20:00+00:00,57985.0,25.319,0,6,0.0038,0.0008,
Wind Farm B,CARE-WT-12,86,target_specific,zscore_threshold,normal_behavior,,False,,,0.0,0,0,,,1.0
Wind Farm B,CARE-WT-12,77,cross_turbine,zscore_threshold,anomaly_event,Turbine is in standstill since 01.08 due to rotorbearing damage.,False,2023-07-06 16:20:00+00:00,57985.0,25.319,0,6,0.0038,0.0008,
Wind Farm B,CARE-WT-12,86,cross_turbine,zscore_threshold,normal_behavior,,False,,,0.0,0,0,,,1.0
Wind Farm B,CARE-WT-13,7,target_specific,zscore_threshold,anomaly_event,high temperature,False,,,0.0,0,0,0.0,0.0,
Wind Farm B,CARE-WT-13,2,target_specific,zscore_threshold,normal_behavior,,False,,,0.0,0,0,,,1.0
Wind Farm B,CARE-WT-13,7,cross_turbine,zscore_threshold,anomaly_event,high temperature,False,,,0.0,0,0,0.0,0.0,
Wind Farm B,CARE-WT-13,2,cross_turbine,zscore_threshold,normal_behavior,,False,,,0.0,0,0,,,1.0
Wind Farm B,CARE-WT-14,34,target_specific,zscore_threshold,anomaly_event,high temperature,False,2023-09-19 18:20:00+00:00,56241.0,0.0,0,1,0.0,0.0,
Wind Farm B,CARE-WT-14,52,target_specific,zscore_threshold,normal_behavior,,False,,,0.0,0,0,,,1.0
Wind Farm B,CARE-WT-14,34,cross_turbine,zscore_threshold,anomaly_event,high temperature,False,2023-09-19 18:20:00+00:00,56241.0,0.0,0,1,0.0,0.0,
Wind Farm B,CARE-WT-14,52,cross_turbine,zscore_threshold,normal_behavior,,False,,,0.0,0,0,,,1.0
Wind Farm B,CARE-WT-2,83,target_specific,zscore_threshold,normal_behavior,,False,,,0.0,0,0,,,1.0
Wind Farm B,CARE-WT-2,83,cross_turbine,zscore_threshold,normal_behavior,,False,2023-10-02 00:00:00+00:00,65865.0,0.0,1,1,,,1.0
Wind Farm B,CARE-WT-5,82,target_specific,zscore_threshold,normal_behavior,,False,2023-09-29 02:10:00+00:00,53570.0,0.0,0,3,,,0.9987
Wind Farm B,CARE-WT-5,82,cross_turbine,zscore_threshold,normal_behavior,,False,2023-09-29 02:10:00+00:00,53570.0,0.0,0,3,,,0.9987
Wind Farm B,CARE-WT-6,53,target_specific,zscore_threshold,anomaly_event,Rotor Bearing 2 - Damage,False,2024-01-01 23:30:00+00:00,53320.0,36.708,2,50,0.0382,0.0101,
Wind Farm B,CARE-WT-6,23,target_specific,zscore_threshold,normal_behavior,,False,,,0.0,0,0,,,1.0
Wind Farm B,CARE-WT-6,53,cross_turbine,zscore_threshold,anomaly_event,Rotor Bearing 2 - Damage,False,2024-01-01 23:30:00+00:00,53320.0,36.708,2,47,0.0365,0.0096,
Wind Farm B,CARE-WT-6,23,cross_turbine,zscore_threshold,normal_behavior,,False,,,0.0,0,0,,,1.0
Wind Farm B,CARE-WT-7,27,target_specific,zscore_threshold,anomaly_event,Turbine is stopped due to a main bearing damage,False,,,0.0,0,0,0.0,0.0,
Wind Farm B,CARE-WT-7,87,target_specific,zscore_threshold,normal_behavior,,False,,,0.0,0,0,,,1.0
Wind Farm B,CARE-WT-7,27,cross_turbine,zscore_threshold,anomaly_event,Turbine is stopped due to a main bearing damage,False,,,0.0,0,0,0.0,0.0,
Wind Farm B,CARE-WT-7,87,cross_turbine,zscore_threshold,normal_behavior,,False,,,0.0,0,0,,,1.0
Wind Farm C,CARE-WT-12,66,target_specific,isolation_forest,anomaly_event,"Pitchfailure - defect Beckhoffcard, Axis 2, rectified on 23/01 - Anomalie liegt aber länger an als der Fehler, Batterien waren ok",False,2023-01-15 00:00:00+00:00,51696.0,6.542,62,463,0.1776,0.2127,
Wind Farm C,CARE-WT-12,15,target_specific,isolation_forest,anomaly_event,Randomn small failures regarding pitch resulting in a longer standstill due to a defect pitch encoder (26/02),False,2023-02-05 02:30:00+00:00,51711.0,18.896,3,622,0.5955,0.2111,
Wind Farm C,CARE-WT-12,50,target_specific,isolation_forest,normal_behavior,,False,2023-11-01 20:00:00+00:00,51816.0,0.0,0,104,,,0.9695
Wind Farm C,CARE-WT-12,66,cross_turbine,isolation_forest,anomaly_event,"Pitchfailure - defect Beckhoffcard, Axis 2, rectified on 23/01 - Anomalie liegt aber länger an als der Fehler, Batterien waren ok",False,2023-01-15 00:00:00+00:00,51696.0,6.542,34,120,0.1752,0.0896,
Wind Farm C,CARE-WT-12,15,cross_turbine,isolation_forest,anomaly_event,Randomn small failures regarding pitch resulting in a longer standstill due to a defect pitch encoder (26/02),False,2023-02-06 04:50:00+00:00,51869.0,17.799,4,225,0.324,0.071,
Wind Farm C,CARE-WT-12,50,cross_turbine,isolation_forest,normal_behavior,,False,2023-11-01 15:40:00+00:00,51790.0,0.0,3,350,,,0.9009
Wind Farm C,CARE-WT-13,29,target_specific,isolation_forest,normal_behavior,,False,2023-03-06 08:10:00+00:00,52597.0,0.0,1,345,,,0.8497
Wind Farm C,CARE-WT-13,29,cross_turbine,isolation_forest,normal_behavior,,False,2023-03-06 08:10:00+00:00,52597.0,0.0,1,230,,,0.9001
Wind Farm C,CARE-WT-14,85,target_specific,isolation_forest,normal_behavior,,False,2023-01-10 18:50:00+00:00,50866.0,0.0,4,386,,,0.7598
Wind Farm C,CARE-WT-14,85,cross_turbine,isolation_forest,normal_behavior,,False,2023-01-10 18:00:00+00:00,50861.0,0.0,4,416,,,0.7386
Wind Farm C,CARE-WT-15,78,target_specific,isolation_forest,anomaly_event,P20_Grounding role brake disc + P20_cover-lightning-main-cabinet-hub,False,2023-07-30 00:10:00+00:00,52627.0,1.597,11,57,0.1795,0.0687,
Wind Farm C,CARE-WT-15,64,target_specific,isolation_forest,normal_behavior,,False,2023-09-23 00:10:00+00:00,52702.0,0.0,8,335,,,0.8239
Wind Farm C,CARE-WT-15,78,cross_turbine,isolation_forest,anomaly_event,P20_Grounding role brake disc + P20_cover-lightning-main-cabinet-hub,False,2023-07-30 00:10:00+00:00,52627.0,1.597,3,27,0.1331,0.0468,
Wind Farm C,CARE-WT-15,64,cross_turbine,isolation_forest,normal_behavior,,False,2023-09-25 02:50:00+00:00,53006.0,0.0,8,188,,,0.9036
Wind Farm C,CARE-WT-16,79,target_specific,isolation_forest,anomaly_event,Communication fault BK1120 in NC300,False,2023-07-23 18:10:00+00:00,52615.0,2.618,5,26,0.0,0.0003,
Wind Farm C,CARE-WT-16,30,target_specific,isolation_forest,anomaly_event,Pitch failure - defect fan on pitch motor,True,2023-12-14 00:00:00+00:00,52560.0,22.653,221,829,0.2634,0.1727,
Wind Farm C,CARE-WT-16,46,target_specific,isolation_forest,normal_behavior,,False,2023-05-09 11:40:00+00:00,52589.0,0.0,1,149,,,0.9436
Wind Farm C,CARE-WT-16,65,target_specific,isolation_forest,normal_behavior,,False,2023-11-03 08:40:00+00:00,52586.0,0.0,2,305,,,0.9102
Wind Farm C,CARE-WT-16,79,cross_turbine,isolation_forest,anomaly_event,Communication fault BK1120 in NC300,False,2023-07-23 18:40:00+00:00,52618.0,2.597,5,18,0.0,0.0003,
Wind Farm C,CARE-WT-16,30,cross_turbine,isolation_forest,anomaly_event,Pitch failure - defect fan on pitch motor,True,2023-12-14 04:00:00+00:00,52584.0,22.486,232,731,0.2207,0.1674,
Wind Farm C,CARE-WT-16,46,cross_turbine,isolation_forest,normal_behavior,,False,2023-05-09 10:20:00+00:00,52581.0,0.0,1,76,,,0.9714
Wind Farm C,CARE-WT-16,65,cross_turbine,isolation_forest,normal_behavior,,False,2023-11-03 06:40:00+00:00,52574.0,0.0,3,282,,,0.919
