farm,column_name,base_sensor,statistics_type,is_numeric,is_included_native,is_included_common,common_signal_name,exclusion_reason,unit,description,is_angle,is_counter
Wind Farm A,sensor_31_std,sensor_31,std,True,True,False,,,kVAr,Grid reactive power,False,False
Wind Farm A,sensor_32_avg,sensor_32,avg,True,True,False,,,V,Averaged voltage in phase 1,False,False
Wind Farm A,sensor_33_avg,sensor_33,avg,True,True,False,,,V,Averaged voltage in phase 2,False,False
Wind Farm A,sensor_34_avg,sensor_34,avg,True,True,False,,,V,Averaged voltage in phase 3,False,False
Wind Farm A,sensor_35_avg,sensor_35,avg,True,True,False,,,�C,Temperature measured by the IGBT-driver on the rotor side inverter phase1,False,False
Wind Farm A,sensor_36_avg,sensor_36,avg,True,True,False,,,�C,Temperature measured by the IGBT-driver on the rotor side inverter phase2,False,False
Wind Farm A,sensor_37_avg,sensor_37,avg,True,True,False,,,�C,Temperature measured by the IGBT-driver on the rotor side inverter phase3,False,False
Wind Farm A,sensor_38_avg,sensor_38,avg,True,True,False,,,�C,Temperature in HV transformer phase L1,False,False
Wind Farm A,sensor_39_avg,sensor_39,avg,True,True,False,,,�C,Temperature in HV transformer phase L2,False,False
Wind Farm A,sensor_40_avg,sensor_40,avg,True,True,False,,,�C,Temperature in HV transformer phase L3,False,False
Wind Farm A,sensor_41_avg,sensor_41,avg,True,True,False,,,�C,Temperature oil in hydraulic group,False,False
Wind Farm A,sensor_42_avg,sensor_42,avg,True,True,False,,,�,Nacelle direction,True,False
Wind Farm A,sensor_43_avg,sensor_43,avg,True,True,False,,,�C,Nacelle temperature,False,False
Wind Farm A,sensor_44,sensor_44,,True,True,False,,,Wh,Active power - generator disconnected,False,False
Wind Farm A,sensor_45,sensor_45,,True,True,False,,,Wh,Active power - generator connected in delta,False,False
Wind Farm A,sensor_46,sensor_46,,True,True,False,,,Wh,Active power - generator connected in star,False,False
Wind Farm A,sensor_47,sensor_47,,True,True,False,,,VArh,Reactive power - generator disconnected,False,False
Wind Farm A,sensor_48,sensor_48,,True,True,False,,,VArh,Reactive power - generator connected in delta,False,False
Wind Farm A,sensor_49,sensor_49,,True,True,False,,,VArh,Reactive power - generator connected in star,False,False
Wind Farm A,sensor_50,sensor_50,,True,True,False,,,Wh,Total active power,False,False
Wind Farm A,sensor_51,sensor_51,,True,True,False,,,VArh,Total reactive power,False,False
Wind Farm A,sensor_52_avg,sensor_52,avg,True,True,True,rotor_speed,,rpm,Rotor rpm,False,False
Wind Farm A,sensor_52_max,sensor_52,max,True,True,False,,,rpm,Rotor rpm,False,False
Wind Farm A,sensor_52_min,sensor_52,min,True,True,False,,,rpm,Rotor rpm,False,False
Wind Farm A,sensor_52_std,sensor_52,std,True,True,False,,,rpm,Rotor rpm,False,False
Wind Farm A,sensor_53_avg,sensor_53,avg,True,True,False,,,�C,Temperature in the nose cone,False,False
Wind Farm B,time_stamp,time_stamp,,False,False,False,,metadata / identifier / split flag,,,False,False
Wind Farm B,asset_id,asset_id,,False,False,False,,metadata / identifier / split flag,,,False,False
Wind Farm B,id,id,,False,False,False,,metadata / identifier / split flag,,,False,False
Wind Farm B,train_test,train_test,,False,False,False,,metadata / identifier / split flag,,,False,False
Wind Farm B,status_type_id,status_type_id,,False,False,False,,metadata / identifier / split flag,,,False,False
Wind Farm B,sensor_0_avg,sensor_0,avg,True,True,False,,,kvarh,Total negative reactive power,False,True
Wind Farm B,sensor_0_max,sensor_0,max,True,True,False,,,kvarh,Total negative reactive power,False,True
Wind Farm B,sensor_0_min,sensor_0,min,True,True,False,,,kvarh,Total negative reactive power,False,True
Wind Farm B,sensor_0_std,sensor_0,std,True,True,False,,,kvarh,Total negative reactive power,False,True
Wind Farm B,sensor_1_avg,sensor_1,avg,True,True,False,,,kWh,Total negative active power,False,True
Wind Farm B,sensor_1_max,sensor_1,max,True,True,False,,,kWh,Total negative active power,False,True
Wind Farm B,sensor_1_min,sensor_1,min,True,True,False,,,kWh,Total negative active power,False,True
Wind Farm B,sensor_1_std,sensor_1,std,True,True,False,,,kWh,Total negative active power,False,True
Wind Farm B,sensor_2_avg,sensor_2,avg,True,True,False,,,kvarh,Total positive reactive power,False,True
Wind Farm B,sensor_2_max,sensor_2,max,True,True,False,,,kvarh,Total positive reactive power,False,True
Wind Farm B,sensor_2_min,sensor_2,min,True,True,False,,,kvarh,Total positive reactive power,False,True
Wind Farm B,sensor_2_std,sensor_2,std,True,True,False,,,kvarh,Total positive reactive power,False,True
Wind Farm B,sensor_3_avg,sensor_3,avg,True,True,False,,,kWh,Total positive active power,False,True
Wind Farm B,sensor_3_max,sensor_3,max,True,True,False,,,kWh,Total positive active power,False,True
Wind Farm B,sensor_3_min,sensor_3,min,True,True,False,,,kWh,Total positive active power,False,True
Wind Farm B,sensor_3_std,sensor_3,std,True,True,False,,,kWh,Total positive active power,False,True
Wind Farm B,sensor_4_avg,sensor_4,avg,True,True,False,,,�,Absolute wind direction,True,False
Wind Farm B,sensor_4_max,sensor_4,max,True,True,False,,,�,Absolute wind direction,True,False
Wind Farm B,sensor_4_min,sensor_4,min,True,True,False,,,�,Absolute wind direction,True,False
Wind Farm B,sensor_4_std,sensor_4,std,True,True,False,,,�,Absolute wind direction,True,False
Wind Farm B,sensor_5_avg,sensor_5,avg,True,True,False,,,kNm,Torque delta calculated,False,False
Wind Farm B,sensor_5_max,sensor_5,max,True,True,False,,,kNm,Torque delta calculated,False,False
Wind Farm B,sensor_5_min,sensor_5,min,True,True,False,,,kNm,Torque delta calculated,False,False
Wind Farm B,sensor_5_std,sensor_5,std,True,True,False,,,kNm,Torque delta calculated,False,False
Wind Farm B,sensor_6_avg,sensor_6,avg,True,True,False,,,m/s,Wind speed anemometer 2 calculated,False,False
Wind Farm B,sensor_6_max,sensor_6,max,True,True,False,,,m/s,Wind speed anemometer 2 calculated,False,False
Wind Farm B,sensor_6_min,sensor_6,min,True,True,False,,,m/s,Wind speed anemometer 2 calculated,False,False
Wind Farm B,sensor_6_std,sensor_6,std,True,True,False,,,m/s,Wind speed anemometer 2 calculated,False,False
Wind Farm B,sensor_7_avg,sensor_7,avg,True,True,False,,,%,Cable load,False,False
Wind Farm B,sensor_7_max,sensor_7,max,True,True,False,,,%,Cable load,False,False
Wind Farm B,sensor_7_min,sensor_7,min,True,True,False,,,%,Cable load,False,False
Wind Farm B,sensor_7_std,sensor_7,std,True,True,False,,,%,Cable load,False,False
Wind Farm B,sensor_8_avg,sensor_8,avg,True,True,False,,,�C,Outside temperature,False,False
Wind Farm B,sensor_8_max,sensor_8,max,True,True,False,,,�C,Outside temperature,False,False
Wind Farm B,sensor_8_min,sensor_8,min,True,True,False,,,�C,Outside temperature,False,False
Wind Farm B,sensor_8_std,sensor_8,std,True,True,False,,,�C,Outside temperature,False,False
Wind Farm B,sensor_9_avg,sensor_9,avg,True,True,False,,,mHz,Estimated tower natural frequency,False,False
Wind Farm B,sensor_9_max,sensor_9,max,True,True,False,,,mHz,Estimated tower natural frequency,False,False
Wind Farm B,sensor_9_min,sensor_9,min,True,True,False,,,mHz,Estimated tower natural frequency,False,False
Wind Farm B,sensor_9_std,sensor_9,std,True,True,False,,,mHz,Estimated tower natural frequency,False,False
Wind Farm B,sensor_10_avg,sensor_10,avg,True,True,False,,,�,Pitch angle,True,False
Wind Farm B,sensor_10_max,sensor_10,max,True,True,False,,,�,Pitch angle,True,False
Wind Farm B,sensor_10_min,sensor_10,min,True,True,False,,,�,Pitch angle,True,False
Wind Farm B,sensor_10_std,sensor_10,std,True,True,False,,,�,Pitch angle,True,False
Wind Farm B,reactive_power_11_avg,reactive_power_11,avg,True,True,False,,,kvar,Reactive power,False,False
Wind Farm B,reactive_power_11_max,reactive_power_11,max,True,True,False,,,kvar,Reactive power,False,False
Wind Farm B,reactive_power_11_min,reactive_power_11,min,True,True,False,,,kvar,Reactive power,False,False
Wind Farm B,reactive_power_11_std,reactive_power_11,std,True,True,False,,,kvar,Reactive power,False,False
Wind Farm B,sensor_12_avg,sensor_12,avg,True,True,False,,,Nm,Torque estimated,False,False
Wind Farm B,sensor_12_max,sensor_12,max,True,True,False,,,Nm,Torque estimated,False,False
Wind Farm B,sensor_12_min,sensor_12,min,True,True,False,,,Nm,Torque estimated,False,False
Wind Farm B,sensor_12_std,sensor_12,std,True,True,False,,,Nm,Torque estimated,False,False
Wind Farm B,sensor_13_avg,sensor_13,avg,True,True,False,,,V,RMS voltage L1,False,False
Wind Farm B,sensor_13_max,sensor_13,max,True,True,False,,,V,RMS voltage L1,False,False
Wind Farm B,sensor_13_min,sensor_13,min,True,True,False,,,V,RMS voltage L1,False,False
Wind Farm B,sensor_13_std,sensor_13,std,True,True,False,,,V,RMS voltage L1,False,False
Wind Farm B,sensor_14_avg,sensor_14,avg,True,True,False,,,V,RMS voltage L2,False,False
Wind Farm B,sensor_14_max,sensor_14,max,True,True,False,,,V,RMS voltage L2,False,False
Wind Farm B,sensor_14_min,sensor_14,min,True,True,False,,,V,RMS voltage L2,False,False
Wind Farm B,sensor_14_std,sensor_14,std,True,True,False,,,V,RMS voltage L2,False,False
Wind Farm B,sensor_15_avg,sensor_15,avg,True,True,False,,,V,RMS voltage L3,False,False
Wind Farm B,sensor_15_max,sensor_15,max,True,True,False,,,V,RMS voltage L3,False,False
Wind Farm B,sensor_15_min,sensor_15,min,True,True,False,,,V,RMS voltage L3,False,False
Wind Farm B,sensor_15_std,sensor_15,std,True,True,False,,,V,RMS voltage L3,False,False
Wind Farm B,sensor_16_avg,sensor_16,avg,True,True,False,,,A,RMS current L1,False,False
Wind Farm B,sensor_16_max,sensor_16,max,True,True,False,,,A,RMS current L1,False,False
Wind Farm B,sensor_16_min,sensor_16,min,True,True,False,,,A,RMS current L1,False,False
Wind Farm B,sensor_16_std,sensor_16,std,True,True,False,,,A,RMS current L1,False,False
Wind Farm B,sensor_17_avg,sensor_17,avg,True,True,False,,,A,RMS current L2,False,False
Wind Farm B,sensor_17_max,sensor_17,max,True,True,False,,,A,RMS current L2,False,False
Wind Farm B,sensor_17_min,sensor_17,min,True,True,False,,,A,RMS current L2,False,False
Wind Farm B,sensor_17_std,sensor_17,std,True,True,False,,,A,RMS current L2,False,False
Wind Farm B,sensor_18_avg,sensor_18,avg,True,True,False,,,A,RMS current L3,False,False
Wind Farm B,sensor_18_max,sensor_18,max,True,True,False,,,A,RMS current L3,False,False
Wind Farm B,sensor_18_min,sensor_18,min,True,True,False,,,A,RMS current L3,False,False
Wind Farm B,sensor_18_std,sensor_18,std,True,True,False,,,A,RMS current L3,False,False
Wind Farm B,sensor_19_avg,sensor_19,avg,True,True,False,,,rpm,Generator converter rotational peed,False,False
Wind Farm B,sensor_19_max,sensor_19,max,True,True,False,,,rpm,Generator converter rotational peed,False,False
Wind Farm B,sensor_19_min,sensor_19,min,True,True,False,,,rpm,Generator converter rotational peed,False,False
Wind Farm B,sensor_19_std,sensor_19,std,True,True,False,,,rpm,Generator converter rotational peed,False,False
Wind Farm B,sensor_20_avg,sensor_20,avg,True,True,False,,,rpm,Gearbox rotational speed,False,False
Wind Farm B,sensor_20_max,sensor_20,max,True,True,False,,,rpm,Gearbox rotational speed,False,False
Wind Farm B,sensor_20_min,sensor_20,min,True,True,False,,,rpm,Gearbox rotational speed,False,False
Wind Farm B,sensor_20_std,sensor_20,std,True,True,False,,,rpm,Gearbox rotational speed,False,False
Wind Farm B,sensor_21_avg,sensor_21,avg,True,True,False,,,�,Nacelle direction,True,False
Wind Farm B,sensor_21_max,sensor_21,max,True,True,False,,,�,Nacelle direction,True,False
Wind Farm B,sensor_21_min,sensor_21,min,True,True,False,,,�,Nacelle direction,True,False
Wind Farm B,sensor_21_std,sensor_21,std,True,True,False,,,�,Nacelle direction,True,False
Wind Farm B,sensor_22_avg,sensor_22,avg,True,True,False,,,�C,Hub temperature,False,False
Wind Farm B,sensor_22_max,sensor_22,max,True,True,False,,,�C,Hub temperature,False,False
Wind Farm B,sensor_22_min,sensor_22,min,True,True,False,,,�C,Hub temperature,False,False
Wind Farm B,sensor_22_std,sensor_22,std,True,True,False,,,�C,Hub temperature,False,False
Wind Farm B,sensor_23_avg,sensor_23,avg,True,True,False,,,Hz,Grid frequency,False,False
Wind Farm B,sensor_23_max,sensor_23,max,True,True,False,,,Hz,Grid frequency,False,False
Wind Farm B,sensor_23_min,sensor_23,min,True,True,False,,,Hz,Grid frequency,False,False
Wind Farm B,sensor_23_std,sensor_23,std,True,True,False,,,Hz,Grid frequency,False,False
Wind Farm B,sensor_24_avg,sensor_24,avg,True,True,False,,,V,Grid voltage,False,False
Wind Farm B,sensor_24_max,sensor_24,max,True,True,False,,,V,Grid voltage,False,False
Wind Farm B,sensor_24_min,sensor_24,min,True,True,False,,,V,Grid voltage,False,False
Wind Farm B,sensor_24_std,sensor_24,std,True,True,False,,,V,Grid voltage,False,False
Wind Farm B,sensor_25_avg,sensor_25,avg,True,True,True,rotor_speed,,rpm,Rotor speed,False,False
Wind Farm B,sensor_25_max,sensor_25,max,True,True,False,,,rpm,Rotor speed,False,False
Wind Farm B,sensor_25_min,sensor_25,min,True,True,False,,,rpm,Rotor speed,False,False
Wind Farm B,sensor_25_std,sensor_25,std,True,True,False,,,rpm,Rotor speed,False,False
Wind Farm B,sensor_26_avg,sensor_26,avg,True,True,False,,,kVA,Apparent power,False,False
Wind Farm B,sensor_26_max,sensor_26,max,True,True,False,,,kVA,Apparent power,False,False
Wind Farm B,sensor_26_min,sensor_26,min,True,True,False,,,kVA,Apparent power,False,False
Wind Farm B,sensor_26_std,sensor_26,std,True,True,False,,,kVA,Apparent power,False,False
Wind Farm B,sensor_27_avg,sensor_27,avg,True,True,False,,,A,Current,False,False
Wind Farm B,sensor_27_max,sensor_27,max,True,True,False,,,A,Current,False,False
Wind Farm B,sensor_27_min,sensor_27,min,True,True,False,,,A,Current,False,False
Wind Farm B,sensor_27_std,sensor_27,std,True,True,False,,,A,Current,False,False
Wind Farm B,sensor_28_avg,sensor_28,avg,True,True,False,,,A,Motor current axis 1,False,False
Wind Farm B,sensor_28_max,sensor_28,max,True,True,False,,,A,Motor current axis 1,False,False
Wind Farm B,sensor_28_min,sensor_28,min,True,True,False,,,A,Motor current axis 1,False,False
Wind Farm B,sensor_28_std,sensor_28,std,True,True,False,,,A,Motor current axis 1,False,False
Wind Farm B,sensor_29_avg,sensor_29,avg,True,True,False,,,A,Motor current axis 2,False,False
Wind Farm B,sensor_29_max,sensor_29,max,True,True,False,,,A,Motor current axis 2,False,False
Wind Farm B,sensor_29_min,sensor_29,min,True,True,False,,,A,Motor current axis 2,False,False
Wind Farm B,sensor_29_std,sensor_29,std,True,True,False,,,A,Motor current axis 2,False,False
Wind Farm B,sensor_30_avg,sensor_30,avg,True,True,False,,,A,Motor current axis 3,False,False
Wind Farm B,sensor_30_max,sensor_30,max,True,True,False,,,A,Motor current axis 3,False,False
Wind Farm B,sensor_30_min,sensor_30,min,True,True,False,,,A,Motor current axis 3,False,False
Wind Farm B,sensor_30_std,sensor_30,std,True,True,False,,,A,Motor current axis 3,False,False
Wind Farm B,sensor_31_avg,sensor_31,avg,True,True,False,,,�C,Temperature internal consumption transformer,False,False
Wind Farm B,sensor_31_max,sensor_31,max,True,True,False,,,�C,Temperature internal consumption transformer,False,False
Wind Farm B,sensor_31_min,sensor_31,min,True,True,False,,,�C,Temperature internal consumption transformer,False,False
Wind Farm B,sensor_31_std,sensor_31,std,True,True,False,,,�C,Temperature internal consumption transformer,False,False
Wind Farm B,sensor_32_avg,sensor_32,avg,True,True,False,,,�C,Generator bearing temperature 1,False,False
Wind Farm B,sensor_32_max,sensor_32,max,True,True,False,,,�C,Generator bearing temperature 1,False,False
Wind Farm B,sensor_32_min,sensor_32,min,True,True,False,,,�C,Generator bearing temperature 1,False,False
Wind Farm B,sensor_32_std,sensor_32,std,True,True,False,,,�C,Generator bearing temperature 1,False,False
Wind Farm B,sensor_33_avg,sensor_33,avg,True,True,False,,,�C,Generator bearing temperature 2,False,False
Wind Farm B,sensor_33_max,sensor_33,max,True,True,False,,,�C,Generator bearing temperature 2,False,False
Wind Farm B,sensor_33_min,sensor_33,min,True,True,False,,,�C,Generator bearing temperature 2,False,False
Wind Farm B,sensor_33_std,sensor_33,std,True,True,False,,,�C,Generator bearing temperature 2,False,False
Wind Farm B,sensor_34_avg,sensor_34,avg,True,True,False,,,�C,Gearbox bearing temperature 1,False,False
Wind Farm B,sensor_34_max,sensor_34,max,True,True,False,,,�C,Gearbox bearing temperature 1,False,False
Wind Farm B,sensor_34_min,sensor_34,min,True,True,False,,,�C,Gearbox bearing temperature 1,False,False
Wind Farm B,sensor_34_std,sensor_34,std,True,True,False,,,�C,Gearbox bearing temperature 1,False,False
Wind Farm B,sensor_35_avg,sensor_35,avg,True,True,False,,,�C,Gearbox bearing temperature 2,False,False
Wind Farm B,sensor_35_max,sensor_35,max,True,True,False,,,�C,Gearbox bearing temperature 2,False,False
Wind Farm B,sensor_35_min,sensor_35,min,True,True,False,,,�C,Gearbox bearing temperature 2,False,False
Wind Farm B,sensor_35_std,sensor_35,std,True,True,False,,,�C,Gearbox bearing temperature 2,False,False
Wind Farm B,sensor_36_avg,sensor_36,avg,True,True,False,,,�C,Gearbox bearing temperature 3,False,False
Wind Farm B,sensor_36_max,sensor_36,max,True,True,False,,,�C,Gearbox bearing temperature 3,False,False
Wind Farm B,sensor_36_min,sensor_36,min,True,True,False,,,�C,Gearbox bearing temperature 3,False,False
Wind Farm B,sensor_36_std,sensor_36,std,True,True,False,,,�C,Gearbox bearing temperature 3,False,False
Wind Farm B,sensor_37_avg,sensor_37,avg,True,True,False,,,�C,Gearbox bearing temperature 4,False,False
Wind Farm B,sensor_37_max,sensor_37,max,True,True,False,,,�C,Gearbox bearing temperature 4,False,False
Wind Farm B,sensor_37_min,sensor_37,min,True,True,False,,,�C,Gearbox bearing temperature 4,False,False
Wind Farm B,sensor_37_std,sensor_37,std,True,True,False,,,�C,Gearbox bearing temperature 4,False,False
Wind Farm B,sensor_38_avg,sensor_38,avg,True,True,False,,,�C,Gearbox oil inlet temperature,False,False
Wind Farm B,sensor_38_max,sensor_38,max,True,True,False,,,�C,Gearbox oil inlet temperature,False,False
Wind Farm B,sensor_38_min,sensor_38,min,True,True,False,,,�C,Gearbox oil inlet temperature,False,False
Wind Farm B,sensor_38_std,sensor_38,std,True,True,False,,,�C,Gearbox oil inlet temperature,False,False
Wind Farm B,sensor_39_avg,sensor_39,avg,True,True,False,,,�C,Gearbox oil tank temperature,False,False
Wind Farm B,sensor_39_max,sensor_39,max,True,True,False,,,�C,Gearbox oil tank temperature,False,False
Wind Farm B,sensor_39_min,sensor_39,min,True,True,False,,,�C,Gearbox oil tank temperature,False,False
Wind Farm B,sensor_39_std,sensor_39,std,True,True,False,,,�C,Gearbox oil tank temperature,False,False
Wind Farm B,sensor_40_avg,sensor_40,avg,True,True,False,,,�C,Transformator core temperature,False,False
Wind Farm B,sensor_40_max,sensor_40,max,True,True,False,,,�C,Transformator core temperature,False,False
Wind Farm B,sensor_40_min,sensor_40,min,True,True,False,,,�C,Transformator core temperature,False,False
Wind Farm B,sensor_40_std,sensor_40,std,True,True,False,,,�C,Transformator core temperature,False,False
Wind Farm B,sensor_41_avg,sensor_41,avg,True,True,False,,,�C,Transformer L1 (mid-voltage) temperature ,False,False
Wind Farm B,sensor_41_max,sensor_41,max,True,True,False,,,�C,Transformer L1 (mid-voltage) temperature ,False,False
Wind Farm B,sensor_41_min,sensor_41,min,True,True,False,,,�C,Transformer L1 (mid-voltage) temperature ,False,False
Wind Farm B,sensor_41_std,sensor_41,std,True,True,False,,,�C,Transformer L1 (mid-voltage) temperature ,False,False
Wind Farm B,sensor_42_avg,sensor_42,avg,True,True,False,,,�C,Transformer L1 (undervoltage) temperature ,False,False
Wind Farm B,sensor_42_max,sensor_42,max,True,True,False,,,�C,Transformer L1 (undervoltage) temperature ,False,False
Wind Farm B,sensor_42_min,sensor_42,min,True,True,False,,,�C,Transformer L1 (undervoltage) temperature ,False,False
Wind Farm B,sensor_42_std,sensor_42,std,True,True,False,,,�C,Transformer L1 (undervoltage) temperature ,False,False
Wind Farm B,sensor_43_avg,sensor_43,avg,True,True,False,,,�C,Transformer L2 (mid-voltage) temperature ,False,False
Wind Farm B,sensor_43_max,sensor_43,max,True,True,False,,,�C,Transformer L2 (mid-voltage) temperature ,False,False
Wind Farm B,sensor_43_min,sensor_43,min,True,True,False,,,�C,Transformer L2 (mid-voltage) temperature ,False,False
Wind Farm B,sensor_43_std,sensor_43,std,True,True,False,,,�C,Transformer L2 (mid-voltage) temperature ,False,False
Wind Farm B,sensor_44_avg,sensor_44,avg,True,True,False,,,�C,Transformer L2 (undervoltage) temperature ,False,False
Wind Farm B,sensor_44_max,sensor_44,max,True,True,False,,,�C,Transformer L2 (undervoltage) temperature ,False,False
Wind Farm B,sensor_44_min,sensor_44,min,True,True,False,,,�C,Transformer L2 (undervoltage) temperature ,False,False
Wind Farm B,sensor_44_std,sensor_44,std,True,True,False,,,�C,Transformer L2 (undervoltage) temperature ,False,False
Wind Farm B,sensor_45_avg,sensor_45,avg,True,True,False,,,�C,Transformer L3 (mid-voltage) temperature ,False,False
Wind Farm B,sensor_45_max,sensor_45,max,True,True,False,,,�C,Transformer L3 (mid-voltage) temperature ,False,False
Wind Farm B,sensor_45_min,sensor_45,min,True,True,False,,,�C,Transformer L3 (mid-voltage) temperature ,False,False
