farm,turbine_id,model,n_anomaly_datasets,n_normal_datasets,status,care_target_specific,care_cross_turbine,delta_care,coverage_target_specific,coverage_cross_turbine,delta_coverage,accuracy_target_specific,accuracy_cross_turbine,delta_accuracy,reliability_target_specific,reliability_cross_turbine,delta_reliability,earliness_target_specific,earliness_cross_turbine,delta_earliness
Wind Farm C,CARE-WT-12,isolation_forest,2,1,COMPUTED,0.5075,0.4263,-0.0812,0.3866,0.2496,-0.137,0.9695,0.9009,-0.0686,0.0,0.0,0.0,0.2119,0.0803,-0.1316
Wind Farm C,CARE-WT-13,isolation_forest,0,1,INSUFFICIENT_DATA,,,,,,,0.8497,0.9001,0.0504,,,,,,
Wind Farm C,CARE-WT-14,isolation_forest,0,1,INSUFFICIENT_DATA,,,,,,,0.7598,0.7386,-0.0212,,,,,,
Wind Farm C,CARE-WT-15,isolation_forest,1,1,COMPUTED,0.3792,0.3974,0.0182,0.1795,0.1331,-0.0464,0.8239,0.9036,0.0797,0.0,0.0,0.0,0.0687,0.0468,-0.0219
Wind Farm C,CARE-WT-16,isolation_forest,2,2,COMPUTED,0.5811,0.5836,0.0025,0.1317,0.1104,-0.0213,0.9269,0.9452,0.0183,0.8333,0.8333,0.0,0.0865,0.0839,-0.0026
Wind Farm C,CARE-WT-2,isolation_forest,1,1,COMPUTED,0.4373,0.4385,0.0012,0.2733,0.2595,-0.0138,0.9203,0.9301,0.0098,0.0,0.0,0.0,0.0725,0.073,0.0005
Wind Farm C,CARE-WT-21,isolation_forest,1,1,COMPUTED,0.4084,0.4074,-0.001,0.0664,0.078,0.0116,0.9591,0.9483,-0.0108,0.0,0.0,0.0,0.0574,0.0625,0.0051
Wind Farm C,CARE-WT-23,isolation_forest,1,2,COMPUTED,0.4322,0.4409,0.0087,0.252,0.2553,0.0033,0.9177,0.9388,0.0211,0.0,0.0,0.0,0.0737,0.0715,-0.0022
Wind Farm C,CARE-WT-32,isolation_forest,1,1,COMPUTED,0.4143,0.6244,0.2101,0.1983,0.1239,-0.0744,0.8262,0.8733,0.0471,0.0,1.0,1.0,0.2209,0.2514,0.0305
Wind Farm C,CARE-WT-33,isolation_forest,1,1,COMPUTED,0.4708,0.4221,-0.0487,0.4139,0.3001,-0.1138,0.8723,0.8508,-0.0215,0.0,0.0,0.0,0.1955,0.1089,-0.0866
Wind Farm C,CARE-WT-34,isolation_forest,2,2,COMPUTED,0.4561,0.6115,0.1554,0.2634,0.2169,-0.0465,0.9808,0.9859,0.0051,0.0,0.8333,0.8333,0.0552,0.0353,-0.0199
Wind Farm C,CARE-WT-35,isolation_forest,2,2,COMPUTED,0.4428,0.4398,-0.003,0.1981,0.1799,-0.0182,0.9689,0.9709,0.002,0.0,0.0,0.0,0.0782,0.0774,-0.0008
Wind Farm C,CARE-WT-38,isolation_forest,1,1,COMPUTED,0.5051,0.55,0.0449,0.439,0.5564,0.1174,0.924,0.9594,0.0354,0.0,0.0,0.0,0.2386,0.275,0.0364
Wind Farm C,CARE-WT-42,isolation_forest,1,1,COMPUTED,0.4404,0.4584,0.018,0.1871,0.2601,0.073,0.9798,0.9794,-0.0004,0.0,0.0,0.0,0.0552,0.0733,0.0181
Wind Farm C,CARE-WT-43,isolation_forest,2,2,COMPUTED,0.7562,0.4797,-0.2765,0.757,0.3364,-0.4206,0.8094,0.9745,0.1651,1.0,0.0,-1.0,0.4052,0.113,-0.2922
Wind Farm C,CARE-WT-44,isolation_forest,1,1,COMPUTED,0.4318,0.4258,-0.006,0.1979,0.1412,-0.0567,0.9557,0.9778,0.0221,0.0,0.0,0.0,0.0495,0.0319,-0.0176
Wind Farm C,CARE-WT-5,isolation_forest,0,1,INSUFFICIENT_DATA,,,,,,,0.8154,0.8752,0.0598,,,,,,
Wind Farm C,CARE-WT-50,isolation_forest,1,1,COMPUTED,0.4701,0.4625,-0.0076,0.3501,0.3087,-0.0414,0.9264,0.9242,-0.0022,0.0,0.0,0.0,0.1473,0.1553,0.008
Wind Farm C,CARE-WT-52,isolation_forest,2,2,COMPUTED,0.3585,0.3316,-0.0269,0.1129,0.0841,-0.0288,0.8195,0.7712,-0.0483,0.0,0.0,0.0,0.0404,0.0314,-0.009
Wind Farm C,CARE-WT-53,isolation_forest,3,3,COMPUTED,0.5634,0.5624,-0.001,0.3197,0.2259,-0.0938,0.8046,0.8879,0.0833,0.7143,0.7143,0.0,0.1738,0.0958,-0.078
Wind Farm C,CARE-WT-55,isolation_forest,1,2,COMPUTED,0.4451,0.4246,-0.0205,0.218,0.1329,-0.0851,0.9701,0.981,0.0109,0.0,0.0,0.0,0.0673,0.028,-0.0393
Wind Farm C,CARE-WT-56,isolation_forest,1,1,COMPUTED,0.3992,0.3979,-0.0013,0.1261,0.117,-0.0091,0.9156,0.9182,0.0026,0.0,0.0,0.0,0.0387,0.0358,-0.0029
Wind Farm C,CARE-WT-12,zscore_threshold,2,1,COMPUTED,0.0,0.4043,0.4043,0.0,0.0091,0.0091,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0122,0.0122
Wind Farm C,CARE-WT-13,zscore_threshold,0,1,INSUFFICIENT_DATA,,,,,,,0.9658,0.968,0.0022,,,,,,
Wind Farm C,CARE-WT-14,zscore_threshold,0,1,INSUFFICIENT_DATA,,,,,,,0.9391,0.927,-0.0121,,,,,,
Wind Farm C,CARE-WT-15,zscore_threshold,1,1,COMPUTED,0.3957,0.398,0.0023,0.0,0.0,0.0,0.9892,0.9951,0.0059,0.0,0.0,0.0,0.0,0.0,0.0
Wind Farm C,CARE-WT-16,zscore_threshold,2,2,COMPUTED,0.5666,0.5668,0.0002,0.0,0.0,0.0,0.9867,0.988,0.0013,0.8333,0.8333,0.0,0.0262,0.0249,-0.0013
Wind Farm C,CARE-WT-2,zscore_threshold,1,1,COMPUTED,0.0,0.4004,0.4004,0.0,0.0017,0.0017,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0004,0.0004
Wind Farm C,CARE-WT-21,zscore_threshold,1,1,COMPUTED,0.4,0.4,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Wind Farm C,CARE-WT-23,zscore_threshold,1,2,COMPUTED,0.3922,0.3937,0.0015,0.0,0.0,0.0,0.9805,0.9843,0.0038,0.0,0.0,0.0,0.0,0.0,0.0
Wind Farm C,CARE-WT-32,zscore_threshold,1,1,COMPUTED,0.4106,0.4123,0.0017,0.0,0.0,0.0,0.9956,0.9956,0.0,0.0,0.0,0.0,0.0617,0.0705,0.0088
Wind Farm C,CARE-WT-33,zscore_threshold,1,1,COMPUTED,0.3954,0.3918,-0.0036,0.0,0.0,0.0,0.9885,0.9795,-0.009,0.0,0.0,0.0,0.0,0.0,0.0
Wind Farm C,CARE-WT-34,zscore_threshold,2,2,COMPUTED,0.4001,0.4001,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0003,0.0003,0.0
Wind Farm C,CARE-WT-35,zscore_threshold,2,2,COMPUTED,0.4072,0.4101,0.0029,0.0234,0.0315,0.0081,0.9997,0.9997,0.0,0.0,0.0,0.0,0.0129,0.0196,0.0067
Wind Farm C,CARE-WT-38,zscore_threshold,1,1,COMPUTED,0.5554,0.5615,0.0061,0.6037,0.6234,0.0197,1.0,1.0,0.0,0.0,0.0,0.0,0.1732,0.1839,0.0107
Wind Farm C,CARE-WT-42,zscore_threshold,1,1,COMPUTED,0.4023,0.4019,-0.0004,0.0093,0.0078,-0.0015,1.0,1.0,0.0,0.0,0.0,0.0,0.0022,0.0018,-0.0004
Wind Farm C,CARE-WT-43,zscore_threshold,2,2,COMPUTED,0.4499,0.4075,-0.0424,0.2062,0.0338,-0.1724,1.0,1.0,0.0,0.0,0.0,0.0,0.0433,0.0036,-0.0397
Wind Farm C,CARE-WT-44,zscore_threshold,1,1,COMPUTED,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Wind Farm C,CARE-WT-5,zscore_threshold,0,1,INSUFFICIENT_DATA,,,,,,,0.9657,0.9742,0.0085,,,,,,
Wind Farm C,CARE-WT-50,zscore_threshold,1,1,COMPUTED,0.4171,0.4254,0.0083,0.0659,0.0972,0.0313,1.0,1.0,0.0,0.0,0.0,0.0,0.0194,0.0297,0.0103
Wind Farm C,CARE-WT-52,zscore_threshold,2,2,COMPUTED,0.3808,0.3861,0.0053,0.0,0.0,0.0,0.9503,0.9635,0.0132,0.0,0.0,0.0,0.0034,0.0034,0.0
Wind Farm C,CARE-WT-53,zscore_threshold,3,3,COMPUTED,0.3906,0.3857,-0.0049,0.0,0.0,0.0,0.9728,0.9602,-0.0126,0.0,0.0,0.0,0.0076,0.0079,0.0003
Wind Farm C,CARE-WT-55,zscore_threshold,1,2,COMPUTED,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Wind Farm C,CARE-WT-56,zscore_threshold,1,1,COMPUTED,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
